Код группы,Название группы,Количество_товаров,Список_товаров
G01,"Хлеб, крупы, мука и макаронные изделия",13,"Вермишель, кг; Изделия макаронные, изготовленные из муки из твердой пшеницы для макаронных изделий, кроме макаронных изделий с использованием дополнительного сырья; Крупа гречневая; Крупа гречневая-ядрица, кг; Макаронные изделия; Макаронные изделия из пшеничной муки высшего сорта, кг; Мука; Мука пшеничная; Пшено, кг; Рис шлифованный, кг; Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов, кг; Хлеб и булочные изделия из пшеничной муки различных сортов, кг; Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг"
G02,Молочная продукция и яйца,18,"Кефир, кг; Консервы молочные, молочные составные сухие, сублимированные; Масло сливочное; Молоко питьевое; Молоко питьевое пастеризованное; Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л; Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, л; Молоко питьевое цельное ультрапастеризованное 2,5-3,2% жирности, л; Молочные напитки; Смеси сухие молочные для детского питания, кг; Сметана, кг; Сыры сычужные твердые и мягкие, кг; Сыры твердые; Сыры твердые, полутвердые и мягкие, кг; Творог жирный, кг; Творог, кг; Яйца куриные, 10 шт.; сыры"
G03,"Мясо, птица, рыба и колбасные изделия",17,"Баранина (кроме бескостного мяса), кг; Говядина (кроме бескостного мяса), кг; Говядина парная, остывшая или охлажденная; Колбаса вареная, кг; Колбаса полукопченая и варено-копченая, кг; Консервы мясные; Консервы мясные для детского питания, кг; Консервы рыбные; Куры охлажденные и мороженые, кг; Мясо домашней птицы; Мясо животных; Мясо птицы охлажденное, в том числе для детского питания; Рыба мороженая неразделанная, кг; Свинина (кроме бескостного мяса), кг; Сельдь соленая или в рассоле; Сосиски мясные; Сосиски, сардельки, кг"
G04,"Овощи, фрукты и картофель",14,"Бананы, кг; Капуста белокочанная свежая, кг; Картофель, кг; Консервы овощные для детского питания, кг; Консервы фруктово-ягодные для детского питания, кг; Лук репчатый, кг; Морковь, кг; Огурцы свежие, кг; Помидоры свежие, кг; Свежие овощи; Свежие фрукты; Свежий картофель; Свёкла столовая, кг; Яблоки, кг"
G05,"Бакалея, масло, сахар, чай, соль",13,"Карамель, кг; Конфеты мягкие, глазированные шоколадом, кг; Маргарин, кг; Маргариновая продукция; Масло подсолнечное и его фракции нерафинированные; Масло подсолнечное и его фракции рафинированные, но не подвергнутые химической модификации; Масло подсолнечное, л; Печенье, кг; Сахар белый свекловичный в твердом состоянии без вкусоароматических или красящих добавок; Сахар-песок, кг; Соль поваренная пищевая, кг; Чай; Чай черный байховый, кг"
G07,"Товары для дома, гигиены и бытовая химия",12,"Бумага туалетная, рулон; Мыло туалетное, 100 г; Мыло хозяйственное, 200 г; Паста зубная, 100 г (100 мл); Пеленки для новорожденных, шт.; Подгузники детские бумажные, 10 шт.; Порошок стиральный, кг; Прокладки женские гигиенические ежедневные, 10 шт.; Прокладки женские гигиенические, 10 шт.; Стиральные машины; Шампунь, 250 мл; Щетка зубная, шт."
G10,Топливо и транспортные товары,5,"Газ сжиженный, м3; Газовое моторное топливо; Дизельное топливо; Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств); Топливо дизельное"
