model,lgbm_config_id,feature_set,params,used_features,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,error,abs_error,ape_%
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,142.61635,154.61777056385986,12.001420563859853,12.001420563859853,8.415178598989423
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,137.790206,160.72315677857202,22.932950778572007,22.932950778572007,16.643382315991314
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,93.861817,97.37855502143057,3.5167380214305695,3.5167380214305695,3.7467184568039733
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,101.556,80.32342584558968,-21.232574154410315,21.232574154410315,20.90725723188223
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,118.786738,111.22009923908138,-7.566638760918622,7.566638760918622,6.369935641231786
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,106.571789,98.9211714404672,-7.65061755953279,7.65061755953279,7.178839382655752
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,145.634693,137.15516183267482,-8.479531167325177,8.479531167325177,5.822466469116104
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,176.60603,113.4861892923139,-63.11984070768611,63.11984070768611,35.740478797743265
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,207.932789,172.50062287001754,-35.43216612998248,35.43216612998248,17.04020145181743
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,223.092395,178.09959364888684,-44.99280135111317,44.99280135111317,20.167788037379385
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,117.294002,122.05004660057426,4.756044600574256,4.756044600574256,4.054806315308652
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,116.837874,103.68434900270545,-13.153524997294554,13.153524997294554,11.257929083247916
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,147.189086,140.86037744717004,-6.328708552829966,6.328708552829966,4.299713195331592
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,142.200496,144.44596675106735,2.2454707510673586,2.2454707510673586,1.5790878472515024
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,138.851468,161.10376515566102,22.25229715566101,22.25229715566101,16.02597183607811
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q2,2022-06-30,2017Q1,2021Q4,121.889554,197.31748446159037,75.42793046159036,75.42793046159036,61.882194155530634
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q3,2022-09-30,2017Q1,2021Q4,135.448081,192.70228631241903,57.25420531241903,57.25420531241903,42.27022257511277
lightgbm_individual_selection,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q4,2022-12-31,2017Q1,2021Q4,143.149598,191.31223625070578,48.16263825070578,48.16263825070578,33.6449692654434
