model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,best_feature_set,model_params,used_exog,error,abs_error,ape_%
prophet_individual,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,118.786738,116.47617826259531,core_lag4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4,-2.310559737404688,2.310559737404688,1.945132744873159
prophet_individual,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,106.571789,103.61347803142897,core_lag4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4,-2.958310968571027,2.958310968571027,2.7758856225741195
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,134.043161,162.6088098943645,price_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",consumer_price_index_lag4,28.5656488943645,28.5656488943645,21.31078428862514
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,118.702943,167.2643433295414,price_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",consumer_price_index_lag4,48.561400329541385,48.561400329541385,40.91002219678865
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,186.121553,198.3032071784075,price_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",consumer_price_index_lag4,12.181654178407484,12.181654178407484,6.544999212642226
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,203.360042,210.08090428933997,price_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",consumer_price_index_lag4,6.720862289339976,6.720862289339976,3.304907996301445
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,145.634693,152.3561881858849,price_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",consumer_price_index_lag4,6.721495185884891,6.721495185884891,4.615311810273731
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,176.60603,158.2578801953566,price_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",consumer_price_index_lag4,-18.348149804643413,18.348149804643413,10.389311058429552
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,207.932789,194.13781735629357,price_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",consumer_price_index_lag4,-13.794971643706447,13.794971643706447,6.634341659172592
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,223.092395,210.95769508947112,price_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",consumer_price_index_lag4,-12.134699910528894,12.134699910528894,5.439315809276643
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,138.851468,161.7488512480843,price_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",consumer_price_index_lag4,22.89738324808428,22.89738324808428,16.490558996527337
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q2,2022-06-30,2017Q1,2021Q4,121.889554,178.33227891734865,price_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",consumer_price_index_lag4,56.44272491734864,56.44272491734864,46.30644962188363
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q3,2022-09-30,2017Q1,2021Q4,135.448081,200.88393152342064,price_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",consumer_price_index_lag4,65.43585052342064,65.43585052342064,48.3106516093208
prophet_individual,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q4,2022-12-31,2017Q1,2021Q4,143.149598,224.35888257551053,price_lag4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",consumer_price_index_lag4,81.20928457551054,81.20928457551054,56.730361600813254
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,127.927388,128.06986346291745,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,0.14247546291746005,0.14247546291746005,0.11137213472806938
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,110.095155,134.38430782330937,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,24.289152823309365,24.289152823309365,22.0619634200155
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,142.61635,140.47656266101185,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,-2.1397873389881568,2.1397873389881568,1.5003801029742778
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,137.790206,152.70726914860762,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,14.91706314860761,14.91706314860761,10.825924121637215
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,117.294002,120.46006643928222,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,3.1660644392822093,3.1660644392822093,2.699255192334736
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,116.837874,114.83670657714171,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,-2.0011674228582876,2.0011674228582876,1.7127728829251787
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,147.189086,131.95132728356685,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,-15.237758716433149,15.237758716433149,10.352505834864106
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,142.200496,133.89946377812134,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,-8.301032221878643,8.301032221878643,5.837555040510297
prophet_individual,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,137.370662,119.40061271800565,no_exog,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",,-17.970049281994363,17.970049281994363,13.08143166842594
