model,product_code,product_name,group_code,group_name,observations_count,cv_years,MAE,RMSE,MAPE_%,WAPE_%
sarimax_individual,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",12,2023; 2024; 2025,2.57,3.46,2.45,2.49
prophet_individual,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",12,2023; 2024; 2025,2.730612253843082,3.593346377430966,2.6823468785572597,2.646211142176812
lightgbm_individual_selection,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",12,2023; 2024; 2025,3.403081923386823,5.047049110869866,3.2659979307239126,3.2978952946294835
sarimax_individual,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",12,2023; 2024; 2025,6.03,8.62,4.44,4.28
lightgbm_individual_selection,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",12,2023; 2024; 2025,6.447645214171673,9.126093696940172,4.73207097207188,4.5811830133235265
prophet_individual,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",12,2023; 2024; 2025,12.481583853809832,15.5879422873017,8.928831316007535,8.868419094271264
lightgbm_individual_selection,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",12,2023; 2024; 2025,7.940818616260832,11.54589875326663,5.770368424859928,6.059646441933335
prophet_individual,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",12,2023; 2024; 2025,10.38402581659406,13.604275566300947,7.550948817309135,7.924060242808754
sarimax_individual,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",12,2023; 2024; 2025,10.59,14.29,7.96,8.08
sarimax_individual,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",12,2023; 2024; 2025,14.59,18.7,9.68,10.14
lightgbm_individual_selection,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",12,2023; 2024; 2025,15.102523523083567,17.69720451362841,11.585017200434566,10.493416469654008
prophet_individual,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",12,2023; 2024; 2025,19.357501294695062,24.5642097417874,14.27535023755319,13.44982661914957
sarimax_individual,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",12,2023; 2024; 2025,18.33,21.9,13.05,13.13
prophet_individual,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",12,2023; 2024; 2025,18.912739278827953,23.83328522631535,14.891449397794009,13.543820552233582
lightgbm_individual_selection,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",12,2023; 2024; 2025,19.91229604447017,23.255631638258617,15.046142289459882,14.259624712912952
sarimax_individual,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",12,2023; 2024; 2025,2.72,3.75,2.7,2.73
prophet_individual,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",12,2023; 2024; 2025,3.918503382665173,4.697639805150254,3.7531666870897857,3.9286748002966365
lightgbm_individual_selection,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",12,2023; 2024; 2025,4.788124219707819,5.254331443145612,5.013749506223107,4.800552947299437
sarimax_individual,S_сыры,сыры,G02,Молочная продукция и яйца,12,2023; 2024; 2025,7.24,9.49,5.77,5.66
lightgbm_individual_selection,S_сыры,сыры,G02,Молочная продукция и яйца,12,2023; 2024; 2025,8.174054952922624,10.682946072405327,6.199591047954548,6.384856634850951
prophet_individual,S_сыры,сыры,G02,Молочная продукция и яйца,12,2023; 2024; 2025,8.192828206050015,10.115663498200758,6.434189830214036,6.399520657845474
