model,products_count,observations_count,cv_years,MAE,RMSE,MAPE_%,WAPE_%
lightgbm_exog,18,212,2020; 2021; 2022; 2023; 2024; 2025,13.595746739565863,20.20909490360973,11.551518672715895,11.24639901538593
sarimax_exog,18,212,2020; 2021; 2022; 2023; 2024; 2025,14.345604156971556,24.443386416279004,11.23027551846752,11.866680922833444
prophet_exog,18,212,2020; 2021; 2022; 2023; 2024; 2025,18.6462208848319,28.867752547615595,14.314020170105895,15.424150229981281
seasonal_naive_exog,18,212,2020; 2021; 2022; 2023; 2024; 2025,18.765577981663558,30.000108358875085,14.637380875510575,15.522882396886128
