model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,model_params,used_exog,error,abs_error,ape_%
seasonal_naive_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q2,2024-06-30,2017Q1,2023Q4,194.910813,91.85234489118477,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-103.05846810881522,103.05846810881522,52.87467971764872
seasonal_naive_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q3,2024-09-30,2017Q1,2023Q4,228.395741,73.74367823918013,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-154.65206276081986,154.65206276081986,67.71232339258894
seasonal_naive_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q4,2024-12-31,2017Q1,2023Q4,172.532576,24.21712910963575,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-148.31544689036426,148.31544689036426,85.96373527186209
sarimax_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q1,2024-03-31,2017Q1,2023Q4,167.540049,157.7815521387332,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-9.75849686126682,9.75849686126682,5.824575628043907
sarimax_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q2,2024-06-30,2017Q1,2023Q4,194.910813,130.4972527646255,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-64.41356023537449,64.41356023537449,33.047709998200304
sarimax_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q3,2024-09-30,2017Q1,2023Q4,228.395741,98.99357687186139,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-129.4021641281386,129.4021641281386,56.65699524937228
sarimax_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q4,2024-12-31,2017Q1,2023Q4,172.532576,109.28636008432338,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-63.24621591567663,63.24621591567663,36.657550349028945
prophet_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q1,2024-03-31,2017Q1,2023Q4,167.540049,170.44682287948945,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,2.9067738794894353,2.9067738794894353,1.7349725613900442
prophet_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q2,2024-06-30,2017Q1,2023Q4,194.910813,112.67334418485575,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-82.23746881514424,82.23746881514424,42.19235841735689
prophet_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q3,2024-09-30,2017Q1,2023Q4,228.395741,75.42498605404967,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-152.97075494595032,152.97075494595032,66.97618540354057
prophet_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q4,2024-12-31,2017Q1,2023Q4,172.532576,37.02062472976826,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-135.51195127023175,135.51195127023175,78.54282038322533
seasonal_naive_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q1,2025-03-31,2017Q1,2024Q4,133.521054,132.63405517419136,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-0.8869988258086323,0.8869988258086323,0.6643138285956254
seasonal_naive_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q2,2025-06-30,2017Q1,2024Q4,144.210737,155.24202823470515,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,11.03129123470515,11.03129123470515,7.649424352297118
seasonal_naive_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q3,2025-09-30,2017Q1,2024Q4,182.71084,234.48996724793932,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,51.77912724793933,51.77912724793933,28.339384378036534
seasonal_naive_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q4,2025-12-31,2017Q1,2024Q4,181.15647,228.50190899767728,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,47.34543899767726,47.34543899767726,26.13510795263192
sarimax_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q1,2025-03-31,2017Q1,2024Q4,133.521054,138.91674159460288,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,5.39568759460289,5.39568759460289,4.041076244502152
sarimax_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q2,2025-06-30,2017Q1,2024Q4,144.210737,163.09888292945547,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,18.888145929455476,18.888145929455476,13.097600305208534
sarimax_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q3,2025-09-30,2017Q1,2024Q4,182.71084,170.11664218086102,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-12.59419781913897,12.59419781913897,6.892966952118972
sarimax_exog,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q4,2025-12-31,2017Q1,2024Q4,181.15647,184.9345408712328,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,3.778070871232785,3.778070871232785,2.0855290850129644
