product_group_code,product_group_name,period_end,year,quarter,consumer_price_index,consumer_price_index_observed_mean,n_price_products,n_price_products_observed,n_price_products_interpolated,consumer_price_growth_qoq_pct,consumer_price_growth_yoy_pct,consumer_price_index_lag1,consumer_price_index_lag2,consumer_price_index_lag4,sales_quarter_thousand_rub,sales_cumulative_thousand_rub,n_sales_products,sales_region,sales_region_scope,sales_value_index,sales_value_growth_qoq_pct,sales_value_growth_yoy_pct,physical_volume_cumulative_yoy_index,n_physical_products,physical_volume_cumulative_yoy_index_lag1,physical_volume_cumulative_yoy_index_lag2,physical_volume_cumulative_yoy_index_lag4,per_capita_income_rub,region,region_scope,per_capita_income_index,per_capita_income_qoq_pct,per_capita_income_yoy_pct,stock_value_mean_thousand_rub,stock_value_last_thousand_rub,stock_value_months_available,stock_value_region,stock_value_region_scope,stock_value_qoq_pct,stock_value_yoy_pct,stock_days_mean,stock_days_last,stock_days_months_available,stock_days_region,stock_days_region_scope,stock_days_qoq_pct,stock_days_yoy_pct,ppi_group_index,ppi_q_compounded_percent,n_ppi_products,ppi_growth_qoq_pct,ppi_growth_yoy_pct,ppi_group_index_lag1,ppi_group_index_lag2,ppi_group_index_lag4,buy_ability_group_mean,n_buy_ability_products,real_sales_proxy,real_sales_proxy_index,real_sales_proxy_index_lag1,real_sales_proxy_index_lag2,real_sales_proxy_index_lag4,is_price_interpolated_2021,shock_2022_q1,shock_2022_q2,shock_2022_h2,post_2022,quarter_sin,quarter_cos
G01,"Хлеб, крупы, мука и макаронные изделия",2018-09-30,2018,3,98.48930585718638,98.48930585718638,9,8,0,1.836137497674195,-0.7280191812103931,96.7135127836479,96.84806511918129,99.2115852276264,317439107.4,841033469.9,4.0,Российская Федерация,RF_total,121.2896397341651,23.767256692760984,5.499108362858407,103.96058509158031,4.0,101.9189771035573,103.89004015894315,101.94424210603344,32536.0,Российская Федерация,RF_total,117.81149292102691,0.6683168316831578,4.41591784338895,1537062112.8333333,1561351681.1,3.0,Российская Федерация,RF_total,3.00134052606853,10.061255049299355,35.906666666666666,36.44,3.0,Российская Федерация,RF_total,-2.727108542532064,1.9592995740653096,81.13730290716474,103.09915887569998,3.0,4.148945435053353,-2.4804161439775374,77.90506429828564,73.39718758088289,83.20103480646056,671.9285714285714,7.0,123.1500604847801,126.16193996426053,103.80649138137687,107.95982805138769,118.71518042708529,0,0,0,0,0,-1.0,-1.8369701987210297e-16
G01,"Хлеб, крупы, мука и макаронные изделия",2018-12-31,2018,4,103.89538387670032,103.89538387670032,9,8,0,5.4890000213353,6.174505499556604,98.48930585718638,96.7135127836479,97.85341913095532,342479552.1,1183513022.0,4.0,Российская Федерация,RF_total,130.85729049188737,7.888267108956737,-3.6804880820917596,100.57186364996416,4.0,103.96058509158031,101.9189771035573,102.17288426749347,38868.0,Российская Федерация,RF_total,140.7393996451461,19.461519547578064,4.966377703961755,1699537940.0666666,1779708453.8,3.0,Российская Федерация,RF_total,10.570544018799243,11.44135973954128,36.36333333333334,33.01,3.0,Российская Федерация,RF_total,1.2718158187894568,1.8866162323713631,86.63805711930604,107.76931994776665,3.0,6.779562562530739,12.927381232770685,81.13730290716474,77.90506429828564,76.72015074955472,671.9285714285714,7.0,125.95101496249781,129.03139735039088,126.16193996426053,103.80649138137687,142.2333287908553,0,0,0,0,0,-2.4492935982947064e-16,1.0
G01,"Хлеб, крупы, мука и макаронные изделия",2019-03-31,2019,1,111.05688519526413,111.05688519526413,9,8,0,6.8929927888450315,14.671248267683467,103.89538387670032,98.48930585718638,96.84806511918129,286950996.1,286950996.1,4.0,Российская Федерация,RF_total,109.64050152293498,-16.213685068061036,7.426545305872767,100.95101043353374,4.0,100.57186364996416,103.96058509158031,103.89004015894315,30075.0,Российская Федерация,RF_total,108.90031502335518,-22.622723062673668,4.253327787021632,1666606340.3766668,1712699862.86,3.0,Российская Федерация,RF_total,-1.9376795841761552,13.542015886292468,39.06666666666667,38.37,3.0,Российская Федерация,RF_total,7.434228618571814,2.8431028431028293,91.45026588956921,104.58867858133333,3.0,5.55438213905981,24.596416979590717,86.63805711930604,81.13730290716474,73.39718758088289,637.0857142857143,7.0,98.72463227305646,101.13913936214733,129.03139735039088,126.16193996426053,107.95982805138769,0,0,0,0,0,1.0,6.123233995736766e-17
G01,"Хлеб, крупы, мука и макаронные изделия",2019-06-30,2019,2,117.5850295454323,117.5850295454323,9,8,0,5.8781986715098045,21.58076587340474,111.05688519526413,103.89538387670032,96.7135127836479,283008027.5,569959023.6,4.0,Российская Федерация,RF_total,108.1339409579996,-1.3740912746739276,10.342822825441388,101.01329162897332,4.0,100.95101043353374,100.57186364996416,101.9189771035573,34424.0,Российская Федерация,RF_total,124.6478618242387,14.460515378221107,6.509900990099005,1688924434.0933332,1666251657.78,3.0,Российская Федерация,RF_total,1.3391340939950203,13.177912139265647,37.65,36.07,3.0,Российская Федерация,RF_total,-3.626279863481241,1.9956655228462905,92.7010157758524,102.47017249920002,3.0,1.3676831599303663,18.992284533538808,91.45026588956921,86.63805711930604,77.90506429828564,637.0857142857143,7.0,91.96233685191956,94.21145856699655,101.13913936214733,129.03139735039088,103.80649138137687,0,0,0,0,0,1.2246467991473532e-16,-1.0
G01,"Хлеб, крупы, мука и макаронные изделия",2019-09-30,2019,3,120.87839000874197,120.87839000874197,9,8,0,2.8008331298987166,22.732502738947822,117.5850295454323,111.05688519526413,98.48930585718638,337548103.5999999,907507127.1999999,4.0,Российская Федерация,RF_total,128.97304372458876,19.271565044210593,6.334757038823491,99.67887556875613,4.0,101.01329162897332,100.95101043353374,103.96058509158031,35009.0,Российская Федерация,RF_total,126.76612231596481,1.6993957703927531,7.60081140890092,1735107394.0666666,1786521997.8,3.0,Российская Федерация,RF_total,2.734459816026402,12.884663513582284,37.38,38.36,3.0,Российская Федерация,RF_total,-0.7171314741035717,4.103230597846275,92.73464322216331,101.3384561321,3.0,0.036275164872212606,14.293475256711407,92.7010157758524,91.45026588956921,81.13730290716474,637.0857142857143,7.0,106.69652674498839,109.3060023568561,94.21145856699655,101.13913936214733,126.16193996426053,0,0,0,0,0,-1.0,-1.8369701987210297e-16
G01,"Хлеб, крупы, мука и макаронные изделия",2019-12-31,2019,4,120.97014199519597,120.97014199519597,9,8,0,0.07590437500646363,16.434568583681664,120.87839000874197,117.5850295454323,103.89538387670032,369508390.04,1277015517.24,4.0,Российская Федерация,RF_total,141.18468223333647,9.468364982394807,7.892102688836711,99.94682870081901,4.0,99.67887556875613,101.01329162897332,100.57186364996416,41481.0,Российская Федерация,RF_total,150.20096317485607,18.48667485503728,6.7227539364001165,1949710082.9533336,2025371285.46,3.0,Российская Федерация,RF_total,12.368265481463414,14.720009303049375,38.60666666666666,35.1,3.0,Российская Федерация,RF_total,3.2816122703762884,6.169218076817273,100.90103693738537,112.55752519293334,3.0,8.806195216234268,16.46271891628215,92.73464322216331,92.7010157758524,86.63805711930604,637.0857142857143,7.0,116.71035505516996,119.56473873999963,109.3060023568561,94.21145856699655,129.03139735039088,0,0,0,0,0,-2.4492935982947064e-16,1.0
G01,"Хлеб, крупы, мука и макаронные изделия",2020-03-31,2020,1,120.6723352877562,120.6723352877562,9,8,0,-0.2461819937779386,8.658130538764741,120.97014199519597,120.87839000874197,111.05688519526413,317975446.70000005,317975446.70000005,4.0,Российская Федерация,RF_total,121.49456848728913,-13.946352702416698,10.811759158064827,104.09962118776384,4.0,99.94682870081901,99.67887556875613,100.95101043353374,31810.0,Российская Федерация,RF_total,115.18267733642323,-23.31428846941973,5.768911055694104,1924450490.8966668,1966912364.09,3.0,Российская Федерация,RF_total,-1.2955563125777503,15.47120902358532,40.47666666666667,38.45,3.0,Российская Федерация,RF_total,4.843723018476953,3.6092150170648374,105.08714534631633,104.42561507986666,3.0,4.148726847602835,14.911798587020343,100.90103693738537,92.73464322216331,91.45026588956921,593.2714285714285,7.0,100.6813767195043,103.14373988289707,119.56473873999963,109.3060023568561,101.13913936214733,0,0,0,0,0,1.0,6.123233995736766e-17
G01,"Хлеб, крупы, мука и макаронные изделия",2020-06-30,2020,2,127.9300613735933,127.9300613735933,9,8,0,6.014407584414672,8.797915745017448,120.6723352877562,120.97014199519597,117.5850295454323,284193811.9,602169258.5999999,4.0,Российская Федерация,RF_total,108.587014821067,-10.623975892035464,0.4189932032934829,98.53692076107798,4.0,104.09962118776384,99.94682870081901,101.01329162897332,33202.0,Российская Федерация,RF_total,120.2230510192997,4.375982395473121,-3.5498489425981883,1878777946.1033332,1929739003.53,3.0,Российская Федерация,RF_total,-2.373277203512425,11.241089783387448,43.00333333333333,39.25,3.0,Российская Федерация,RF_total,6.242279502594084,14.218680832226639,118.43806532666413,112.6531846602,3.0,12.704617616502588,27.763503274918765,105.08714534631633,100.90103693738537,92.7010157758524,593.2714285714285,7.0,84.8799833715088,86.95589205664407,103.14373988289707,119.56473873999963,94.21145856699655,0,0,0,0,0,1.2246467991473532e-16,-1.0
G01,"Хлеб, крупы, мука и макаронные изделия",2020-09-30,2020,3,130.59924931265454,130.59924931265454,9,8,0,2.0864431005519712,8.041850411152529,127.9300613735933,120.6723352877562,120.87839000874197,360463443.4,962632702.0,4.0,Российская Федерация,RF_total,137.72871762845253,26.83718937794366,6.788762714293051,98.16625700659884,4.0,98.53692076107798,104.09962118776384,99.67887556875613,35123.0,Российская Федерация,RF_total,127.17891153999348,5.785796036383339,0.3256305521437408,1975163219.9466667,2022341425.87,3.0,Российская Федерация,RF_total,5.130211052521716,13.83521427554799,38.04666666666667,39.4,3.0,Российская Федерация,RF_total,-11.526238276102617,1.783484929552337,119.57668596366375,100.92356764793333,3.0,0.9613637590745849,28.945000281281352,118.43806532666413,105.08714534631633,92.73464322216331,593.2714285714285,7.0,105.45904234007506,108.03825281142505,86.95589205664407,103.14373988289707,109.3060023568561,0,0,0,0,0,-1.0,-1.8369701987210297e-16
G01,"Хлеб, крупы, мука и макаронные изделия",2020-12-31,2020,4,131.7566259931121,131.7566259931121,9,8,0,0.8862046960827374,8.916649860875992,130.59924931265454,127.9300613735933,120.97014199519597,362324707.3000001,1324957409.3,4.0,Российская Федерация,RF_total,138.43988403050756,0.5163530266603766,-1.9441189790635915,95.79649224677922,4.0,98.16625700659884,98.53692076107798,99.94682870081901,43355.0,Российская Федерация,RF_total,156.98663866459066,23.437633459556405,4.517731009377779,2175886458.5066667,2265429993.42,3.0,Российская Федерация,RF_total,10.162362104202206,11.60051320095401,38.93,35.47,3.0,Российская Федерация,RF_total,2.3217101804801077,0.8375064755655526,128.9963887778455,107.97725819726666,3.0,7.877541293496093,27.844462944315286,119.57668596366375,118.43806532666413,100.90103693738537,593.2714285714285,7.0,105.07242651898572,107.64218153206475,108.03825281142505,86.95589205664407,119.56473873999963,0,0,0,0,0,-2.4492935982947064e-16,1.0
G01,"Хлеб, крупы, мука и макаронные изделия",2021-03-31,2021,1,136.36625570027746,,9,0,7,3.498594224328677,13.005400430096437,131.7566259931121,130.59924931265454,120.6723352877562,319890462.6,319890462.6,4.0,Российская Федерация,RF_total,122.22627287777405,-11.711661900237191,0.6022527587819404,90.94958453464376,4.0,95.79649224677922,98.16625700659884,104.09962118776384,32694.0,Российская Федерация,RF_total,118.38360430169823,-24.590012685964712,2.779000314366553,2130673446.2366667,2189398726.69,3.0,Российская Федерация,RF_total,-2.0779122960777108,10.71593976127252,40.86,40.13,3.0,Российская Федерация,RF_total,4.957616234266626,0.9470476817919682,132.33090169097463,102.55371733333334,3.0,2.584966094571639,25.92491808096611,128.9963887778455,119.57668596366375,105.08714534631633,598.1714285714286,7.0,89.63087843844447,91.82297970444361,107.64218153206475,108.03825281142505,103.14373988289707,1,0,0,0,0,1.0,6.123233995736766e-17
G01,"Хлеб, крупы, мука и макаронные изделия",2021-06-30,2021,2,140.73732936387725,,9,0,7,3.2053924492926322,10.01114816390416,136.36625570027746,131.7566259931121,127.9300613735933,328444064.1,648334526.7,4.0,Российская Федерация,RF_total,125.49450045333022,2.673915761813661,15.570448879291753,98.291458671702,4.0,90.94958453464376,95.79649224677922,98.53692076107798,38308.0,Российская Федерация,RF_total,138.71166310605787,17.171346424420374,15.378591651105356,2230937966.2999997,2239361761.0,3.0,Российская Федерация,RF_total,4.7057666316922875,18.744100170382637,39.34,38.64,3.0,Российская Федерация,RF_total,-3.7200195790504043,-8.518719479110137,134.39458069176476,102.060062,2.0,1.5594838200447825,13.472455262664873,132.33090169097463,128.9963887778455,118.43806532666413,598.1714285714286,7.0,89.16930640971835,91.35011901441963,91.82297970444361,107.64218153206475,86.95589205664407,1,0,0,0,0,1.2246467991473532e-16,-1.0
G01,"Хлеб, крупы, мука и макаронные изделия",2021-09-30,2021,3,145.10840302747707,,9,0,7,3.105838147815332,11.109676197362827,140.73732936387725,136.36625570027746,130.59924931265454,394082788.4,1042417315.0999999,4.0,Российская Федерация,RF_total,150.57426232692092,19.984749756358887,9.326700284193091,99.05037157162734,4.0,98.291458671702,90.94958453464376,98.16625700659884,40721.0,Российская Федерация,RF_total,147.4490350146649,6.298945389996868,15.938274065427205,2292062653.636667,2357104962.61,3.0,Российская Федерация,RF_total,2.739864947389914,16.04421500409252,37.86333333333334,38.5,3.0,Российская Федерация,RF_total,-3.7536010845619416,-0.4818643770807651,137.42104887547595,102.56834123286667,3.0,2.2519272489509135,14.922944860032871,134.39458069176476,132.33090169097463,119.57668596366375,598.1714285714286,7.0,103.76674209446635,106.30456400000645,91.35011901441963,91.82297970444361,108.03825281142505,1,0,0,0,0,-1.0,-1.8369701987210297e-16
G01,"Хлеб, крупы, мука и макаронные изделия",2021-12-31,2021,4,149.47947669107683,,9,0,7,3.0122815580652995,13.451202597500656,145.10840302747707,140.73732936387725,131.7566259931121,393847748.4,1436265063.5,4.0,Российская Федерация,RF_total,150.48445638852655,-0.05964229012748179,8.7002184683749,98.9533739377828,4.0,99.05037157162734,98.291458671702,95.79649224677922,47754.0,Российская Федерация,RF_total,172.9152333707499,17.271186856904297,10.146465228923995,2590296225.0133333,2671604850.1,3.0,Российская Федерация,RF_total,13.011580242079269,19.045560253685313,39.343333333333334,35.14,3.0,Российская Федерация,RF_total,3.9087947882736174,1.061734737563147,153.47516739050621,111.29843302386666,3.0,11.682430491108908,18.976328596932635,137.42104887547595,134.39458069176476,128.9963887778455,598.1714285714286,7.0,100.67231951816815,103.13446116970182,106.30456400000645,91.35011901441963,107.64218153206475,1,0,0,0,0,-2.4492935982947064e-16,1.0
G01,"Хлеб, крупы, мука и макаронные изделия",2022-03-31,2022,1,147.11923156034206,147.11923156034206,9,8,0,-1.5789760460645619,7.885364164943276,149.47947669107683,145.10840302747707,136.36625570027746,381775630.29999995,381775630.29999995,4.0,Российская Федерация,RF_total,145.87184621843733,-3.0651738264450668,19.34573703667524,103.41782483315306,4.0,98.9533739377828,99.05037157162734,90.94958453464376,39950.0,Российская Федерация,RF_total,144.65727631531303,-16.342086526783095,22.19367468036948,2545800091.9,2655244970.7,3.0,Российская Федерация,RF_total,-1.7178009481562007,19.483353791100978,40.666666666666664,37.93,3.0,Российская Федерация,RF_total,3.363551639413709,-0.4731603850546606,165.0440686415791,107.74254402419997,3.0,7.537962947215204,24.720731539332963,153.47516739050621,137.42104887547595,132.33090169097463,590.3000000000001,7.0,99.15212625251301,101.5770885564796,103.13446116970182,106.30456400000645,91.82297970444361,0,1,0,0,1,1.0,6.123233995736766e-17
G01,"Хлеб, крупы, мука и макаронные изделия",2022-06-30,2022,2,164.4923045483396,164.4923045483396,9,8,0,11.808838860656934,16.878944123661554,147.11923156034206,149.47947669107683,140.73732936387725,380143260.4,761918890.7,4.0,Российская Федерация,RF_total,145.24813744258566,-0.42757310065004717,15.74063956420273,100.55718737102461,4.0,103.41782483315306,98.9533739377828,98.291458671702,46141.0,Российская Федерация,RF_total,167.07462794655464,15.496871088861086,20.44742612509136,2577468413.0,2585054244.7,3.0,Российская Федерация,RF_total,1.243943748794707,15.532948559511928,41.60333333333333,41.26,3.0,Российская Федерация,RF_total,2.3032786885246015,5.753262158956085,171.81371707655913,104.6421401138,3.0,4.101721734503205,27.84274201548016,165.0440686415791,153.47516739050621,134.39458069176476,590.3000000000001,7.0,88.30087087745882,90.46044416527657,101.5770885564796,103.13446116970182,91.35011901441963,0,0,1,0,1,1.2246467991473532e-16,-1.0
G01,"Хлеб, крупы, мука и макаронные изделия",2022-09-30,2022,3,163.39648521277755,163.39648521277755,9,8,0,-0.6661827363723449,12.603048344372958,164.4923045483396,147.11923156034206,145.10840302747707,480648237.9,1242567128.6,4.0,Российская Федерация,RF_total,183.6498725416725,26.438710867646353,21.966310645400423,98.8998855975417,4.0,100.55718737102461,103.41782483315306,99.05037157162734,46165.0,Российская Федерация,RF_total,167.16153094108702,0.05201447736287168,13.369023354043374,2558970237.2999997,2588388193.1,3.0,Российская Федерация,RF_total,-0.717687774822029,11.644864211711138,39.70666666666667,40.37,3.0,Российская Федерация,RF_total,-4.558929572950876,4.868386301611061,152.50229747092294,89.22880626839999,3.0,-11.239742631859329,10.97448223460502,171.81371707655913,165.0440686415791,137.42104887547595,590.3000000000001,7.0,112.39524051115337,115.14408949388407,90.46044416527657,101.5770885564796,106.30456400000645,0,0,0,1,1,-1.0,-1.8369701987210297e-16
G01,"Хлеб, крупы, мука и макаронные изделия",2022-12-31,2022,4,158.22596642067688,158.22596642067688,9,8,0,-3.1644002533882776,5.851298066607558,163.39648521277755,164.4923045483396,149.47947669107683,444573988.8,1687141117.4,4.0,Российская Федерация,RF_total,169.86633870787136,-7.505332643600637,12.879657331056116,98.83859222448508,4.0,98.8998855975417,100.55718737102461,98.9533739377828,56942.0,Российская Федерация,RF_total,206.18459644421912,23.344525073107334,19.240273066130587,2689405609.6,2698431989.3,3.0,Российская Федерация,RF_total,5.097182077335294,3.826179555435072,39.38666666666666,35.23,3.0,Российская Федерация,RF_total,-0.8059100067159375,0.11014148945183155,138.03694671519665,90.4502130898,3.0,-9.48533300521872,-10.05910007319175,152.50229747092294,171.81371707655913,153.47516739050621,590.3000000000001,7.0,107.35680277423371,109.98242674863936,115.14408949388407,90.46044416527657,103.13446116970182,0,0,0,1,1,-2.4492935982947064e-16,1.0
