Код товара,Название товара,Код группы,Название группы,Число наблюдений,Сезонная поправка использована,Поправка на запасы использована,Средний сезонный фактор,Минимальный availability_factor,Средний базовый спрос,Средний расширенный спрос,Разница среднего расширенного и базового
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,36,False,True,1.0,0.9233924318602805,150.78933025283166,152.68723104949572,1.8979007966640609
S_аудиоаппаратура,Аудиоаппаратура,G99,Прочее,36,True,True,1.0046040687245892,0.9233924318602805,153.32724704286994,150.2232991557661,-3.1039478871038284
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,21,True,True,0.9989072542225743,0.9233924318602805,111.21328545645594,101.04063457646377,-10.172650879992162
S_всего_по_розничной_торговле,Всего по розничной торговле,G99,Прочее,25,False,True,1.0,0.9233924318602805,59.10460644280453,59.45536217049754,0.3507557276930058
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,25,True,True,1.0028548500358496,0.9233924318602805,150.85513691512983,129.06057567593942,-21.794561239190415
S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,25,True,True,1.001170355871639,0.9233924318602805,130.38121834473998,125.67771411040135,-4.703504234338624
S_компримированный_природный_газ,Компримированный природный газ,G99,Прочее,25,False,True,1.0,0.9233924318602805,201.8368102736697,202.91254907057268,1.0757387969029821
S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,36,True,True,1.0047614634772906,0.9233924318602805,109.06502635517205,109.80037577865345,0.7353494234813951
S_лампы_газоразрядные_люминесцентные,Лампы газоразрядные люминесцентные,G99,Прочее,32,True,True,1.04606876138646,0.9233924318602805,99.90070134677516,93.16593900480426,-6.734762341970907
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,32,True,True,1.0155089044027994,0.9233924318602805,69.63528020674002,68.71789184934067,-0.9173883573993464
S_лампы_осветительные_бытовые,Лампы осветительные (бытовые),G99,Прочее,36,True,True,1.0164785590875107,0.9233924318602805,91.75117636332241,92.62528276696852,0.8741064036461097
S_лампы_светодиодные,Лампы светодиодные,G99,Прочее,32,True,True,1.016306581241471,0.9233924318602805,131.44340168468636,139.32166808907814,7.8782664043917805
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",36,True,True,1.0047246029820651,0.9233924318602805,107.83384336650762,103.99942511614925,-3.834418250358368
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",36,False,True,1.0,0.9233924318602805,92.84724493717744,94.03795294368857,1.1907080065111302
S_мобильные_телефоны,Мобильные телефоны,G99,Прочее,36,True,True,1.0062940770180773,0.9233924318602805,161.66278003201325,156.65663393925544,-5.0061460927578025
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,36,True,True,1.0009044517026446,0.9233924318602805,113.40310196974684,112.80000769746435,-0.6030942722824904
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,32,True,True,1.0497386246152267,0.9233924318602805,85.78162210008908,88.66916907340514,2.887546973316063
S_мотоциклы,Мотоциклы,G99,Прочее,36,True,True,1.0145082310529778,0.9233924318602805,155.29955528791615,132.63354061356867,-22.66601467434748
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",36,True,True,1.0047135903586861,0.9233924318602805,104.69510353465863,100.12621520356063,-4.568888331097995
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",36,True,True,1.0053356384706311,0.9233924318602805,116.90448785620187,106.8680116509721,-10.036476205229775
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",36,True,True,1.0024075169171334,0.9233924318602805,104.6710217452813,97.87867748217552,-6.792344263105775
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",36,True,True,1.0049230974391792,0.9233924318602805,127.48273557170296,123.43834528779078,-4.044390283912179
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",36,True,True,1.009480970672161,0.9233924318602805,120.23174725129911,113.09911261381642,-7.132634637482695
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",36,True,True,1.0228091617274317,0.9233924318602805,143.0776071770453,110.57558767538993,-32.50201950165538
S_сжиженный_природный_газ,Сжиженный природный газ,G99,Прочее,25,True,True,1.0211969750185543,0.9233924318602805,190.82957538133823,161.67773834292638,-29.151837038411855
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",36,True,True,1.0111209745103578,0.9233924318602805,132.69691259573466,129.45525391739588,-3.24165867833878
