price_product_code,price_product_name,product_group_code,product_group_name,period_end,year,quarter,mean_price_rub,median_price_rub,n_price_observations,price_region,price_region_scope,mean_price_filled_rub,price_index_observed,price_index_filled,price_is_observed,price_is_interpolated
P_пенталгин_24_таблетки,"Пенталгин, 24 таблетки",G99,Прочее,2020-12-31,2020,4,,,,,,,,,0,0
P_пенталгин_24_таблетки,"Пенталгин, 24 таблетки",G99,Прочее,2021-03-31,2021,1,,,,,,,,,0,0
P_пенталгин_24_таблетки,"Пенталгин, 24 таблетки",G99,Прочее,2021-06-30,2021,2,,,,,,,,,0,0
P_пенталгин_24_таблетки,"Пенталгин, 24 таблетки",G99,Прочее,2021-09-30,2021,3,,,,,,,,,0,0
P_пенталгин_24_таблетки,"Пенталгин, 24 таблетки",G99,Прочее,2021-12-31,2021,4,,,,,,,,,0,0
P_пенталгин_24_таблетки,"Пенталгин, 24 таблетки",G99,Прочее,2022-03-31,2022,1,,,,,,,,,0,0
P_пенталгин_24_таблетки,"Пенталгин, 24 таблетки",G99,Прочее,2022-06-30,2022,2,,,,,,,,,0,0
P_пенталгин_24_таблетки,"Пенталгин, 24 таблетки",G99,Прочее,2022-09-30,2022,3,,,,,,,,,0,0
P_пенталгин_24_таблетки,"Пенталгин, 24 таблетки",G99,Прочее,2022-12-31,2022,4,,,,,,,,,0,0
P_пенталгин_24_таблетки,"Пенталгин, 24 таблетки",G99,Прочее,2023-03-31,2023,1,,,,,,,,,0,0
P_пенталгин_24_таблетки,"Пенталгин, 24 таблетки",G99,Прочее,2023-06-30,2023,2,,,,,,,,,0,0
