region,sales_product_name,period_end,physical_volume_cumulative_yoy_index,year_header,quarter_header,period_label,is_full_year_column,year,quarter,region_scope,product_group_code,product_group_name,source_file
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2025-06-30,83.69,2025,2,январь-июнь,False,2025,2,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2025-09-30,85.34,2025,3,январь-сентябрь,False,2025,3,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Автомобили легковые,2025-12-31,92.6,2025,4,январь-декабрь,False,2025,4,RF_without_new_regions,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2017-03-31,101.09,2017,1,январь-март,False,2017,1,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2017-06-30,100.41,2017,2,январь-июнь,False,2017,2,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2017-09-30,101.3,2017,3,январь-сентябрь,False,2017,3,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2017-12-31,103.9,2017,4,январь-декабрь,False,2017,4,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2018-03-31,105.9,2018,1,январь-март,False,2018,1,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2018-06-30,103.47,2018,2,январь-июнь,False,2018,2,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2018-09-30,106.41,2018,3,январь-сентябрь,False,2018,3,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2018-12-31,104.14,2018,4,январь-декабрь,False,2018,4,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2019-03-31,115.06,2019,1,январь-март,False,2019,1,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2019-06-30,115.11,2019,2,январь-июнь,False,2019,2,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2019-09-30,113.73,2019,3,январь-сентябрь,False,2019,3,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2019-12-31,113.37,2019,4,январь-декабрь,False,2019,4,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2020-03-31,125.15,2020,1,январь-март,False,2020,1,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2020-06-30,112.53,2020,2,январь-июнь,False,2020,2,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2020-09-30,114.83,2020,3,январь-сентябрь,False,2020,3,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2020-12-31,116.42,2020,4,январь-декабрь,False,2020,4,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2021-03-31,114.63,2021,1,январь-март,False,2021,1,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2021-06-30,121.4,2021,2,январь-июнь,False,2021,2,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2021-09-30,115.08,2021,3,январь-сентябрь,False,2021,3,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2021-12-31,107.34,2021,4,январь-декабрь,False,2021,4,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2022-03-31,85.93,2022,1,январь-март,False,2022,1,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2022-06-30,87.85,2022,2,январь-июнь,False,2022,2,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2022-09-30,90.38,2022,3,январь-сентябрь,False,2022,3,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Аудиоаппаратура,2022-12-31,92.16,2022,4,январь-декабрь,False,2022,4,RF_total,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2023-03-31,134.9,2023,1,январь-март,False,2023,1,RF_without_new_regions,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2023-06-30,143.76,2023,2,январь-июнь,False,2023,2,RF_without_new_regions,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2023-09-30,145.95,2023,3,январь-сентябрь,False,2023,3,RF_without_new_regions,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2023-12-31,144.78,2023,4,январь-декабрь,False,2023,4,RF_without_new_regions,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2024-03-31,122.0,2024,1,январь-март,False,2024,1,RF_without_new_regions,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2024-06-30,112.3,2024,2,январь-июнь,False,2024,2,RF_without_new_regions,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2024-09-30,107.6,2024,3,январь-сентябрь,False,2024,3,RF_without_new_regions,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2024-12-31,104.1,2024,4,январь-декабрь,False,2024,4,RF_without_new_regions,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2025-03-31,98.18,2025,1,январь-март,False,2025,1,RF_without_new_regions,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2025-06-30,98.79,2025,2,январь-июнь,False,2025,2,RF_without_new_regions,G99,Прочее,[2017-2025]_rozn_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Аудиоаппаратура,2025-09-30,105.74,2025,3,январь-сентябрь,False,2025,3,RF_without_new_regions,G99,Прочее,[2017-2025]_rozn_dynamics.xls
