Код товара,Название товара,Число наблюдений,Сила сезонности,"Сезонный размах, %",Сезонная поправка используется,Фактор Q1,Фактор Q2,Фактор Q3,Фактор Q4
S_автомобили_легковые,Автомобили легковые,36,0.14538238090073652,21.09285979771154,False,0.9052920395975466,0.9527645155372132,1.0575928035775097,1.0962440202697004
S_аудиоаппаратура,Аудиоаппаратура,36,0.6165155626610748,28.44507417838422,True,0.976063381549729,0.9116789256347585,0.959667295413608,1.171006672300262
S_бензины_автомобильные,Бензины автомобильные,21,0.7612546536031324,25.521673653551936,True,0.8963384738936034,0.9415790485023581,1.1250990540319568,1.053126196528173
S_всего_по_розничной_торговле,Всего по розничной торговле,25,0.06406478047048914,39.66652761232172,False,1.046190639801149,1.0893102811506603,0.7926338508341702,1.1070441761399152
S_газовое_моторное_топливо,Газовое моторное топливо,25,0.4833006844604122,40.24668055789087,True,0.8513147942733507,0.9085717779029662,1.0828487638608864,1.193940740066612
S_дизельное_топливо,Дизельное топливо,25,0.5236490601740322,20.203045236805405,True,0.956104895538487,0.8997944967441664,1.0747125552997514,1.081580385959676
S_компримированный_природный_газ,Компримированный природный газ,25,0.031131946207700323,17.479574747760118,False,0.9503451794656878,1.0905085599654545,1.0394960222538758,0.928253751604805
S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",36,0.578731519033986,31.698566910556146,True,0.999841159991055,0.8639385156678165,1.0174715341274463,1.137794644122845
S_лампы_газоразрядные_люминесцентные,Лампы газоразрядные люминесцентные,32,0.751516924950721,111.0771244561946,True,0.9591189676366932,0.7665101349497233,0.8407183914422511,1.6179275515171725
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",32,0.827579720872718,63.89142854617147,True,0.9866475417406835,0.7879326794623552,0.9961012720551788,1.2913541243529802
S_лампы_осветительные_бытовые,Лампы осветительные (бытовые),36,0.861618402228034,66.72465612798959,True,1.0151465780067093,0.7745207545155703,0.9849298392217687,1.291317064605995
S_лампы_светодиодные,Лампы светодиодные,32,0.7046809498534239,65.47959607939215,True,1.06870662023422,0.7462682006735889,1.0153298999144733,1.2349216041436026
S_макаронные_изделия,Макаронные изделия,36,0.6261361378141924,29.557982393029537,True,0.9569146635776402,0.9921029381701337,1.1681997670719035,0.9016810431085833
S_маргариновая_продукция,Маргариновая продукция,36,0.1725507873262242,9.497138941659223,False,0.9509525971558498,0.9912479845770107,1.0188193232200837,1.0412658865770577
S_мобильные_телефоны,Мобильные телефоны,36,0.3061482088297812,36.25350367428264,True,0.9660325831160645,0.8699338150459242,1.0038946072628951,1.1853153026474255
S_молоко_питьевое,Молоко питьевое,36,0.2598466271700145,12.05974888740371,True,0.9835504196582736,0.9913599680173778,1.0720395791611566,0.9566678399737707
S_молочные_напитки,Молочные напитки,32,0.2044406058160385,142.8412020998989,True,1.0380505165962812,0.9833306706661625,1.542418231277833,0.6351550799206306
S_мотоциклы,Мотоциклы,36,0.2469560432786735,54.243433128620566,True,0.8561413378120122,0.9596486791508715,0.9217011153744793,1.3205417918745486
S_мука,Мука,36,0.7544872537551985,29.541879311060136,True,0.9494647762368422,0.8947129233511442,1.0156487264987601,1.159027935347997
S_мясо_домашней_птицы,Мясо домашней птицы,36,0.9114828639809941,29.62242508175965,True,0.9089153360311405,1.0059692198372936,0.9282998975105007,1.178158100503589
S_мясо_животных,Мясо животных,36,0.8529822611509397,20.465512602815682,True,0.9264873771849692,0.9678486380806738,0.9991962842766348,1.1160977681262556
S_свежие_овощи,Свежие овощи,36,0.411311918647554,31.241666082852703,True,0.9623728673721196,0.8804315078916805,1.0213950348174932,1.1554929796754243
S_свежие_фрукты,Свежие фрукты,36,0.5782688067530278,44.9781540667344,True,0.9395130630400534,0.849071303954062,1.0183716125115783,1.2309679031829508
S_свежий_картофель,Свежий картофель,36,0.7824587377679327,62.82963085765996,True,0.7802279489084725,0.8410211428495158,1.1995452660957815,1.2704422890559575
S_сжиженный_природный_газ,Сжиженный природный газ,25,0.7106194318840359,81.5793789026258,True,0.8610743914636594,0.794611160507116,1.0129394354228227,1.4428500099397683
S_стиральные_машины,Стиральные машины,36,0.6440112955404904,49.526853869028244,True,0.9762718080246644,0.8463777876401644,0.9562722246719789,1.2655620777046228
S_строительные_материалы,Строительные материалы,36,0.8125182429651442,49.561266782333234,True,0.7726827775997217,0.9987793442354181,1.1556341503870624,1.1212665033677442
S_сыры,сыры,36,0.7624082891713309,34.28478282004153,True,0.996215620901928,0.8499417097933277,1.0347646104702883,1.1413423790929178
S_телевизоры,Телевизоры,36,0.7848743961715531,77.12792995757324,True,1.0382266397653823,0.756069620869875,0.9512555595094768,1.3392104684848818
S_ткани,Ткани,36,0.6296198203876396,51.492650304793706,True,0.8828354438871395,0.9514108103097283,0.8901861503704568,1.3374308117747176
S_фотоаппаратура_и_фототовары,Фотоаппаратура и фототовары,36,0.5216007815310828,46.33719026167758,True,0.9985779610608214,0.8430636326092709,0.9628144512260862,1.233715632078439
S_холодильники_и_морозильники,Холодильники и морозильники,36,0.5070628136838098,22.405902614673213,True,0.9111097960222923,0.9110154390585703,1.1151366711386712,1.080377296279822
S_чай,Чай,36,0.8882257823953277,42.595343803529495,True,0.9292115875827784,0.8669124891826767,1.2361768444257732,1.0042215089199094
