product_group_code,product_group_name,period_end,year,quarter,ppi_group_index,ppi_q_compounded_percent,n_ppi_products,ppi_growth_qoq_pct,ppi_growth_yoy_pct,ppi_group_index_lag1,ppi_group_index_lag2,ppi_group_index_lag4
G01,"Хлеб, крупы, мука и макаронные изделия",2017-03-31,2017,1,94.63364633333333,92.73283609386668,3,,,,,
G01,"Хлеб, крупы, мука и макаронные изделия",2017-06-30,2017,2,88.47616862125061,93.33992307800001,3,-6.506647424737178,,94.63364633333333,,
G01,"Хлеб, крупы, мука и макаронные изделия",2017-09-30,2017,3,83.20103480646056,93.5761656674,3,-5.962208690762683,,88.47616862125061,94.63364633333333,
G01,"Хлеб, крупы, мука и макаронные изделия",2017-12-31,2017,4,76.72015074955472,91.33901342920001,3,-7.789427225252011,,83.20103480646056,88.47616862125061,
G01,"Хлеб, крупы, мука и макаронные изделия",2018-03-31,2018,1,73.39718758088289,94.4602864534,3,-4.331278205538613,-22.4407064244868,76.72015074955472,83.20103480646056,94.63364633333333
G01,"Хлеб, крупы, мука и макаронные изделия",2018-06-30,2018,2,77.90506429828564,107.0911444583,3,6.141756742974813,-11.94796800957535,73.39718758088289,76.72015074955472,88.47616862125061
G01,"Хлеб, крупы, мука и макаронные изделия",2018-09-30,2018,3,81.13730290716474,103.09915887569998,3,4.148945435053353,-2.4804161439775374,77.90506429828564,73.39718758088289,83.20103480646056
G01,"Хлеб, крупы, мука и макаронные изделия",2018-12-31,2018,4,86.63805711930604,107.76931994776665,3,6.779562562530739,12.927381232770685,81.13730290716474,77.90506429828564,76.72015074955472
G01,"Хлеб, крупы, мука и макаронные изделия",2019-03-31,2019,1,91.45026588956921,104.58867858133333,3,5.55438213905981,24.596416979590717,86.63805711930604,81.13730290716474,73.39718758088289
G01,"Хлеб, крупы, мука и макаронные изделия",2019-06-30,2019,2,92.7010157758524,102.47017249920002,3,1.3676831599303663,18.992284533538808,91.45026588956921,86.63805711930604,77.90506429828564
G01,"Хлеб, крупы, мука и макаронные изделия",2019-09-30,2019,3,92.73464322216331,101.3384561321,3,0.036275164872212606,14.293475256711407,92.7010157758524,91.45026588956921,81.13730290716474
G01,"Хлеб, крупы, мука и макаронные изделия",2019-12-31,2019,4,100.90103693738537,112.55752519293334,3,8.806195216234268,16.46271891628215,92.73464322216331,92.7010157758524,86.63805711930604
G01,"Хлеб, крупы, мука и макаронные изделия",2020-03-31,2020,1,105.08714534631633,104.42561507986666,3,4.148726847602835,14.911798587020343,100.90103693738537,92.73464322216331,91.45026588956921
G01,"Хлеб, крупы, мука и макаронные изделия",2020-06-30,2020,2,118.43806532666413,112.6531846602,3,12.704617616502588,27.763503274918765,105.08714534631633,100.90103693738537,92.7010157758524
G01,"Хлеб, крупы, мука и макаронные изделия",2020-09-30,2020,3,119.57668596366375,100.92356764793333,3,0.9613637590745849,28.945000281281352,118.43806532666413,105.08714534631633,92.73464322216331
G01,"Хлеб, крупы, мука и макаронные изделия",2020-12-31,2020,4,128.9963887778455,107.97725819726666,3,7.877541293496093,27.844462944315286,119.57668596366375,118.43806532666413,100.90103693738537
G01,"Хлеб, крупы, мука и макаронные изделия",2021-03-31,2021,1,132.33090169097463,102.55371733333334,3,2.584966094571639,25.92491808096611,128.9963887778455,119.57668596366375,105.08714534631633
G01,"Хлеб, крупы, мука и макаронные изделия",2021-06-30,2021,2,134.39458069176476,102.060062,2,1.5594838200447825,13.472455262664873,132.33090169097463,128.9963887778455,118.43806532666413
G01,"Хлеб, крупы, мука и макаронные изделия",2021-09-30,2021,3,137.42104887547595,102.56834123286667,3,2.2519272489509135,14.922944860032871,134.39458069176476,132.33090169097463,119.57668596366375
G01,"Хлеб, крупы, мука и макаронные изделия",2021-12-31,2021,4,153.47516739050621,111.29843302386666,3,11.682430491108908,18.976328596932635,137.42104887547595,134.39458069176476,128.9963887778455
G01,"Хлеб, крупы, мука и макаронные изделия",2022-03-31,2022,1,165.0440686415791,107.74254402419997,3,7.537962947215204,24.720731539332963,153.47516739050621,137.42104887547595,132.33090169097463
G01,"Хлеб, крупы, мука и макаронные изделия",2022-06-30,2022,2,171.81371707655913,104.6421401138,3,4.101721734503205,27.84274201548016,165.0440686415791,153.47516739050621,134.39458069176476
G01,"Хлеб, крупы, мука и макаронные изделия",2022-09-30,2022,3,152.50229747092294,89.22880626839999,3,-11.239742631859329,10.97448223460502,171.81371707655913,165.0440686415791,137.42104887547595
G01,"Хлеб, крупы, мука и макаронные изделия",2022-12-31,2022,4,138.03694671519665,90.4502130898,3,-9.48533300521872,-10.05910007319175,152.50229747092294,171.81371707655913,153.47516739050621
G01,"Хлеб, крупы, мука и макаронные изделия",2023-03-31,2023,1,131.97087972577276,95.27882544333333,3,-4.3945241718071575,-20.039004847626675,138.03694671519665,152.50229747092294,165.0440686415791
G01,"Хлеб, крупы, мука и макаронные изделия",2023-06-30,2023,2,125.07507962152795,94.23560722113332,3,-5.225243719352224,-27.203088467147673,131.97087972577276,138.03694671519665,171.81371707655913
G01,"Хлеб, крупы, мука и макаронные изделия",2023-09-30,2023,3,131.78957363280537,105.859825372,3,5.36837076705865,-13.581909375540258,125.07507962152795,131.97087972577276,152.50229747092294
G01,"Хлеб, крупы, мука и макаронные изделия",2023-12-31,2023,4,128.75417732142662,96.94529526706668,3,-2.3032143042180486,-6.724844046951139,131.78957363280537,125.07507962152795,138.03694671519665
G01,"Хлеб, крупы, мука и макаронные изделия",2024-03-31,2024,1,128.07375344884443,98.20392204299999,3,-0.5284674149900082,-2.953019851823613,128.75417732142662,131.78957363280537,131.97087972577276
G01,"Хлеб, крупы, мука и макаронные изделия",2024-06-30,2024,2,130.85737153752788,101.5649987521,3,2.173449292868024,4.623056753988819,128.07375344884443,128.75417732142662,125.07507962152795
G01,"Хлеб, крупы, мука и макаронные изделия",2024-09-30,2024,3,131.34631225205158,99.47965891760002,3,0.373643997872497,-0.33634024948652197,130.85737153752788,128.07375344884443,131.78957363280537
G01,"Хлеб, крупы, мука и макаронные изделия",2024-12-31,2024,4,133.61595828382644,101.7078781638,3,1.7279861100473415,3.776018039603235,131.34631225205158,130.85737153752788,128.75417732142662
G01,"Хлеб, крупы, мука и макаронные изделия",2025-03-31,2025,1,121.15490175284344,100.10489133549999,2,-9.326024144895385,-5.402240123121349,133.61595828382644,131.34631225205158,128.07375344884443
G01,"Хлеб, крупы, мука и макаронные изделия",2025-06-30,2025,2,120.34168182395078,98.42435142689999,2,-0.6712232993689615,-8.035993379678551,121.15490175284344,133.61595828382644,130.85737153752788
G01,"Хлеб, крупы, мука и макаронные изделия",2025-09-30,2025,3,123.38330476293505,105.37457207509999,2,2.5274891399921673,-6.062604539544003,120.34168182395078,121.15490175284344,131.34631225205158
G01,"Хлеб, крупы, мука и макаронные изделия",2025-12-31,2025,4,121.30526584111401,98.88610508119999,2,-1.6842140237803838,-9.213489616683447,123.38330476293505,120.34168182395078,133.61595828382644
G01,"Хлеб, крупы, мука и макаронные изделия",2026-03-31,2026,1,122.86449845399864,102.2179074172,2,1.2853791647651214,1.4110833952412305,121.30526584111401,123.38330476293505,121.15490175284344
G02,Молочная продукция и яйца,2017-03-31,2017,1,100.57119666666667,103.26060688753334,3,,,,,
G02,Молочная продукция и яйца,2017-06-30,2017,2,101.41528088875246,100.8445685985,3,0.839290224300937,,100.57119666666667,,
G02,Молочная продукция и яйца,2017-09-30,2017,3,101.18110847491612,99.76753372546666,3,-0.23090446704301382,,101.41528088875246,100.57119666666667,
G02,Молочная продукция и яйца,2017-12-31,2017,4,102.84652286190254,101.64080467353334,3,1.645973652679733,,101.18110847491612,101.41528088875246,
G02,Молочная продукция и яйца,2018-03-31,2018,1,101.83801540819087,99.01781736683334,3,-0.9805946041227309,1.2596238122958292,102.84652286190254,101.18110847491612,100.57119666666667
G02,Молочная продукция и яйца,2018-06-30,2018,2,100.68953892549416,98.88197867680002,3,-1.1277482952641416,-0.7156140148686263,101.83801540819087,102.84652286190254,101.41528088875246
G02,Молочная продукция и яйца,2018-09-30,2018,3,101.9661138389008,101.2630123844,3,1.267832713338013,0.7758418303741799,100.68953892549416,101.83801540819087,101.18110847491612
G02,Молочная продукция и яйца,2018-12-31,2018,4,105.18902725953751,103.17585630910001,3,3.1607691019083894,2.2776700003561245,101.9661138389008,100.68953892549416,102.84652286190254
G02,Молочная продукция и яйца,2019-03-31,2019,1,105.69661471861959,100.48715566666665,3,0.482547916171594,3.78895768437999,105.18902725953751,101.9661138389008,101.83801540819087
G02,Молочная продукция и яйца,2019-06-30,2019,2,105.78991521193241,100.08889259906668,3,0.08827197877736559,5.0654480503801835,105.69661471861959,105.18902725953751,100.68953892549416
G02,Молочная продукция и яйца,2019-09-30,2019,3,108.18104785061102,102.26818057960001,3,2.2602652000319523,6.095097457111476,105.78991521193241,105.69661471861959,101.9661138389008
G02,Молочная продукция и яйца,2019-12-31,2019,4,112.37677284361278,103.87747026013331,3,3.8784288711972037,6.833170503935393,108.18104785061102,105.78991521193241,105.18902725953751
G02,Молочная продукция и яйца,2020-03-31,2020,1,114.30978553732142,101.71725559766666,3,1.7201176406788976,8.14895618145519,112.37677284361278,108.18104785061102,105.69661471861959
G02,Молочная продукция и яйца,2020-06-30,2020,2,113.37680727708032,99.18333113053335,3,-0.8161840702049838,7.171659084846449,114.30978553732142,112.37677284361278,105.78991521193241
G02,Молочная продукция и яйца,2020-09-30,2020,3,114.34766558039405,100.84234688766668,3,0.8563112038788123,5.7002754662707655,113.37680727708032,114.30978553732142,108.18104785061102
G02,Молочная продукция и яйца,2020-12-31,2020,4,113.80072990049939,99.594977741,3,-0.47830944087802196,1.2671275574608565,114.34766558039405,113.37680727708032,112.37677284361278
G02,Молочная продукция и яйца,2021-03-31,2021,1,115.37579435087498,101.39070966666667,3,1.384054787480471,0.9325612925811244,113.80072990049939,114.34766558039405,114.30978553732142
G02,Молочная продукция и яйца,2021-06-30,2021,2,115.85376884385943,100.41678866666668,3,0.41427623157319626,2.1847162803991127,115.37579435087498,113.80072990049939,113.37680727708032
G02,Молочная продукция и яйца,2021-09-30,2021,3,118.24638025509114,102.06448636800002,3,2.0651994623121173,3.4095271249381387,115.85376884385943,115.37579435087498,114.34766558039405
G02,Молочная продукция и яйца,2021-12-31,2021,4,126.42863292207211,106.91310560853333,3,6.919664390004598,11.096504418393272,118.24638025509114,115.85376884385943,113.80072990049939
G02,Молочная продукция и яйца,2022-03-31,2022,1,133.51324783238047,105.58838611133332,3,5.603647485989316,15.720328153361862,126.42863292207211,118.24638025509114,115.37579435087498
G02,Молочная продукция и яйца,2022-06-30,2022,2,141.95701876363302,106.35456187103334,3,6.324294456422264,22.53120479399677,133.51324783238047,126.42863292207211,115.85376884385943
G02,Молочная продукция и яйца,2022-09-30,2022,3,142.92070212482926,100.68597079146667,3,0.6788557336504963,20.86687289412883,141.95701876363302,133.51324783238047,118.24638025509114
G02,Молочная продукция и яйца,2022-12-31,2022,4,145.04221226972928,101.49207878606666,3,1.4843966712723367,14.722597972826446,142.92070212482926,141.95701876363302,126.42863292207211
G02,Молочная продукция и яйца,2023-03-31,2023,1,147.3457500776239,101.59337056919999,3,1.5881844132457301,10.36039679194194,145.04221226972928,142.92070212482926,133.51324783238047
G02,Молочная продукция и яйца,2023-06-30,2023,2,143.9955740939245,97.73997661553334,3,-2.2736834838700815,1.4360370117984633,147.3457500776239,145.04221226972928,141.95701876363302
G02,Молочная продукция и яйца,2023-09-30,2023,3,141.1134893608191,97.9940198572,3,-2.0015092486283526,-1.2644863460240408,143.9955740939245,147.3457500776239,142.92070212482926
G02,Молочная продукция и яйца,2023-12-31,2023,4,144.49133737623868,102.29389141170002,3,2.3937102191432746,-0.37980315169638956,141.1134893608191,143.9955740939245,145.04221226972928
G02,Молочная продукция и яйца,2024-03-31,2024,1,153.08280126050315,106.21765685876666,3,5.946006203744436,3.893598003238563,144.49133737623868,141.1134893608191,147.3457500776239
G02,Молочная продукция и яйца,2024-06-30,2024,2,156.17211404882005,101.97404547356666,3,2.018066538421759,8.456190429126064,153.08280126050315,144.49133737623868,143.9955740939245
G02,Молочная продукция и яйца,2024-09-30,2024,3,167.1095972251059,106.73423542186667,3,7.003480258240424,18.4221281622597,156.17211404882005,153.08280126050315,141.1134893608191
G02,Молочная продукция и яйца,2024-12-31,2024,4,184.71812864534328,110.45476285066665,3,10.537115589188883,27.840278870392552,167.1095972251059,156.17211404882005,144.49133737623868
