buy_ability_product_name,year,buy_ability_value,buy_ability_section,product_group_code,product_group_name
Рыба замороженная (кроме лососевых пород и рыбного филе),2023,215.6,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Рыба замороженная (кроме лососевых пород и рыбного филе),2024,229.6,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Рыба замороженная (кроме лососевых пород и рыбного филе),2025,214.4,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Сельдь соленая,2017,155.8,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Сельдь соленая,2018,172.0,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Сельдь соленая,2019,183.0,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Сельдь соленая,2020,181.2,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Сельдь соленая,2021,186.3,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Сельдь соленая,2022,179.0,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Сельдь соленая,2023,198.3,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Сельдь соленая,2024,211.9,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Сельдь соленая,2025,197.0,"Продукты питания, кг в месяц",G03,"Мясо, птица, рыба и колбасные изделия"
Масло сливочное,2017,61.6,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Масло сливочное,2018,61.6,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Масло сливочное,2019,60.4,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Масло сливочное,2020,57.3,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Масло сливочное,2021,60.0,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Масло сливочное,2022,57.9,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Масло сливочное,2023,64.3,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Масло сливочное,2024,65.1,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Масло сливочное,2025,62.1,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Масло подсолнечное4), л",2017,307.7,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
"Масло подсолнечное4), л",2018,332.4,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
"Масло подсолнечное4), л",2019,352.8,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
"Масло подсолнечное4), л",2020,337.6,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
"Масло подсолнечное4), л",2021,305.3,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
"Масло подсолнечное4), л",2022,346.8,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
"Масло подсолнечное4), л",2023,417.8,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
"Масло подсолнечное4), л",2024,481.6,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
"Масло подсолнечное4), л",2025,495.9,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Маргарин,2017,256.2,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
