product_group_code,product_group_name,sales_product_code,sales_product_name,n_periods,first_period,last_period,sales_value_index_non_null,real_sales_proxy_index_non_null,physical_volume_cumulative_yoy_index_non_null,consumer_price_index_non_null
G07,"Товары для дома, гигиены и бытовая химия",S_стиральные_машины,Стиральные машины,36,2017-03-31,2025-12-31,36,36,36,36
G07,"Товары для дома, гигиены и бытовая химия",S_услуги_по_розничной_торговле_косметическими_и_парфюмерными_товарами_кроме_мыла_в_специализированных_магазинах,"Услуги по розничной торговле косметическими и парфюмерными товарами, кроме мыла, в специализированных магазинах",36,2017-03-31,2025-12-31,36,36,36,36
G07,"Товары для дома, гигиены и бытовая химия",S_услуги_по_розничной_торговле_туалетным_и_хозяйственным_мылом_в_специализированных_магазинах,Услуги по розничной торговле туалетным и хозяйственным мылом в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G10,Топливо и транспортные товары,S_автомобили_легковые,Автомобили легковые,36,2017-03-31,2025-12-31,36,36,36,36
G10,Топливо и транспортные товары,S_бензины_автомобильные,Бензины автомобильные,21,2017-03-31,2024-03-31,21,21,20,21
G10,Топливо и транспортные товары,S_газовое_моторное_топливо,Газовое моторное топливо,25,2017-03-31,2024-03-31,25,25,24,25
G10,Топливо и транспортные товары,S_дизельное_топливо,Дизельное топливо,25,2017-03-31,2024-03-31,25,25,24,25
G10,Топливо и транспортные товары,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",32,2017-03-31,2024-12-31,32,32,32,32
G10,Топливо и транспортные товары,S_услуги_по_розничной_торговле_автомобильными_деталями_узлами_и_принадлежностями,"Услуги по розничной торговле автомобильными деталями, узлами и принадлежностями",36,2017-03-31,2025-12-31,36,36,36,36
G11,Услуги,S_услуги_по_розничной_почтовой_посылочной_торговле,Услуги по розничной почтовой (посылочной) торговле,20,2017-03-31,2021-12-31,20,20,20,20
G99,Прочее,S_аудиоаппаратура,Аудиоаппаратура,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_всего_по_розничной_торговле,Всего по розничной торговле,26,2017-03-31,2025-09-30,25,25,0,26
G99,Прочее,S_компримированный_природный_газ,Компримированный природный газ,25,2017-03-31,2024-03-31,25,25,24,25
G99,Прочее,S_лампы_газоразрядные_люминесцентные,Лампы газоразрядные люминесцентные,32,2017-03-31,2024-12-31,32,32,32,32
G99,Прочее,S_лампы_осветительные_бытовые,Лампы осветительные (бытовые),36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_лампы_светодиодные,Лампы светодиодные,32,2017-03-31,2024-12-31,32,32,32,32
G99,Прочее,S_мобильные_телефоны,Мобильные телефоны,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_мотоциклы,Мотоциклы,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_сжиженный_природный_газ,Сжиженный природный газ,25,2017-03-31,2024-03-31,25,25,24,25
G99,Прочее,S_строительные_материалы,Строительные материалы,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_телевизоры,Телевизоры,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_ткани,Ткани,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_аудио_и_видеотехникой_в_специализированных_магазинах,Услуги по розничной торговле аудио- и видеотехникой в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_безалкогольными_напитками_в_специализированных_магазинах,Услуги по розничной торговле безалкогольными напитками в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_бытовыми_электротоварами_в_специализированных_магазинах,Услуги по розничной торговле бытовыми электротоварами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_велосипедами_в_специализированных_магазинах,Услуги по розничной торговле велосипедами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_водами_питьевыми_упакованными_включая_минеральные_воды,"Услуги по розничной торговле водами питьевыми упакованными,включая минеральные воды",13,2022-12-31,2025-12-31,12,12,12,13
G99,Прочее,S_услуги_по_розничной_торговле_газетами_и_журналами_в_специализированных_магазинах,Услуги по розничной торговле газетами и журналами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_животными_маслами_и_жирами_в_специализированных_магазинах,Услуги по розничной торговле животными маслами и жирами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_изделиями_из_меха_в_специализированных_магазинах,Услуги по розничной торговле изделиями из меха в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_изделиями_применяемыми_в_медицинских_целях_ортопедическими_изделиями_в_специализированных_м,"Услуги по розничной торговле изделиями, применяемыми в медицинских целях, ортопедическими изделиями в специализированных магазинах",36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_книгами_в_специализированных_магазинах,Услуги по розничной торговле книгами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_компьютерами_в_специализированных_магазинах,Услуги по розничной торговле компьютерами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_лекарственными_средствами_в_специализированных_магазинах,Услуги по розничной торговле лекарственными средствами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_мебелью_в_специализированных_магазинах,Услуги по розничной торговле мебелью в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_мужской_женской_и_детской_одеждой_в_специализированных_магазинах,"Услуги по розничной торговле мужской, женской и детской одеждой в специализированных магазинах",36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_музыкальными_и_видеозаписями_в_специализированных_магазинах,Услуги по розничной торговле музыкальными и видеозаписями в специализированных магазинах,8,2017-03-31,2018-12-31,8,8,8,8
G99,Прочее,S_услуги_по_розничной_торговле_нательным_бельем_в_специализированных_магазинах,Услуги по розничной торговле нательным бельем в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_обувью_в_специализированных_магазинах,Услуги по розничной торговле обувью в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_осуществляемые_непосредственно_при_помощи_информационно_коммуникационной_сети_интернет,"Услуги по розничной торговле, осуществляемые непосредственно при помощи информационно-коммуникационной сети Интернет",20,2017-03-31,2021-12-31,20,20,20,20
G99,Прочее,S_услуги_по_розничной_торговле_периферийными_устройствами_в_специализированных_магазинах,Услуги по розничной торговле периферийными устройствами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_писчебумажными_и_канцелярскими_товарами_в_специализированных_магазинах,Услуги по розничной торговле писчебумажными и канцелярскими товарами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_спортивным_оборудованием_и_спортивными_товарами_в_специализированных_магазинах,Услуги по розничной торговле спортивным оборудованием и спортивными товарами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_табачными_изделиями_в_специализированных_магазинах,Услуги по розничной торговле табачными изделиями в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_часами_в_специализированных_магазинах,Услуги по розничной торговле часами в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_чулочно_носочными_изделиями_в_специализированных_магазинах,Услуги по розничной торговле чулочно-носочными изделиями в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_услуги_по_розничной_торговле_ювелирными_изделиями_в_специализированных_магазинах,Услуги по розничной торговле ювелирными изделиями в специализированных магазинах,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_фотоаппаратура_и_фототовары,Фотоаппаратура и фототовары,36,2017-03-31,2025-12-31,36,36,36,36
G99,Прочее,S_холодильники_и_морозильники,Холодильники и морозильники,36,2017-03-31,2025-12-31,36,36,36,36
