product_group_code,product_group_name,period_end,year,quarter,consumer_price_index,consumer_price_index_observed_mean,n_price_products,n_price_products_observed,n_price_products_interpolated,consumer_price_growth_qoq_pct,consumer_price_growth_yoy_pct,consumer_price_index_lag1,consumer_price_index_lag2,consumer_price_index_lag4,sales_region,sales_region_scope,per_capita_income_rub,region,region_scope,per_capita_income_index,per_capita_income_qoq_pct,per_capita_income_yoy_pct,stock_value_mean_thousand_rub,stock_value_last_thousand_rub,stock_value_months_available,stock_value_region,stock_value_region_scope,stock_value_qoq_pct,stock_value_yoy_pct,stock_days_mean,stock_days_last,stock_days_months_available,stock_days_region,stock_days_region_scope,stock_days_qoq_pct,stock_days_yoy_pct,ppi_group_index,ppi_q_compounded_percent,n_ppi_products,ppi_growth_qoq_pct,ppi_growth_yoy_pct,ppi_group_index_lag1,ppi_group_index_lag2,ppi_group_index_lag4,buy_ability_group_mean,n_buy_ability_products,is_price_interpolated_2021,shock_2022_q1,shock_2022_q2,shock_2022_h2,post_2022,quarter_sin,quarter_cos,sales_quarter_thousand_rub,sales_cumulative_thousand_rub,n_sales_products,sales_value_index,sales_value_growth_qoq_pct,sales_value_growth_yoy_pct,physical_volume_cumulative_yoy_index,n_physical_products,physical_volume_cumulative_yoy_index_lag1,physical_volume_cumulative_yoy_index_lag2,physical_volume_cumulative_yoy_index_lag4,real_sales_proxy,real_sales_proxy_index,real_sales_proxy_index_lag1,real_sales_proxy_index_lag2,real_sales_proxy_index_lag4
G01,"Хлеб, крупы, мука и макаронные изделия",2016-03-31,2016,1,100.0,100.0,9,8,0,,,,,,,,,,,,,,1157603421.4199998,1180717380.08,3.0,Российская Федерация,RF_total,,,38.333333333333336,38.0,3.0,Российская Федерация,RF_total,,,,,,,,,,,,,0,0,0,0,0,1.0,6.123233995736766e-17,,,,,,,,,,,,,,,,
G01,"Хлеб, крупы, мука и макаронные изделия",2016-06-30,2016,2,102.56347316126958,102.56347316126958,9,8,0,2.563473161269592,,100.0,,,,,,,,,,,1175455695.6666667,1175858078.8,3.0,Российская Федерация,RF_total,1.542175318104011,,38.0,38.0,3.0,Российская Федерация,RF_total,-0.8695652173913104,,,,,,,,,,,,0,0,0,0,0,1.2246467991473532e-16,-1.0,,,,,,,,,,,,,,,,
G01,"Хлеб, крупы, мука и макаронные изделия",2016-09-30,2016,3,104.53924265073093,104.53924265073093,9,8,0,1.9263870738412516,,102.56347316126958,100.0,,,,,,,,,,1204476575.0,1237298511.3,3.0,Российская Федерация,RF_total,2.4689045652948938,,37.333333333333336,38.0,3.0,Российская Федерация,RF_total,-1.754385964912275,,,,,,,,,,,,0,0,0,0,0,-1.0,-1.8369701987210294e-16,,,,,,,,,,,,,,,,
G01,"Хлеб, крупы, мука и макаронные изделия",2016-12-31,2016,4,103.45228330494707,103.45228330494707,9,8,0,-1.039762024501556,,104.53924265073093,102.56347316126958,,,,,,,,,,1339932513.3666666,1395382949.1,3.0,Российская Федерация,RF_total,11.246041739472323,,37.66666666666666,34.0,3.0,Российская Федерация,RF_total,0.8928571428571397,,,,,,,,,,,,0,0,0,0,0,-2.4492935982947064e-16,1.0,,,,,,,,,,,,,,,,
G01,"Хлеб, крупы, мука и макаронные изделия",2017-03-31,2017,1,102.44569874153872,102.44569874153872,9,8,0,-0.972994052186582,2.4456987415387266,103.45228330494707,104.53924265073093,100.0,Российская Федерация,RF_total,27617.0,Российская Федерация,RF_total,100.0,,,1318029619.0,1371478667.7,3.0,Российская Федерация,RF_total,-1.6346266806851473,13.858476453292589,36.86333333333334,37.18,3.0,Российская Федерация,RF_total,-2.132743362831846,-3.8347826086956527,94.63364633333332,92.73283609386668,3.0,,,,,,637.6428571428571,7.0,0,0,0,0,0,1.0,6.123233995736766e-17,63402369.53,63402369.53,2.0,100.0,,,101.1392179877098,2.0,,,,97.61268772473406,100.0,,,
G01,"Хлеб, крупы, мука и макаронные изделия",2017-06-30,2017,2,100.75235424261714,100.75235424261714,9,8,0,-1.652919077836279,-1.7658517821492414,102.44569874153872,103.45228330494707,102.56347316126958,Российская Федерация,RF_total,31142.0,Российская Федерация,RF_total,112.76387732193938,12.763877321939376,,1356238062.3333333,1351455494.3,3.0,Российская Федерация,RF_total,2.898906275135338,15.379768657646832,36.10666666666667,35.34,3.0,Российская Федерация,RF_total,-2.052626819784797,-4.982456140350866,88.47616862125061,93.339923078,3.0,-6.506647424737178,,94.63364633333332,,,637.6428571428571,7.0,0,0,0,0,0,1.2246467991473532e-16,-1.0,63862243.269999996,127264612.8,2.0,100.72532579367149,0.725325793671483,,101.05240302952326,2.0,101.1392179877098,,,99.97317338225112,102.41821602553716,100.0,,
G01,"Хлеб, крупы, мука и макаронные изделия",2017-09-30,2017,3,99.2115852276264,99.2115852276264,9,8,0,-1.529263535897618,-5.0963229577857145,100.75235424261714,102.44569874153872,104.53924265073093,Российская Федерация,RF_total,31160.0,Российская Федерация,RF_total,112.82905456783864,0.057799755956589,,1396551504.11,1428069314.2,3.0,Российская Федерация,RF_total,2.972445833536752,15.946755054991414,35.21666666666667,35.56,3.0,Российская Федерация,RF_total,-2.4649187592319044,-5.669642857142854,83.20103480646056,93.5761656674,3.0,-5.962208690762683,,88.47616862125061,94.63364633333332,,637.6428571428571,7.0,0,0,0,0,0,-1.0,-1.8369701987210294e-16,77211845.30000001,204476458.10000002,2.0,121.78069348569977,20.903747420146026,,102.19211867467179,2.0,101.05240302952326,101.1392179877098,,122.74846048099309,125.75051803423489,102.41821602553716,100.0,
G01,"Хлеб, крупы, мука и макаронные изделия",2017-12-31,2017,4,97.85341913095532,97.85341913095532,9,8,0,-1.3689591730189243,-5.412025713814305,99.2115852276264,100.75235424261714,103.45228330494707,Российская Федерация,RF_total,37029.0,Российская Федерация,RF_total,134.08045768910452,18.835044929396677,,1525051331.0666666,1581173863.0,3.0,Российская Федерация,RF_total,9.201223626804778,13.815532935675767,35.69,32.0,3.0,Российская Федерация,RF_total,1.3440605773781256,-5.24778761061947,76.72015074955472,91.3390134292,3.0,-7.789427225252011,,83.20103480646056,88.47616862125061,,637.6428571428571,7.0,0,0,0,0,0,-2.4492935982947064e-16,1.0,73724363.0,278200821.1,2.0,116.28013833949211,-4.51677108149624,,103.3017875594259,2.0,102.19211867467179,101.05240302952326,,118.83094057641121,121.73718739464712,125.75051803423489,102.41821602553716,
G01,"Хлеб, крупы, мука и макаронные изделия",2018-03-31,2018,1,96.84806511918129,96.84806511918129,9,8,0,-1.027408158756915,-5.464000627766485,97.85341913095532,99.2115852276264,102.44569874153872,Российская Федерация,RF_total,28848.0,Российская Федерация,RF_total,104.4573994278886,-22.09349428826055,4.457399427888609,1467832262.2399998,1497028707.52,3.0,Российская Федерация,RF_total,-3.75194379763244,11.365650747185496,37.98666666666667,37.22,3.0,Российская Федерация,RF_total,6.435042495563681,3.0472917985351344,73.39718758088289,94.4602864534,3.0,-4.331278205538613,-22.4407064244868,76.72015074955472,83.20103480646056,94.63364633333332,671.9285714285714,7.0,0,0,0,0,0,1.0,6.123233995736766e-17,64065499.3,64065499.3,2.0,101.04590691943496,-13.101318623804193,1.045906919434958,103.69914781761484,2.0,103.3017875594259,102.19211867467179,101.1392179877098,104.33446119453993,106.886167798966,121.73718739464712,125.75051803423489,100.0
G01,"Хлеб, крупы, мука и макаронные изделия",2018-06-30,2018,2,96.7135127836479,96.7135127836479,9,8,0,-0.1389313615793974,-4.008681970094208,96.84806511918129,97.85341913095532,100.75235424261714,Российская Федерация,RF_total,32320.0,Российская Федерация,RF_total,117.02936597023572,12.035496394897384,3.782672917603236,1492273891.7600002,1488589027.13,3.0,Российская Федерация,RF_total,1.6651514037919537,10.03037985769437,36.91333333333333,35.89,3.0,Российская Федерация,RF_total,-2.825552825552835,2.234121122599708,77.90506429828564,107.0911444583,3.0,6.141756742974813,-11.94796800957535,73.39718758088289,76.72015074955472,88.47616862125061,671.9285714285714,7.0,0,0,0,0,0,1.2246467991473532e-16,-1.0,64347570.3,128413069.60000001,2.0,101.4907972320384,0.44028533779023604,0.7599592578483527,103.43454554388978,2.0,103.69914781761484,103.3017875594259,101.05240302952326,104.93962457870545,107.5061316564023,106.886167798966,121.73718739464712,102.41821602553716
G01,"Хлеб, крупы, мука и макаронные изделия",2018-09-30,2018,3,98.48930585718638,98.48930585718638,9,8,0,1.836137497674195,-0.7280191812103931,96.7135127836479,96.84806511918129,99.2115852276264,Российская Федерация,RF_total,32536.0,Российская Федерация,RF_total,117.81149292102693,0.6683168316831578,4.41591784338895,1537062112.8333333,1561351681.1,3.0,Российская Федерация,RF_total,3.00134052606853,10.061255049299357,35.906666666666666,36.44,3.0,Российская Федерация,RF_total,-2.727108542532064,1.9592995740653096,81.13730290716474,103.09915887569998,3.0,4.148945435053353,-2.4804161439775374,77.90506429828564,73.39718758088289,83.20103480646056,671.9285714285714,7.0,0,0,0,0,0,-1.0,-1.8369701987210294e-16,79543454.89999999,207956524.5,2.0,125.45817370810177,23.61531994005994,3.019756348188163,104.46254949278045,2.0,103.43454554388978,103.69914781761484,102.19211867467179,127.38253419109418,130.4979272267459,107.5061316564023,106.886167798966,125.75051803423489
G01,"Хлеб, крупы, мука и макаронные изделия",2018-12-31,2018,4,103.89538387670032,103.89538387670032,9,8,0,5.4890000213353,6.174505499556604,98.48930585718638,96.7135127836479,97.85341913095532,Российская Федерация,RF_total,38868.0,Российская Федерация,RF_total,140.7393996451461,19.461519547578064,4.966377703961755,1699537940.0666666,1779708453.8,3.0,Российская Федерация,RF_total,10.570544018799245,11.44135973954128,36.36333333333334,33.01,3.0,Российская Федерация,RF_total,1.2718158187894568,1.8866162323713631,86.63805711930604,107.76931994776665,3.0,6.779562562530739,12.927381232770683,81.13730290716474,77.90506429828564,76.72015074955472,671.9285714285714,7.0,0,0,0,0,0,-2.4492935982947064e-16,1.0,69899686.0,277856210.5,2.0,110.24775023104725,-12.123899964018259,-5.187806098779024,101.60840742769574,2.0,104.46254949278045,103.43454554388978,103.3017875594259,106.11419498857207,108.70942852000152,130.4979272267459,107.5061316564023,121.73718739464712
G01,"Хлеб, крупы, мука и макаронные изделия",2019-03-31,2019,1,111.05688519526412,111.05688519526412,9,8,0,6.892992788845032,14.671248267683469,103.89538387670032,98.48930585718638,96.84806511918129,Российская Федерация,RF_total,30075.0,Российская Федерация,RF_total,108.90031502335518,-22.622723062673668,4.253327787021632,1666606340.3766668,1712699862.86,3.0,Российская Федерация,RF_total,-1.9376795841761552,13.542015886292468,39.06666666666667,38.37,3.0,Российская Федерация,RF_total,7.434228618571814,2.8431028431028293,91.4502658895692,104.58867858133333,3.0,5.55438213905981,24.59641697959072,86.63805711930604,81.13730290716474,73.39718758088289,637.0857142857143,7.0,0,0,0,0,0,1.0,6.123233995736766e-17,69274352.0,69274352.0,2.0,109.26145586281528,-0.8946163220246994,8.130511362454973,102.13211194936908,2.0,101.60840742769574,104.46254949278045,103.69914781761484,98.38332460946295,100.78948434132053,108.70942852000152,130.4979272267459,106.886167798966
G01,"Хлеб, крупы, мука и макаронные изделия",2019-06-30,2019,2,117.5850295454323,117.5850295454323,9,8,0,5.8781986715098045,21.58076587340474,111.05688519526412,103.89538387670032,96.7135127836479,Российская Федерация,RF_total,34424.0,Российская Федерация,RF_total,124.6478618242387,14.460515378221109,6.509900990099005,1688924434.0933332,1666251657.78,3.0,Российская Федерация,RF_total,1.3391340939950205,13.177912139265649,37.65,36.07,3.0,Российская Федерация,RF_total,-3.626279863481241,1.9956655228462905,92.7010157758524,102.47017249920002,3.0,1.3676831599303665,18.992284533538808,91.4502658895692,86.63805711930604,77.90506429828564,637.0857142857143,7.0,0,0,0,0,0,1.2246467991473532e-16,-1.0,72273534.69999999,141547886.7,2.0,113.99185114966788,4.329427289337895,12.317426070708981,102.44937985779738,2.0,102.13211194936908,101.60840742769574,103.43454554388978,96.94418718976799,99.31514995586308,100.78948434132053,108.70942852000152,107.5061316564023
G01,"Хлеб, крупы, мука и макаронные изделия",2019-09-30,2019,3,120.87839000874196,120.87839000874196,9,8,0,2.8008331298987166,22.732502738947822,117.5850295454323,111.05688519526412,98.48930585718638,Российская Федерация,RF_total,35009.0,Российская Федерация,RF_total,126.7661223159648,1.6993957703927531,7.60081140890092,1735107394.0666666,1786521997.8,3.0,Российская Федерация,RF_total,2.734459816026402,12.884663513582284,37.38,38.36,3.0,Российская Федерация,RF_total,-0.7171314741035717,4.103230597846275,92.73464322216331,101.3384561321,3.0,0.0362751648722126,14.293475256711409,92.7010157758524,91.4502658895692,81.13730290716474,637.0857142857143,7.0,0,0,0,0,0,-1.0,-1.8369701987210294e-16,82424700.80000001,223972587.5,2.0,130.0025557577927,14.045481713515851,3.622228759892643,99.74882571936492,2.0,102.44937985779738,102.13211194936908,104.46254949278045,107.54821912203734,110.17852456365232,99.31514995586308,100.78948434132053,130.4979272267459
G01,"Хлеб, крупы, мука и макаронные изделия",2019-12-31,2019,4,120.97014199519596,120.97014199519596,9,8,0,0.0759043750064636,16.434568583681664,120.87839000874196,117.5850295454323,103.89538387670032,Российская Федерация,RF_total,41481.0,Российская Федерация,RF_total,150.20096317485607,18.48667485503728,6.7227539364001165,1949710082.9533336,2025371285.46,3.0,Российская Федерация,RF_total,12.368265481463414,14.720009303049377,38.60666666666666,35.1,3.0,Российская Федерация,RF_total,3.2816122703762884,6.169218076817273,100.90103693738536,112.55752519293334,3.0,8.806195216234268,16.46271891628215,92.73464322216331,92.7010157758524,86.63805711930604,637.0857142857143,7.0,0,0,0,0,0,-2.4492935982947064e-16,1.0,77954447.85,301927035.35,2.0,122.95194710840327,-5.423438491875022,11.523316213466227,100.87532939915116,2.0,99.74882571936492,102.44937985779738,101.60840742769574,101.63825972303646,104.12402536200463,110.17852456365232,99.31514995586308,108.70942852000152
G01,"Хлеб, крупы, мука и макаронные изделия",2020-03-31,2020,1,120.6723352877562,120.6723352877562,9,8,0,-0.2461819937779386,8.658130538764741,120.97014199519596,120.87839000874196,111.05688519526412,Российская Федерация,RF_total,31810.0,Российская Федерация,RF_total,115.18267733642324,-23.31428846941973,5.768911055694104,1924450490.8966668,1966912364.09,3.0,Российская Федерация,RF_total,-1.2955563125777505,15.47120902358532,40.47666666666667,38.45,3.0,Российская Федерация,RF_total,4.843723018476953,3.609215017064837,105.08714534631632,104.42561507986666,3.0,4.148726847602835,14.911798587020344,100.90103693738536,92.73464322216331,91.4502658895692,593.2714285714285,7.0,0,0,0,0,0,1.0,6.123233995736766e-17,78098455.6,78098455.6,2.0,123.1790801809801,0.18473320505982826,12.737908540811759,107.32230337161752,2.0,100.87532939915116,99.74882571936492,102.13211194936908,102.07731530780961,104.57381892368922,104.12402536200463,110.17852456365232,100.78948434132053
G01,"Хлеб, крупы, мука и макаронные изделия",2020-06-30,2020,2,127.9300613735933,127.9300613735933,9,8,0,6.014407584414672,8.797915745017448,120.6723352877562,120.97014199519596,117.5850295454323,Российская Федерация,RF_total,33202.0,Российская Федерация,RF_total,120.2230510192997,4.375982395473121,-3.5498489425981883,1878777946.1033328,1929739003.53,3.0,Российская Федерация,RF_total,-2.373277203512425,11.241089783387448,43.00333333333333,39.25,3.0,Российская Федерация,RF_total,6.242279502594084,14.21868083222664,118.43806532666412,112.6531846602,3.0,12.704617616502588,27.763503274918765,105.08714534631632,100.90103693738536,92.7010157758524,593.2714285714285,7.0,0,0,0,0,0,1.2246467991473532e-16,-1.0,73494533.7,151592989.3,2.0,115.91764510508509,-5.895022974052244,1.689413704571474,100.70105631309012,2.0,107.32230337161752,100.87532939915116,102.44937985779738,90.61016922877224,92.82622099730642,104.57381892368922,104.12402536200463,99.31514995586308
G01,"Хлеб, крупы, мука и макаронные изделия",2020-09-30,2020,3,130.59924931265454,130.59924931265454,9,8,0,2.0864431005519712,8.041850411152529,127.9300613735933,120.6723352877562,120.87839000874196,Российская Федерация,RF_total,35123.0,Российская Федерация,RF_total,127.17891153999348,5.785796036383339,0.3256305521437408,1975163219.9466667,2022341425.87,3.0,Российская Федерация,RF_total,5.130211052521716,13.83521427554799,38.04666666666667,39.4,3.0,Российская Федерация,RF_total,-11.526238276102616,1.783484929552337,119.57668596366376,100.92356764793333,3.0,0.9613637590745848,28.945000281281352,118.43806532666412,105.08714534631632,92.73464322216331,593.2714285714285,7.0,0,0,0,0,0,-1.0,-1.8369701987210294e-16,88063381.4,239656370.7,2.0,138.8960413511536,19.823035764087038,6.841008272122218,99.81445116705456,2.0,100.70105631309012,107.32230337161752,99.74882571936492,106.35286349819404,108.95393414235977,92.82622099730642,104.57381892368922,110.17852456365232
G01,"Хлеб, крупы, мука и макаронные изделия",2020-12-31,2020,4,131.7566259931121,131.7566259931121,9,8,0,0.8862046960827374,8.916649860875992,130.59924931265454,127.9300613735933,120.97014199519596,Российская Федерация,RF_total,43355.0,Российская Федерация,RF_total,156.98663866459066,23.437633459556405,4.517731009377779,2175886458.5066667,2265429993.42,3.0,Российская Федерация,RF_total,10.162362104202206,11.60051320095401,38.93,35.47,3.0,Российская Федерация,RF_total,2.321710180480108,0.8375064755655526,128.9963887778455,107.97725819726666,3.0,7.877541293496093,27.84446294431529,119.57668596366376,118.43806532666412,100.90103693738536,593.2714285714285,7.0,0,0,0,0,0,-2.4492935982947064e-16,1.0,77781403.79999998,317437774.5,2.0,122.67901716701026,-11.675656142815372,-0.22198098347510076,97.07309747861609,2.0,99.81445116705456,100.70105631309012,100.87532939915116,93.11032082244091,95.38751876703802,108.95393414235977,92.82622099730642,104.12402536200463
G01,"Хлеб, крупы, мука и макаронные изделия",2021-03-31,2021,1,136.36625570027746,,9,0,7,3.498594224328677,13.005400430096437,131.7566259931121,130.59924931265454,120.6723352877562,Российская Федерация,RF_total,32694.0,Российская Федерация,RF_total,118.38360430169824,-24.590012685964712,2.779000314366553,2130673446.236667,2189398726.69,3.0,Российская Федерация,RF_total,-2.0779122960777108,10.71593976127252,40.86,40.13,3.0,Российская Федерация,RF_total,4.957616234266626,0.9470476817919682,132.33090169097463,102.55371733333334,3.0,2.584966094571639,25.92491808096611,128.9963887778455,119.57668596366376,105.08714534631632,598.1714285714286,7.0,1,0,0,0,0,1.0,6.123233995736766e-17,75229554.0,75229554.0,2.0,118.654167908352,-3.280796791173346,-3.673442167273777,84.87866735162355,2.0,97.07309747861609,99.81445116705456,107.32230337161752,87.01138511065723,89.13942146130398,95.38751876703802,108.95393414235977,104.57381892368922
G01,"Хлеб, крупы, мука и макаронные изделия",2021-06-30,2021,2,140.73732936387725,,9,0,7,3.205392449292632,10.01114816390416,136.36625570027746,131.7566259931121,127.9300613735933,Российская Федерация,RF_total,38308.0,Российская Федерация,RF_total,138.71166310605787,17.171346424420374,15.378591651105356,2230937966.3,2239361761.0,3.0,Российская Федерация,RF_total,4.705766631692288,18.74410017038264,39.34,38.64,3.0,Российская Федерация,RF_total,-3.720019579050404,-8.518719479110137,134.39458069176476,102.060062,2.0,1.5594838200447825,13.472455262664871,132.33090169097463,128.9963887778455,118.43806532666412,598.1714285714286,7.0,1,0,0,0,0,1.2246467991473532e-16,-1.0,83071586.19999999,158301140.2,2.0,131.02284160009688,10.424137566999248,13.030972533403506,93.83495129582586,2.0,84.87866735162355,97.07309747861609,100.70105631309012,93.09743348997088,95.37431624923994,89.13942146130398,95.38751876703802,92.82622099730642
