sales_product_code,sales_product_name,product_group_code,product_group_name,period_end,year,quarter,sales_quarter_thousand_rub,product_sales_index,product_price_index,product_demand_proxy_index,product_demand_yoy_index,product_price_yoy_index,product_demand_qoq_growth,product_price_qoq_growth,product_demand_lag1,product_demand_lag2,product_demand_lag4,product_price_lag1,product_price_lag2,product_price_lag4,quarter_sin,quarter_cos,sales_cumulative_thousand_rub,sales_region,sales_region_scope,sales_value_index,physical_volume_cumulative_yoy_index,physical_region,physical_region_scope,consumer_price_index,consumer_price_growth_qoq_pct,consumer_price_growth_yoy_pct,n_price_products,n_price_products_observed,n_price_products_interpolated,per_capita_income_rub,region,region_scope,per_capita_income_index,per_capita_income_qoq_pct,per_capita_income_yoy_pct,stock_days_mean,stock_days_last,stock_days_months_available,stock_days_region,stock_days_region_scope,stock_days_qoq_pct,stock_days_yoy_pct,buy_ability_group_mean,n_buy_ability_products,real_sales_proxy,real_sales_proxy_index,real_sales_proxy_index_lag1,real_sales_proxy_index_lag2,real_sales_proxy_index_lag4,log_product_demand,log_product_price,group_per_capita_income_index,group_stock_days_mean,group_stock_days_last,group_ppi_group_index,group_physical_volume_cumulative_yoy_index,sales_index_recalc,price_index_recalc,demand_base_raw,demand_base_index,seasonal_factor,seasonal_adjustment_used,stock_norm,stock_shortage_share,availability_factor,stock_adjustment_used,demand_seasonally_adjusted_raw,demand_seasonally_adjusted_index,demand_extended_raw,demand_extended_index,price_affordability_raw,price_affordability_index,ppi_to_consumer_price_raw,ppi_to_consumer_price_index
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2017-03-31,2017,1,318147374.6,100.0,105.62792399836982,100.0,,,,,,,,,,,1.0,6.123233995736766e-17,318147374.6,Российская Федерация,RF_total,100.0,101.35,Российская Федерация,RF_total,105.62792399836982,2.0916272273938,5.6279239983698215,10,7,0,27617.0,Российская Федерация,RF_total,100.0,,,36.86333333333334,37.18,3,Российская Федерация,RF_total,-2.132743362831846,-3.8347826086956527,,,94.67193542641556,100.0,,,,4.605170185988092,4.659922768118979,100.0,36.86333333333334,37.18,98.88614249999998,102.11474180308412,100.0,105.62792399836982,94.67193542641557,100.0,1.0,False,37.79,0.016141836464673178,0.9919290817676634,True,100.0,100.0,100.81365879685208,100.0,94.67193542641557,100.0,93.61742497327327,100.0
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2017-06-30,2017,2,373643153.6,117.44341881487271,106.86537212692583,116.08348214005282,,,16.08348214005282,1.1715160932019408,100.0,,,105.62792399836982,,,1.2246467991473532e-16,-1.0,691790528.2,Российская Федерация,RF_total,117.44341881487271,106.04,Российская Федерация,RF_total,106.86537212692583,1.1715160932019408,5.427470662242362,10,7,0,31142.0,Российская Федерация,RF_total,112.76387732193938,12.763877321939376,,36.10666666666667,35.34,3,Российская Федерация,RF_total,-2.052626819784797,-4.982456140350866,,,109.89847925236546,116.08348214005282,100.0,,,4.754309605886629,4.671569837836897,112.76387732193938,36.10666666666667,35.34,103.4377311477198,103.20530476925168,117.44341881487271,106.86537212692583,109.89847925236545,116.08348214005282,1.0,False,37.79,0.06483196612860534,0.9675840169356973,True,116.08348214005282,116.08348214005282,119.97250895863793,119.00422064870449,105.51956642045637,111.45812742200903,96.79256160252268,103.39160859226352
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2017-09-30,2017,3,421984581.0999999,132.63808372787994,108.1244545404928,129.57554779664613,,,11.622726513592486,1.1781949461342256,116.08348214005282,100.0,,106.86537212692583,105.62792399836982,,-1.0,-1.8369701987210294e-16,1113775109.3,Российская Федерация,RF_total,132.63808372787994,108.96,Российская Федерация,RF_total,108.1244545404928,1.1781949461342256,5.051322933021485,10,7,0,31160.0,Российская Федерация,RF_total,112.82905456783864,0.057799755956589,,35.21666666666667,35.56,3,Российская Федерация,RF_total,-2.4649187592319044,-5.669642857142854,,,122.67167893846506,129.57554779664613,116.08348214005282,100.0,,4.864264091708324,4.683282920527113,112.82905456783864,35.21666666666667,35.56,107.18488401560612,104.81298405117998,132.63808372787994,108.1244545404928,122.67167893846506,129.57554779664613,1.0,False,37.79,0.059010320190526516,0.9704948399047367,True,129.57554779664613,129.57554779664613,133.51492709571255,132.43733903632665,104.35109711983237,110.22389755720164,99.13102865685688,105.88950581065191
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2017-12-31,2017,4,521008272.3,163.76318457917583,109.37740770123452,158.14934343397277,,,22.051842437255157,1.1588064569356682,129.57554779664613,116.08348214005282,,108.1244545404928,106.86537212692583,,-2.4492935982947064e-16,1.0,1634783381.6,Российская Федерация,RF_total,163.76318457917583,111.9,Российская Федерация,RF_total,109.37740770123452,1.1588064569356904,5.715582692938681,10,7,0,37029.0,Российская Федерация,RF_total,134.08045768910452,18.83504492939668,,35.69,32.0,3,Российская Федерация,RF_total,1.3440605773781256,-5.24778761061947,,,149.72304429311086,158.14934343397277,129.57554779664613,116.08348214005282,,5.06353979820319,4.69480435770392,134.08045768910452,35.69,32.0,113.68600787971938,105.19397085117416,163.76318457917583,109.37740770123452,149.7230442931109,158.14934343397275,1.0,False,37.79,0.15321513627943897,0.9233924318602805,True,158.14934343397275,158.14934343397275,171.26991512737726,169.88760964672497,122.58514853025831,129.48414752283003,103.93920487698323,111.02549008013915
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2018-03-31,2018,1,379426655.7,119.2612876900352,108.97445914288544,115.59885069540346,115.59885069540346,103.16822959103813,-26.90526044221873,-0.3684020007584609,158.14934343397277,129.57554779664613,100.0,109.37740770123452,108.1244545404928,105.62792399836982,1.0,6.123233995736766e-17,379426655.7,Российская Федерация,RF_total,119.2612876900352,116.45,Российская Федерация,RF_total,108.97445914288544,-0.368402000758472,3.1682295910381297,10,7,0,28848.0,Российская Федерация,RF_total,104.4573994278886,-22.09349428826055,4.457399427888609,37.98666666666667,37.22,3,Российская Федерация,RF_total,6.435042495563681,3.0472917985351344,,,109.4396692840309,115.59885069540346,158.14934343397277,129.57554779664613,100.0,4.750126014107569,4.69111353498193,104.4573994278886,37.98666666666667,37.22,109.13569753509428,109.290845165108,119.2612876900352,108.97445914288544,109.4396692840309,115.59885069540346,1.0,False,37.79,0.015083355385022501,0.9924583223074888,True,115.59885069540346,115.59885069540346,116.47728483613642,115.53720619429937,95.8549372481178,101.24958026512697,100.14795980037619,106.9757684843044
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2018-06-30,2018,2,426230117.50000006,133.9725396244084,112.90378958009178,125.33893933894026,107.97310437993312,105.65049026919031,8.425765987242716,3.605735204479688,115.59885069540346,158.14934343397277,116.08348214005282,108.97445914288544,109.37740770123452,106.86537212692583,1.2246467991473532e-16,-1.0,805656773.2,Российская Федерация,RF_total,133.9725396244084,112.81,Российская Федерация,RF_total,112.90378958009178,3.605735204479688,5.650490269190311,10,7,0,32320.0,Российская Федерация,RF_total,117.02936597023572,12.035496394897384,3.782672917603236,36.91333333333333,35.89,3,Российская Федерация,RF_total,-2.825552825552835,2.234121122599708,,,118.66079971511572,125.33893933894026,115.59885069540346,158.14934343397277,116.08348214005282,4.831021582489623,4.726536036403561,117.02936597023572,36.91333333333333,35.89,142.27245056731664,106.257291173534,133.9725396244084,112.90378958009178,118.66079971511572,125.33893933894026,1.0,False,37.79,0.050277851283408274,0.9748610743582958,True,125.33893933894026,125.33893933894026,128.57107811125277,127.53339145277349,103.65406369926788,109.48763562548451,126.01211269918562,134.60326721778628
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2018-09-30,2018,3,475474006.3,149.45086593840463,116.59621051486133,135.39191916379016,104.48878778909132,107.83518956037446,8.02063578794514,3.2704136402349926,125.33893933894026,115.59885069540346,129.57554779664613,112.90378958009178,108.97445914288544,108.1244545404928,-1.0,-1.8369701987210294e-16,1281130779.5,Российская Федерация,RF_total,149.45086593840463,111.16,Российская Федерация,RF_total,116.59621051486133,3.2704136402349926,7.835189560374456,10,7,0,32536.0,Российская Федерация,RF_total,117.81149292102693,0.6683168316831578,4.41591784338895,35.906666666666666,36.44,3,Российская Федерация,RF_total,-2.727108542532064,1.9592995740653096,,,128.1781502833282,135.39191916379016,125.33893933894026,115.59885069540346,129.57554779664613,4.908173677484404,4.758716773515715,117.81149292102693,35.906666666666666,36.44,146.861197245325,104.96917895520204,149.45086593840463,116.59621051486133,128.17815028332816,135.39191916379013,1.0,False,37.79,0.0357237364382112,0.9821381317808944,True,135.39191916379013,135.39191916379013,137.85425367640116,136.74164326699915,101.0423000891703,106.72888394439357,125.95709294223253,134.54449636720074
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2018-12-31,2018,4,631324153.0999999,198.4376435272333,118.1011964795858,177.4796272494438,112.22280370929356,107.97585987974811,31.08583462410197,1.290767476986443,135.39191916379016,125.33893933894026,158.14934343397277,116.59621051486133,112.90378958009178,109.37740770123452,-2.4492935982947064e-16,1.0,1912454932.6,Российская Федерация,RF_total,198.4376435272333,107.59,Российская Федерация,RF_total,118.1011964795858,1.290767476986443,7.975859879748093,10,7,0,38868.0,Российская Федерация,RF_total,140.7393996451461,19.461519547578064,4.966377703961755,36.36333333333334,33.01,3,Российская Федерация,RF_total,1.2718158187894568,1.8866162323713631,,,168.0233981046365,177.4796272494438,135.39191916379016,125.33893933894026,158.14934343397277,5.178855826268723,4.77154185422385,140.7393996451461,36.36333333333334,33.01,138.29994815663878,103.21132960749496,198.4376435272333,118.1011964795858,168.0233981046364,177.47962724944372,1.0,False,37.79,0.12648848901825882,0.9367557554908705,True,177.47962724944372,177.47962724944372,189.46200886317737,187.93287648150843,119.16847910128784,125.87519053512155,117.10291875031461,125.08666926455858
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2019-03-31,2019,1,411005803.2,129.1872371151102,120.9827525743284,112.79111586728578,97.57113949556826,111.01936501992444,-36.44841517006328,2.439904235212964,177.4796272494438,135.39191916379016,115.59885069540346,118.1011964795858,116.59621051486133,108.97445914288544,1.0,6.123233995736766e-17,411005803.2,Российская Федерация,RF_total,129.1872371151102,102.01,Российская Федерация,RF_total,120.9827525743284,2.439904235212964,11.019365019924445,10,7,0,30075.0,Российская Федерация,RF_total,108.90031502335518,-22.622723062673668,4.253327787021632,39.06666666666667,38.37,3,Российская Федерация,RF_total,7.434228618571814,2.8431028431028293,,,106.78153238061036,112.79111586728578,177.4796272494438,135.39191916379016,115.59885069540346,4.725537575920431,4.795647994728819,108.90031502335518,39.06666666666667,38.37,114.94692568451372,100.97431174638224,129.1872371151102,120.9827525743284,106.78153238061037,112.79111586728578,1.0,False,37.79,0.0,1.0,False,112.79111586728578,112.79111586728578,112.79111586728578,111.88078799378691,90.01309087958623,95.07895922287291,95.01100217892096,101.48858741419724
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2019-06-30,2019,2,482319689.00000006,151.60259914337198,121.02721656423834,132.31294806959272,105.56411979184968,107.19499940113522,17.3079520068558,0.0367523378033807,112.79111586728578,177.4796272494438,125.33893933894026,120.9827525743284,118.1011964795858,112.90378958009178,1.2246467991473532e-16,-1.0,893325492.2,Российская Федерация,RF_total,151.60259914337198,104.98,Российская Федерация,RF_total,121.02721656423834,0.0367523378033807,7.194999401135216,10,7,0,34424.0,Российская Федерация,RF_total,124.6478618242387,14.460515378221109,6.509900990099005,37.65,36.07,3,Российская Федерация,RF_total,-3.626279863481241,1.9956655228462905,,,125.2632287572316,132.31294806959272,112.79111586728578,177.4796272494438,125.33893933894026,4.885169935338799,4.79601545058668,124.6478618242387,37.65,36.07,128.96832455436046,103.33738095655691,151.60259914337198,121.02721656423834,125.26322875723159,132.31294806959272,1.0,False,37.79,0.045514686424980126,0.97724265678751,True,132.31294806959272,132.31294806959272,135.3941594245846,134.30140423473281,102.99159590940323,108.78788465189263,106.56142330259011,113.82648404718697
