sales_product_code,sales_product_name,product_group_code,product_group_name,period_end,year,quarter,sales_quarter_thousand_rub,product_sales_index,product_price_index,product_demand_proxy_index,product_demand_yoy_index,product_price_yoy_index,product_demand_qoq_growth,product_price_qoq_growth,product_demand_lag1,product_demand_lag2,product_demand_lag4,product_price_lag1,product_price_lag2,product_price_lag4,quarter_sin,quarter_cos,sales_cumulative_thousand_rub,sales_region,sales_region_scope,sales_value_index,physical_volume_cumulative_yoy_index,physical_region,physical_region_scope,consumer_price_index,consumer_price_growth_qoq_pct,consumer_price_growth_yoy_pct,n_price_products,n_price_products_observed,n_price_products_interpolated,per_capita_income_rub,region,region_scope,per_capita_income_index,per_capita_income_qoq_pct,per_capita_income_yoy_pct,stock_days_mean,stock_days_last,stock_days_months_available,stock_days_region,stock_days_region_scope,stock_days_qoq_pct,stock_days_yoy_pct,buy_ability_group_mean,n_buy_ability_products,real_sales_proxy,real_sales_proxy_index,real_sales_proxy_index_lag1,real_sales_proxy_index_lag2,real_sales_proxy_index_lag4,log_product_demand,log_product_price,group_per_capita_income_index,group_stock_days_mean,group_stock_days_last,group_ppi_group_index,group_physical_volume_cumulative_yoy_index
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2017-03-31,2017,1,318147374.6,100.0,105.62792399836982,100.0,,,,,,,,,,,1.0,6.123233995736766e-17,318147374.6,Российская Федерация,RF_total,100.0,101.35,Российская Федерация,RF_total,105.62792399836982,2.0916272273938,5.6279239983698215,10,7,0,27617.0,Российская Федерация,RF_total,100.0,,,36.86333333333334,37.18,3,Российская Федерация,RF_total,-2.132743362831846,-3.8347826086956527,,,94.67193542641556,100.0,,,,4.605170185988092,4.659922768118979,100.0,36.86333333333334,37.18,98.88614249999998,102.11474180308412
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2017-06-30,2017,2,373643153.6,117.44341881487271,106.86537212692583,116.08348214005282,,,16.08348214005282,1.1715160932019408,100.0,,,105.62792399836982,,,1.2246467991473532e-16,-1.0,691790528.2,Российская Федерация,RF_total,117.44341881487271,106.04,Российская Федерация,RF_total,106.86537212692583,1.1715160932019408,5.427470662242362,10,7,0,31142.0,Российская Федерация,RF_total,112.76387732193938,12.763877321939376,,36.10666666666667,35.34,3,Российская Федерация,RF_total,-2.052626819784797,-4.982456140350866,,,109.89847925236546,116.08348214005282,100.0,,,4.754309605886629,4.671569837836897,112.76387732193938,36.10666666666667,35.34,103.4377311477198,103.20530476925168
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2017-09-30,2017,3,421984581.0999999,132.63808372787994,108.1244545404928,129.57554779664613,,,11.622726513592486,1.1781949461342256,116.08348214005282,100.0,,106.86537212692583,105.62792399836982,,-1.0,-1.8369701987210297e-16,1113775109.3,Российская Федерация,RF_total,132.63808372787994,108.96,Российская Федерация,RF_total,108.1244545404928,1.1781949461342256,5.051322933021485,10,7,0,31160.0,Российская Федерация,RF_total,112.82905456783864,0.057799755956589,,35.21666666666667,35.56,3,Российская Федерация,RF_total,-2.4649187592319044,-5.669642857142854,,,122.67167893846506,129.57554779664613,116.08348214005282,100.0,,4.864264091708324,4.683282920527113,112.82905456783864,35.21666666666667,35.56,107.18488401560612,104.81298405117998
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2017-12-31,2017,4,521008272.3,163.76318457917583,109.37740770123452,158.14934343397277,,,22.051842437255154,1.1588064569356682,129.57554779664613,116.08348214005282,,108.1244545404928,106.86537212692583,,-2.4492935982947064e-16,1.0,1634783381.6,Российская Федерация,RF_total,163.76318457917583,111.9,Российская Федерация,RF_total,109.37740770123452,1.1588064569356904,5.715582692938681,10,7,0,37029.0,Российская Федерация,RF_total,134.08045768910452,18.83504492939668,,35.69,32.0,3,Российская Федерация,RF_total,1.3440605773781256,-5.24778761061947,,,149.72304429311086,158.14934343397277,129.57554779664613,116.08348214005282,,5.06353979820319,4.69480435770392,134.08045768910452,35.69,32.0,113.68600787971938,105.19397085117416
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2018-03-31,2018,1,379426655.7,119.2612876900352,108.97445914288544,115.59885069540346,115.59885069540346,103.16822959103813,-26.905260442218726,-0.36840200075846097,158.14934343397277,129.57554779664613,100.0,109.37740770123452,108.1244545404928,105.62792399836982,1.0,6.123233995736766e-17,379426655.7,Российская Федерация,RF_total,119.2612876900352,116.45,Российская Федерация,RF_total,108.97445914288544,-0.368402000758472,3.1682295910381297,10,7,0,28848.0,Российская Федерация,RF_total,104.4573994278886,-22.09349428826055,4.457399427888609,37.98666666666667,37.22,3,Российская Федерация,RF_total,6.435042495563681,3.0472917985351344,,,109.4396692840309,115.59885069540346,158.14934343397277,129.57554779664613,100.0,4.750126014107569,4.69111353498193,104.4573994278886,37.98666666666667,37.22,109.13569753509428,109.290845165108
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2018-06-30,2018,2,426230117.50000006,133.9725396244084,112.90378958009178,125.33893933894026,107.97310437993313,105.65049026919031,8.425765987242716,3.6057352044796875,115.59885069540346,158.14934343397277,116.08348214005282,108.97445914288544,109.37740770123452,106.86537212692583,1.2246467991473532e-16,-1.0,805656773.2,Российская Федерация,RF_total,133.9725396244084,112.81,Российская Федерация,RF_total,112.90378958009178,3.605735204479688,5.650490269190311,10,7,0,32320.0,Российская Федерация,RF_total,117.02936597023572,12.035496394897384,3.782672917603236,36.91333333333333,35.89,3,Российская Федерация,RF_total,-2.825552825552835,2.234121122599708,,,118.66079971511572,125.33893933894026,115.59885069540346,158.14934343397277,116.08348214005282,4.831021582489623,4.726536036403561,117.02936597023572,36.91333333333333,35.89,142.27245056731664,106.257291173534
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2018-09-30,2018,3,475474006.3,149.45086593840463,116.59621051486133,135.39191916379016,104.48878778909132,107.83518956037446,8.02063578794514,3.2704136402349926,125.33893933894026,115.59885069540346,129.57554779664613,112.90378958009178,108.97445914288544,108.1244545404928,-1.0,-1.8369701987210297e-16,1281130779.5,Российская Федерация,RF_total,149.45086593840463,111.16,Российская Федерация,RF_total,116.59621051486133,3.2704136402349926,7.835189560374456,10,7,0,32536.0,Российская Федерация,RF_total,117.81149292102693,0.6683168316831578,4.41591784338895,35.906666666666666,36.44,3,Российская Федерация,RF_total,-2.727108542532064,1.9592995740653096,,,128.1781502833282,135.39191916379016,125.33893933894026,115.59885069540346,129.57554779664613,4.908173677484404,4.758716773515715,117.81149292102693,35.906666666666666,36.44,146.861197245325,104.96917895520204
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2018-12-31,2018,4,631324153.0999999,198.43764352723332,118.1011964795858,177.4796272494438,112.22280370929356,107.97585987974811,31.08583462410197,1.290767476986443,135.39191916379016,125.33893933894026,158.14934343397277,116.59621051486133,112.90378958009178,109.37740770123452,-2.4492935982947064e-16,1.0,1912454932.6,Российская Федерация,RF_total,198.43764352723332,107.59,Российская Федерация,RF_total,118.1011964795858,1.290767476986443,7.975859879748093,10,7,0,38868.0,Российская Федерация,RF_total,140.7393996451461,19.461519547578064,4.966377703961755,36.36333333333334,33.01,3,Российская Федерация,RF_total,1.2718158187894568,1.8866162323713631,,,168.0233981046365,177.4796272494438,135.39191916379016,125.33893933894026,158.14934343397277,5.178855826268723,4.77154185422385,140.7393996451461,36.36333333333334,33.01,138.29994815663878,103.21132960749496
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2019-03-31,2019,1,411005803.2,129.1872371151102,120.9827525743284,112.79111586728578,97.57113949556826,111.01936501992444,-36.44841517006328,2.439904235212964,177.4796272494438,135.39191916379016,115.59885069540346,118.1011964795858,116.59621051486133,108.97445914288544,1.0,6.123233995736766e-17,411005803.2,Российская Федерация,RF_total,129.1872371151102,102.01,Российская Федерация,RF_total,120.9827525743284,2.439904235212964,11.019365019924445,10,7,0,30075.0,Российская Федерация,RF_total,108.90031502335518,-22.622723062673668,4.253327787021632,39.06666666666667,38.37,3,Российская Федерация,RF_total,7.434228618571814,2.8431028431028293,,,106.78153238061036,112.79111586728578,177.4796272494438,135.39191916379016,115.59885069540346,4.7255375759204306,4.795647994728819,108.90031502335518,39.06666666666667,38.37,114.94692568451372,100.97431174638224
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2019-06-30,2019,2,482319689.00000006,151.60259914337198,121.02721656423834,132.31294806959272,105.56411979184969,107.19499940113522,17.3079520068558,0.03675233780338072,112.79111586728578,177.4796272494438,125.33893933894026,120.9827525743284,118.1011964795858,112.90378958009178,1.2246467991473532e-16,-1.0,893325492.2,Российская Федерация,RF_total,151.60259914337198,104.98,Российская Федерация,RF_total,121.02721656423834,0.0367523378033807,7.194999401135216,10,7,0,34424.0,Российская Федерация,RF_total,124.6478618242387,14.460515378221109,6.509900990099005,37.65,36.07,3,Российская Федерация,RF_total,-3.626279863481241,1.9956655228462905,,,125.2632287572316,132.31294806959272,112.79111586728578,177.4796272494438,125.33893933894026,4.885169935338799,4.79601545058668,124.6478618242387,37.65,36.07,128.96832455436046,103.33738095655691
