product_name,group_code,group_name,quarter,demand_2025,price_2025,demand_2024,price_2024,demand_yoy_change_%,price_yoy_change_%,actual_target_demand_index,forecast_target_demand_index,forecast_error,abs_forecast_error
Свежий картофель,G04,"Овощи, фрукты и картофель",1,133.490202,171.843563,90.200496,138.017221,47.9927582659856,24.508783581434365,133.490202,119.10877765242402,-14.381424347575987,14.381424347575987
Свежий картофель,G04,"Овощи, фрукты и картофель",2,155.856136,198.231342,112.489228,149.391743,38.552054068679354,32.69230147478768,155.856136,115.16448055262984,-40.69165544737015,40.69165544737015
сыры,G02,Молочная продукция и яйца,4,162.427709,169.266054,137.134991,169.177926,18.443664753658663,0.052091902344271156,162.427709,148.7096413679388,-13.718067632061206,13.718067632061206
Свежий картофель,G04,"Овощи, фрукты и картофель",3,198.713897,156.404361,169.541877,151.704827,17.20638022663864,3.0978144156217255,198.713897,180.89293913120648,-17.820957868793528,17.820957868793528
Молоко питьевое,G02,Молочная продукция и яйца,3,142.849168,166.740173,127.702458,156.274863,11.86093849501315,6.696732794448194,142.849168,136.90064314391702,-5.948524856082969,5.948524856082969
Молоко питьевое,G02,Молочная продукция и яйца,4,134.704368,169.266054,121.987129,169.177926,10.42506623793072,0.052091902344271156,134.704368,136.1548907120921,1.4505227120921234,1.4505227120921234
сыры,G02,Молочная продукция и яйца,3,143.770347,166.740173,130.819232,156.274863,9.900008433010818,6.696732794448194,143.770347,141.80797476123806,-1.9623722387619296,1.9623722387619296
Свежие овощи,G04,"Овощи, фрукты и картофель",4,155.955701,138.365788,143.558818,147.353567,8.63540336477276,-6.099464833450546,155.955701,143.73506328612572,-12.220637713874282,12.220637713874282
Молоко питьевое,G02,Молочная продукция и яйца,1,128.948864,169.938946,118.719189,154.340318,8.616698855650021,10.106644979181649,128.948864,131.7147525941237,2.765888594123709,2.765888594123709
Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",4,116.14576,172.49098,107.121971,164.76429,8.423845188584137,4.689541647647084,116.14576,110.4910004336774,-5.654759566322596,5.654759566322596
сыры,G02,Молочная продукция и яйца,2,116.898798,169.423847,108.205658,155.495076,8.033905214087786,8.957692653881839,116.898798,127.0387783999275,10.139980399927495,10.139980399927495
Молоко питьевое,G02,Молочная продукция и яйца,2,128.003438,169.423847,119.499004,155.495076,7.116740487644558,8.957692653881839,128.003438,131.9772296348789,3.9737916348789213,3.9737916348789213
Автомобили легковые,G10,Топливо и транспортные товары,4,181.15647,210.375411,172.532576,192.232992,4.998414908034531,9.43772388456609,181.15647,147.21543043737643,-33.94103956262359,33.94103956262359
сыры,G02,Молочная продукция и яйца,1,126.734882,169.938946,120.731663,154.340318,4.972365037330763,10.106644979181649,126.734882,131.64333171351092,4.908449713510919,4.908449713510919
Мука,G01,"Хлеб, крупы, мука и макаронные изделия",4,126.18717,172.49098,121.502274,164.76429,3.8558093159639095,4.689541647647084,126.18717,117.49983832971569,-8.687331670284308,8.687331670284308
Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",4,114.806348,187.011875,111.709506,171.075162,2.7722278173891444,9.315620580853226,114.806348,110.13065234121176,-4.675695658788243,4.675695658788243
Мука,G01,"Хлеб, крупы, мука и макаронные изделия",1,98.544241,169.304786,96.945418,156.926373,1.6491991400769408,7.888038679132661,98.544241,98.63513021364751,0.09088921364751457,0.09088921364751457
Мука,G01,"Хлеб, крупы, мука и макаронные изделия",3,102.051877,171.069581,100.63415,160.868398,1.408793138313385,6.341321929494185,102.051877,103.55418275910706,1.5023057591070597,1.5023057591070597
Свежие овощи,G04,"Овощи, фрукты и картофель",3,146.218314,156.404361,144.450183,151.704827,1.224042062999659,3.0978144156217255,146.218314,143.7384142516189,-2.4798997483810865,2.4798997483810865
Свежие фрукты,G04,"Овощи, фрукты и картофель",4,151.739909,138.365788,150.147246,147.353567,1.0607340743366123,-6.099464833450546,151.739909,142.0673325062,-9.672576493800022,9.672576493800022
Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",3,131.022371,171.069581,129.793372,160.868398,0.9468888750343796,6.341321929494185,131.022371,128.86980933902325,-2.152561660976744,2.152561660976744
Свежие фрукты,G04,"Овощи, фрукты и картофель",3,129.634947,156.404361,128.46648,151.704827,0.9095501020966879,3.0978144156217255,129.634947,127.80111543375352,-1.833831566246488,1.833831566246488
Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2,91.355099,170.604296,90.565135,158.208731,0.8722606111060263,7.834943698524455,91.355099,95.57567564564698,4.220576645646986,4.220576645646986
Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2,117.114583,170.604296,116.456334,158.208731,0.5652324587170998,7.834943698524455,117.114583,117.0758978289608,-0.03868517103919089,0.03868517103919089
Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",1,104.309186,169.304786,104.43127,156.926373,-0.11690368220170164,7.888038679132661,104.309186,107.73475826315098,3.4255722631509826,3.4255722631509826
Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",4,139.24154,187.011875,139.56489,171.075162,-0.23168434410689173,9.315620580853226,139.24154,140.48244945936767,1.2409094593676855,1.2409094593676855
Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",3,110.672012,183.772067,111.3283,167.234756,-0.5895068908803993,9.888680675923602,110.672012,110.06698279531342,-0.6050292046865735,0.6050292046865735
Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",4,100.810088,181.389995,101.476255,167.460468,-0.6564757440053356,8.318098693000193,100.810088,97.0487312665742,-3.7613567334257993,3.7613567334257993
Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",3,101.458127,183.772067,102.564383,167.234756,-1.0785966508471092,9.888680675923602,101.458127,102.677556002335,1.2194290023349907,1.2194290023349907
Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2,99.145193,180.929035,101.043728,164.223397,-1.878924142624662,10.172507879617173,99.145193,100.6361512946958,1.490958294695787,1.490958294695787
Свежий картофель,G04,"Овощи, фрукты и картофель",4,172.663824,138.365788,176.300017,147.353567,-2.0625029208023227,-6.099464833450546,172.663824,179.4265859919055,6.762761991905506,6.762761991905506
Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2,75.479866,179.768551,77.572755,162.031073,-2.6979691516692936,10.946960772147705,75.479866,77.86445273132553,2.384586731325527,2.384586731325527
Чай,G05,"Бакалея, масло, сахар, чай, соль",4,99.476289,181.389995,102.498236,167.460468,-2.9482917149910866,8.318098693000193,99.476289,92.64977865360736,-6.826510346392638,6.826510346392638
