product_name,group_code,group_name,train_start,train_end,observations,feature,coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,share_of_exog_contribution_%,aic,bic
Автомобили легковые,G10,Топливо и транспортные товары,2017Q1,2024Q4,32,consumer_price_index,-69.7561893250726,61.99390132031462,6.572520305780927e-14,139.5206849811062,29.86790685914265,231.42403135079428,242.39391377460808
Автомобили легковые,G10,Топливо и транспортные товары,2017Q1,2024Q4,32,income_index,-31.816731024454775,25.42197431232266,1.3766765505351941e-14,98.79640493415398,12.247997702431366,231.42403135079428,242.39391377460808
Автомобили легковые,G10,Топливо и транспортные товары,2017Q1,2024Q4,32,stock_days_mean,-23.7600939203474,19.39586792831974,-4.773959005888173e-14,59.73402365509847,9.344693016528261,231.42403135079428,242.39391377460808
Автомобили легковые,G10,Топливо и транспортные товары,2017Q1,2024Q4,32,stock_value_mean_thousand_rub,114.81950702790593,100.74850367256516,-2.3092638912203256e-14,233.68338169661016,48.53940242189772,231.42403135079428,242.39391377460808
Бензины автомобильные,G10,Топливо и транспортные товары,2017Q1,2024Q1,21,consumer_price_index,-2.2114349433804765,1.904849254547202,5.727219464962876e-15,6.051462824825105,7.029861049857376,81.80535651444367,91.62473859466851
Бензины автомобильные,G10,Топливо и транспортные товары,2017Q1,2024Q1,21,income_index,-4.654841528728548,4.211922866228519,6.0641147276077515e-15,8.687530731974936,15.544134230895798,81.80535651444367,91.62473859466851
Бензины автомобильные,G10,Топливо и транспортные товары,2017Q1,2024Q1,21,stock_days_mean,-9.245014028168539,7.4539548449313155,-4.992175255555876e-15,25.28727676531308,27.50887856699941,81.80535651444367,91.62473859466851
Бензины автомобильные,G10,Топливо и транспортные товары,2017Q1,2024Q1,21,stock_value_mean_thousand_rub,15.03195558998177,13.525815071718414,-1.1270677877574003e-14,25.826666500638364,49.91712615224741,81.80535651444367,91.62473859466851
Газовое моторное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,consumer_price_index,-63.13885171062614,56.19373234900553,-1.0633639562754602e-13,123.78823610827403,40.60137635831045,167.1673186428634,176.98670072308823
Газовое моторное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,income_index,26.08102017722167,22.14041397994566,-7.105427357601002e-15,44.85151272515851,15.9970025686411,167.1673186428634,176.98670072308823
