product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,agg_exog_columns,future_exog_mode
Газовое моторное топливо,2024Q2,2024-06-30,2017Q1,2024Q1,,183.4411983364606,159.38100982164292,207.50138685127826,False,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Газовое моторное топливо,2024Q3,2024-09-30,2017Q1,2024Q1,,184.7595706859253,160.02323422634498,209.4959071455056,False,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Газовое моторное топливо,2024Q4,2024-12-31,2017Q1,2024Q1,,183.62778249625978,158.85901511759369,208.39654987492588,False,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Газовое моторное топливо,2025Q1,2025-03-31,2017Q1,2024Q1,,183.14606740292626,158.59611111277223,207.6960236930803,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Газовое моторное топливо,2025Q2,2025-06-30,2017Q1,2024Q1,,184.59813024166593,159.63383452386884,209.562425959463,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Газовое моторное топливо,2025Q3,2025-09-30,2017Q1,2024Q1,,185.12938290046063,160.11456137447215,210.1442044264491,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Газовое моторное топливо,2025Q4,2025-12-31,2017Q1,2024Q1,,184.47778669564755,159.47748320787628,209.47809018341883,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Дизельное топливо,2024Q2,2024-06-30,2017Q1,2024Q1,,17.009517985783035,-5.486044723661063,39.505080695227136,False,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Дизельное топливо,2024Q3,2024-09-30,2017Q1,2024Q1,,52.17866715864422,24.757601037692364,79.59973327959607,False,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Дизельное топливо,2024Q4,2024-12-31,2017Q1,2024Q1,,-6.038964835426157,-34.90325553438137,22.825325863529063,False,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Дизельное топливо,2025Q1,2025-03-31,2017Q1,2024Q1,,20.782983130366475,2.02701830305762,39.53894795767533,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Дизельное топливо,2025Q2,2025-06-30,2017Q1,2024Q1,,-18.639026160880263,-57.00472031001304,19.726667988252515,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Дизельное топливо,2025Q3,2025-09-30,2017Q1,2024Q1,,20.54772859851105,-24.752892335296472,65.84834953231857,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Дизельное топливо,2025Q4,2025-12-31,2017Q1,2024Q1,,-45.67128655706586,-93.6461989523754,2.3036258382436756,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
"Консервы молочные, молочные составные сухие, сублимированные",2025Q1,2025-03-31,2017Q1,2024Q4,107.860824,85.59089126975444,72.38258100619552,98.79920153331335,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
"Консервы молочные, молочные составные сухие, сублимированные",2025Q2,2025-06-30,2017Q1,2024Q4,93.206196,80.20830085238093,60.32113621009665,100.0954654946652,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
"Консервы молочные, молочные составные сухие, сублимированные",2025Q3,2025-09-30,2017Q1,2024Q4,84.744027,78.47667524867995,54.39191943502303,102.56143106233688,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
"Консервы молочные, молочные составные сухие, сублимированные",2025Q4,2025-12-31,2017Q1,2024Q4,112.623027,78.06307042022783,49.91112414055833,106.21501669989733,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q1,2025-03-31,2017Q1,2024Q4,,27.024319490008722,13.681167575149532,40.36747140486791,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q2,2025-06-30,2017Q1,2024Q4,,20.991014112125576,4.520019081741037,37.46200914251011,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q3,2025-09-30,2017Q1,2024Q4,,24.51785924853475,4.498770498036357,44.536947999033146,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q4,2025-12-31,2017Q1,2024Q4,,20.960276008631567,-1.6574961629563525,43.57804818021948,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Макаронные изделия,2025Q1,2025-03-31,2017Q1,2024Q4,104.309186,102.24568087294634,89.31047820773189,115.18088353816078,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Макаронные изделия,2025Q2,2025-06-30,2017Q1,2024Q4,117.114583,105.8964036110877,90.71546909283902,121.0773381293364,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Макаронные изделия,2025Q3,2025-09-30,2017Q1,2024Q4,131.022371,116.85229565101025,100.64636162602753,133.05822967599298,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Макаронные изделия,2025Q4,2025-12-31,2017Q1,2024Q4,116.14576,80.54712378405766,63.69615794998647,97.39808961812885,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Маргариновая продукция,2025Q1,2025-03-31,2017Q1,2024Q4,76.485111,93.37478728894192,84.8074001885648,101.94217438931904,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Маргариновая продукция,2025Q2,2025-06-30,2017Q1,2024Q4,75.479866,90.95385384724041,82.43183906151185,99.47586863296897,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Маргариновая продукция,2025Q3,2025-09-30,2017Q1,2024Q4,73.741026,92.43118105251322,83.8992874950823,100.96307460994414,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Маргариновая продукция,2025Q4,2025-12-31,2017Q1,2024Q4,100.810088,94.23366839235648,85.70316461070675,102.7641721740062,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Молоко питьевое,2025Q1,2025-03-31,2017Q1,2024Q4,128.948864,127.31963245930946,113.89072676305997,140.74853815555895,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Молоко питьевое,2025Q2,2025-06-30,2017Q1,2024Q4,128.003438,128.46822608258654,114.42750995454253,142.50894221063055,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Молоко питьевое,2025Q3,2025-09-30,2017Q1,2024Q4,142.849168,134.0296700757861,118.0155823661232,150.043757785449,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Молоко питьевое,2025Q4,2025-12-31,2017Q1,2024Q4,134.704368,130.31599293540583,113.10330051202313,147.52868535878852,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Молочные напитки,2025Q1,2025-03-31,2017Q1,2024Q4,,30.776752009459102,-3.5103824499089455,65.06388646882715,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Молочные напитки,2025Q2,2025-06-30,2017Q1,2024Q4,,51.61993938567793,15.652791818212606,87.58708695314326,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
Молочные напитки,2025Q3,2025-09-30,2017Q1,2024Q4,,59.238736805082425,21.532542215914894,96.94493139424995,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean,neutral_zero_after_standardization
