product_code,product_name,group_code,group_name,feature,feature_readable,coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,share_of_product_exog_contribution_%,aic,bic
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",stock_days_mean,Товарные запасы в днях,-3.13,2.57,0.0,8.03,6.82,218.77,228.58
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",0.11,0.09,-0.0,0.26,13.19,190.96,201.62
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",-0.76,0.57,0.0,1.75,86.81,190.96,201.62
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,consumer_price_index,Индекс потребительских цен,-1.06,0.92,0.0,1.86,13.21,217.77,226.17
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,income_index,Индекс доходов населения,-5.44,4.38,-0.0,15.55,62.76,217.77,226.17
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,stock_days_mean,Товарные запасы в днях,-2.04,1.68,0.0,5.24,24.02,217.77,226.17
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",-2.15,1.64,0.0,5.09,93.82,192.87,201.08
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",0.14,0.11,-0.0,0.32,6.18,192.87,201.08
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",physical_volume_index,Индекс физического объема продаж,-26.22,20.18,-0.0,75.32,12.27,257.11,273.52
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",physical_volume_index_qoq,Прирост физического объема продаж,53.08,43.37,0.0,111.07,26.37,257.11,273.52
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",physical_volume_index_yoy_diff,Отклонение физического индекса от прошлого года,-50.7,37.24,-0.0,140.49,22.64,257.11,273.52
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",physical_volume_vs_group,Физический индекс относительно группы,-4.05,3.19,-0.0,9.77,1.94,257.11,273.52
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",physical_volume_vs_market,Физический индекс относительно рынка,1.05,0.81,-0.0,2.88,0.49,257.11,273.52
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",50.07,38.0,-0.0,143.85,23.1,257.11,273.52
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",-29.57,21.69,0.0,89.6,13.19,257.11,273.52
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",7.22,5.25,-0.0,17.47,78.61,313.87,322.85
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",-2.02,1.43,0.0,6.27,21.39,313.87,322.85
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index,Индекс физического объема продаж,17.92,13.64,-0.0,45.44,13.96,215.64,229.98
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_qoq,Прирост физического объема продаж,-30.45,23.1,0.0,89.44,23.64,215.64,229.98
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_yoy_diff,Отклонение физического индекса от прошлого года,27.52,20.67,-0.0,68.76,21.15,215.64,229.98
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",physical_volume_vs_group,Физический индекс относительно группы,0.33,0.26,0.0,0.79,0.27,215.64,229.98
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",physical_volume_vs_market,Физический индекс относительно рынка,-1.37,1.12,-0.0,2.92,1.14,215.64,229.98
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",-29.99,23.5,0.0,72.62,24.05,215.64,229.98
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",18.57,15.43,-0.0,39.83,15.79,215.64,229.98
S_сыры,сыры,G02,Молочная продукция и яйца,physical_volume_index_lag1,"Индекс физического объема продаж, лаг 1 квартал",-2.02,1.53,-0.0,3.91,60.21,209.16,217.57
S_сыры,сыры,G02,Молочная продукция и яйца,physical_volume_index_lag4,"Индекс физического объема продаж, лаг 4 квартала",-1.25,1.01,0.0,2.3,39.79,209.16,217.57
