product_code,product_name,group_code,group_name,forecast_year,period,period_end,actual_target_demand_index,forecast_target_demand_index,raw_forecast_target_demand_index,selected_model,order,seasonal_order,calibration_type,calibration_multiplier,calibration_additive
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2024,2024Q3,2024-09-30,45.140671,53.620857897532325,54.530587,seasonal_naive,None,None,combined,0.991966474660035,-0.47165625000000233
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2024,2024Q4,2024-12-31,61.332052,75.77265269269517,76.86178,seasonal_naive,None,None,combined,0.991966474660035,-0.47165625000000233
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q1,2025-03-31,104.309186,106.35581023831261,109.40887872556158,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",additive,0.9740172798567283,-3.0530684872489644
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q2,2025-06-30,117.114583,115.50393119959521,118.55699968684418,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",additive,0.9740172798567283,-3.0530684872489644
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q3,2025-09-30,131.022371,125.65100297870325,128.7040714659522,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",additive,0.9740172798567283,-3.0530684872489644
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q4,2025-12-31,116.14576,108.37023517043907,111.42330365768804,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",additive,0.9740172798567283,-3.0530684872489644
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q1,2025-03-31,76.485111,77.76765781110676,77.76765781110676,seasonal_drift,None,None,none,1.00283954030011,0.23739794254920454
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q2,2025-06-30,75.479866,76.20474486647541,76.20474486647541,seasonal_drift,None,None,none,1.00283954030011,0.23739794254920454
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q3,2025-09-30,73.741026,75.79365662841057,75.79365662841057,seasonal_drift,None,None,none,1.00283954030011,0.23739794254920454
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q4,2025-12-31,100.810088,99.68670214536532,99.68670214536532,seasonal_drift,None,None,none,1.00283954030011,0.23739794254920454
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2025Q1,2025-03-31,128.948864,118.719189,118.719189,seasonal_naive,None,None,none,1.0102462075275707,1.2371252499999947
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2025Q2,2025-06-30,128.003438,119.499004,119.499004,seasonal_naive,None,None,none,1.0102462075275707,1.2371252499999947
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2025Q3,2025-09-30,142.849168,127.702458,127.702458,seasonal_naive,None,None,none,1.0102462075275707,1.2371252499999947
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2025Q4,2025-12-31,134.704368,121.987129,121.987129,seasonal_naive,None,None,none,1.0102462075275707,1.2371252499999947
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2024Q1,2024-03-31,59.865995,64.23891563858959,73.6647468756143,sarimax,"(0, 1, 1)","(0, 0, 0, 4)",combined,0.936771168429404,-4.768095364135901
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2024Q2,2024-06-30,57.670532,64.23891563858959,73.6647468756143,sarimax,"(0, 1, 1)","(0, 0, 0, 4)",combined,0.936771168429404,-4.768095364135901
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2024Q3,2024-09-30,67.182916,64.23891563858959,73.6647468756143,sarimax,"(0, 1, 1)","(0, 0, 0, 4)",combined,0.936771168429404,-4.768095364135901
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2024Q4,2024-12-31,85.675975,64.23891563858959,73.6647468756143,sarimax,"(0, 1, 1)","(0, 0, 0, 4)",combined,0.936771168429404,-4.768095364135901
