feature_mode,group_code,group_name,feature,products_count,mean_coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,mean_share_of_exog_contribution_pct
full_exog,G01,"Хлеб, крупы, мука и макаронные изделия",group_stock_value_mean_thousand_rub_mean,2,7.2360319473650945,6.349264250426794,-1.4988010832439613e-15,19.802694810198048,21.451689818608585
full_exog,G01,"Хлеб, крупы, мука и макаронные изделия",stock_value_mean_thousand_rub,2,7.2360319278400596,6.34926423329453,-1.8318679906315083e-15,19.802694753376777,21.45168976142197
full_exog,G01,"Хлеб, крупы, мука и макаронные изделия",group_consumer_price_index_mean,2,-5.400771696861812,4.834018171629459,-6.328271240363392e-15,8.237581073589855,17.163593684287363
full_exog,G01,"Хлеб, крупы, мука и макаронные изделия",consumer_price_index,2,-5.400771689426163,4.834018164974102,-6.328271240363392e-15,8.237581023082202,17.16359364951979
full_exog,G01,"Хлеб, крупы, мука и макаронные изделия",income_index,2,2.46382409009951,1.9686269051477718,-9.71445146547012e-16,9.317315768977243,7.179429428774925
full_exog,G01,"Хлеб, крупы, мука и макаронные изделия",group_income_index_mean,2,2.4638240838101924,1.9686269001225267,-9.298117831235686e-16,9.31731571732127,7.1794294070273175
full_exog,G01,"Хлеб, крупы, мука и макаронные изделия",group_stock_days_mean_mean,2,0.30910504199430544,1.2208962406391806,6.453171330633722e-16,4.537134985434377,4.205287126877209
full_exog,G01,"Хлеб, крупы, мука и макаронные изделия",stock_days_mean,2,0.3091050394786732,1.2208962394046672,5.828670879282072e-16,4.537134975307988,4.205287123482845
full_exog,G02,Молочная продукция и яйца,stock_value_mean_thousand_rub,4,12.409355587566111,12.128102491557883,-2.8657631823136853e-15,63.018590598965545,27.494798701888275
full_exog,G02,Молочная продукция и яйца,group_stock_value_mean_thousand_rub_mean,4,12.409355569867298,12.128102480502612,-3.011479954295737e-15,63.018590601637655,27.494798692835076
full_exog,G02,Молочная продукция и яйца,consumer_price_index,4,-2.5383370827895444,4.323281452095169,1.5126788710517758e-15,21.206501090497223,10.867434101994258
full_exog,G02,Молочная продукция и яйца,group_consumer_price_index_mean,4,-2.538337080472661,4.323281436485505,1.5161483180037294e-15,21.20650103910539,10.86743401556047
full_exog,G02,Молочная продукция и яйца,group_income_index_mean,4,-0.6469834126658903,1.8622082952452366,2.706168622523819e-16,17.36882052048742,8.036716776387175
full_exog,G02,Молочная продукция и яйца,income_index,4,-0.6469834097248912,1.8622082868766983,2.983724378680108e-16,17.368820521363958,8.036716724886954
full_exog,G02,Молочная продукция и яйца,stock_days_mean,4,-0.3742837057129287,1.1490320071802813,-7.546047120499111e-16,6.159659769409149,3.6010505062408686
full_exog,G02,Молочная продукция и яйца,group_stock_days_mean_mean,4,-0.3742836961843926,1.1490320011961523,-7.643625316022806e-16,6.159659727187606,3.6010504802069168
full_exog,G03,"Мясо, птица, рыба и колбасные изделия",group_consumer_price_index_mean,2,-15.120508697144423,13.2295413177531,-3.9968028886505635e-15,49.7035373633843,21.918692238743112
full_exog,G03,"Мясо, птица, рыба и колбасные изделия",consumer_price_index,2,-15.120508696076381,13.22954131681863,-4.218847493575595e-15,49.70353736298502,21.918692235938668
full_exog,G03,"Мясо, птица, рыба и колбасные изделия",group_stock_value_mean_thousand_rub_mean,2,10.878650021489172,9.545483515934075,-2.3314683517128287e-15,24.04043599926391,20.241532798507247
full_exog,G03,"Мясо, птица, рыба и колбасные изделия",stock_value_mean_thousand_rub,2,10.878650014031606,9.545483509390428,-2.6645352591003757e-15,24.040435992613535,20.241532780521002
full_exog,G03,"Мясо, птица, рыба и колбасные изделия",income_index,2,5.331691945333736,4.677011485027572,-2.112893193739751e-15,34.7319008434065,6.175367097182971
full_exog,G03,"Мясо, птица, рыба и колбасные изделия",group_income_index_mean,2,5.331691948288977,4.677011483556407,-2.230854390106174e-15,34.7319008468657,6.17536709165079
full_exog,G03,"Мясо, птица, рыба и колбасные изделия",group_stock_days_mean_mean,2,-0.1922088994784637,0.6862060682263942,-3.8510861166685117e-16,2.5965514222875767,1.6644078950419323
full_exog,G03,"Мясо, птица, рыба и колбасные изделия",stock_days_mean,2,-0.19220888443279832,0.6862060588261631,-3.920475055707584e-16,2.59655135551188,1.6644078624142744
full_exog,G04,"Овощи, фрукты и картофель",consumer_price_index,3,-9.52543078342996,8.03480453857384,-3.6267285471088444e-15,24.23419436228708,20.190584779163142
full_exog,G04,"Овощи, фрукты и картофель",group_consumer_price_index_mean,3,-9.525430782249074,8.034804537577749,-3.2566542055671257e-15,24.234194370811142,20.19058477619831
full_exog,G04,"Овощи, фрукты и картофель",stock_value_mean_thousand_rub,3,7.320424612584844,6.4233146880389596,-1.7763568394002505e-15,16.46863414135244,16.044460986092062
full_exog,G04,"Овощи, фрукты и картофель",group_stock_value_mean_thousand_rub_mean,3,7.320424611161033,6.423314686789634,-1.8133642735544222e-15,16.468634133338597,16.044460983200004
full_exog,G04,"Овощи, фрукты и картофель",group_income_index_mean,3,5.592017488631542,4.4680933701449055,1.646830819860649e-15,24.777358801049342,10.9499114161135
full_exog,G04,"Овощи, фрукты и картофель",income_index,3,5.592017486790044,4.468093368673525,-2.1279274638648835e-15,24.777358773775976,10.949911412817201
full_exog,G04,"Овощи, фрукты и картофель",stock_days_mean,3,-0.5473309842169972,1.1169453300335257,-1.1194748831636996e-15,4.009216899968461,2.815042836159274
full_exog,G04,"Овощи, фрукты и картофель",group_stock_days_mean_mean,3,-0.5473310003165163,1.1169453185444473,-1.1102230246251565e-15,4.009216903961235,2.815042810256493
full_exog,G05,"Бакалея, масло, сахар, чай, соль",stock_value_mean_thousand_rub,2,1.3523359226841873,6.367256049655209,-3.3306690738754696e-16,17.52098129950212,23.00977703572569
full_exog,G05,"Бакалея, масло, сахар, чай, соль",group_stock_value_mean_thousand_rub_mean,2,1.352335930595331,6.36725604806474,-3.3306690738754696e-16,17.52098131191402,23.009777026789976
full_exog,G05,"Бакалея, масло, сахар, чай, соль",consumer_price_index,2,-4.709109748273775,4.321026533654631,-1.582067810090848e-15,10.771026479183035,15.185598865669117
full_exog,G05,"Бакалея, масло, сахар, чай, соль",group_consumer_price_index_mean,2,-4.709109737050349,4.321026523356142,-1.6653345369377348e-15,10.771026453524422,15.185598829473516
full_exog,G05,"Бакалея, масло, сахар, чай, соль",group_income_index_mean,2,1.9365125121961582,2.7158337011649594,-6.522560269672795e-16,16.56763957761758,10.718856594441755
full_exog,G05,"Бакалея, масло, сахар, чай, соль",income_index,2,1.9365125271286494,2.715833692790307,-8.465450562766819e-16,16.56763959143945,10.718856568745608
full_exog,G05,"Бакалея, масло, сахар, чай, соль",group_stock_days_mean_mean,2,-0.26423126048357537,0.3194866140936138,-5.429684479807406e-16,1.6482224515741277,1.0857675681369068
full_exog,G05,"Бакалея, масло, сахар, чай, соль",stock_days_mean,2,-0.2642312378221495,0.31948659643390215,-5.30825383648903e-16,1.6482223402150762,1.0857675110174332
full_exog,G07,"Товары для дома, гигиены и бытовая химия",group_consumer_price_index_mean,1,-28.24492309117129,26.220607106739045,-1.9095836023552692e-14,43.306600243642244,22.84236431846238
full_exog,G07,"Товары для дома, гигиены и бытовая химия",consumer_price_index,1,-28.24492282090801,26.220606855845553,-1.9539925233402755e-14,43.30659982926038,22.84236409989381
full_exog,G07,"Товары для дома, гигиены и бытовая химия",stock_value_mean_thousand_rub,1,23.24862055538912,20.399527868007887,-4.884981308350689e-15,47.31614350028738,17.7712684374078
full_exog,G07,"Товары для дома, гигиены и бытовая химия",group_stock_value_mean_thousand_rub_mean,1,23.248620187350298,20.399527545071816,-5.773159728050814e-15,47.31614275124605,17.771268156078566
full_exog,G07,"Товары для дома, гигиены и бытовая химия",income_index,1,8.153852700001755,6.515032412556265,-3.1086244689504383e-15,25.3191106435053,5.675640663406025
full_exog,G07,"Товары для дома, гигиены и бытовая химия",group_income_index_mean,1,8.15385226464896,6.5150320647038225,-3.1086244689504383e-15,25.319109291660226,5.675640360370622
full_exog,G07,"Товары для дома, гигиены и бытовая химия",group_stock_days_mean_mean,1,-5.217946628843543,4.259520354143062,-1.0769163338864018e-14,13.118169835661334,3.7107270382856603
full_exog,G07,"Товары для дома, гигиены и бытовая химия",stock_days_mean,1,-5.21794647108358,4.259520225360262,-1.0547118733938987e-14,13.118169439045166,3.7107269260951377
full_exog,G10,Топливо и транспортные товары,stock_value_mean_thousand_rub,5,21.77654704812175,19.316220290379633,-1.8012411485728905e-16,116.60834063501265,21.31772931010682
full_exog,G10,Топливо и транспортные товары,group_stock_value_mean_thousand_rub_mean,5,21.776547010991397,19.31622025727173,5.966491668545887e-16,116.60834063517547,21.317729126343576
full_exog,G10,Топливо и транспортные товары,group_consumer_price_index_mean,5,-18.163742186327205,16.129328567247363,-1.0416571819664098e-14,73.35978911613171,14.008842558408649
full_exog,G10,Топливо и транспортные товары,consumer_price_index,5,-18.163742172930938,16.12932855494007,-8.149491617935457e-15,73.35978878874862,14.008842738165034
full_exog,G10,Топливо и транспортные товары,group_income_index_mean,5,1.4477374863936594,6.1460414761639734,1.5122003266446097e-16,46.383777106519084,7.532106767619038
full_exog,G10,Топливо и транспортные товары,income_index,5,1.4477374866452413,6.146041463753792,-2.871266442996093e-17,46.38377698998632,7.532106786645881
full_exog,G10,Топливо и транспортные товары,group_stock_days_mean_mean,5,-5.959411630598689,4.854632023070364,-9.209299989265674e-15,29.655600828461615,7.141321151108983
full_exog,G10,Топливо и транспортные товары,stock_days_mean,5,-5.95941162735704,4.854632020387898,-9.168815132419429e-15,29.655600432257447,7.141321561602021
