group_code,group_name,products_count,observations_count,actual_mean,forecast_mean,MAE,RMSE,MAPE_%,WAPE_%
G03,"Мясо, птица, рыба и колбасные изделия",2,8,110.36622499999999,112.73641238582479,3.535150860500801,3.8187033318470918,3.153708295105221,3.20310933938422
G01,"Хлеб, крупы, мука и макаронные изделия",2,8,110.841285875,110.27174179710312,4.314502383954636,5.750294158783004,3.892745539743297,3.892504809823541
G05,"Бакалея, масло, сахар, чай, соль",2,8,88.98974874999999,95.2040132968584,8.469458685301285,9.036813230356513,9.98015321393071,9.517341945862373
G04,"Овощи, фрукты и картофель",3,12,143.77120266666665,139.28966909380458,14.836165506733648,17.93011950238076,10.39151879269194,10.319288725108098
G02,Молочная продукция и яйца,3,12,123.56430399999999,127.04013809005572,15.381340095969001,18.803887488890854,13.851872115897448,12.44804494344014
G10,Топливо и транспортные товары,1,4,160.39977525,167.37966899019915,21.260013106233806,22.747118228318058,14.183213883147655,13.254390832591772
G07,"Товары для дома, гигиены и бытовая химия",1,4,124.64015674999999,160.68020249873567,36.040045748735665,36.273005114940666,29.055694427800017,28.915276335077035
