product_code,product_name,group_code,group_name,forecast_year,train_start,train_end,observations_used,selected_model,order,seasonal_order,validation_wape_before_calibration,calibration_type,calibration_multiplier,calibration_additive,validation_wape_after_calibration,MAE,RMSE,MAPE_%,WAPE_%
S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2017Q1,2024Q4,32,seasonal_drift,None,None,8.395491128531294,multiplicative,0.9760815805765695,-4.6765618124999975,8.074125564501049,66.88092925967732,71.84926840871357,43.171926598820406,41.69639836180339
S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2017Q1,2020Q4,16,seasonal_drift,None,None,6.530967053857433,none,0.9539673211300781,-5.085489727062228,6.530967053857433,8.213371439699486,11.755616624305471,7.847620983052198,7.807826230553956
S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2017Q1,2021Q4,20,sarimax,"(0, 1, 1)","(1, 0, 0, 4)",9.062130661590247,additive,1.0931508021501333,16.047036541386746,7.200410864770829,83.10226973110136,87.16717512073213,61.862195437819345,61.63271397140206
S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2017Q1,2021Q4,20,sarimax,"(1, 1, 2)","(1, 0, 0, 4)",3.988899546574874,multiplicative,1.020324505519995,2.6070908582006247,2.948254883371687,7.747179500010059,8.614566397123571,5.959939258045216,5.664222838165724
S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2025,2017Q1,2024Q4,32,seasonal_naive,None,None,2.717757818854195,combined,1.0063057285627905,0.7699819999999988,2.1471368308308434,24.81461529749021,25.835964748267926,25.7306329582595,24.91214172359185
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2024,2017Q1,2023Q4,28,seasonal_naive,None,None,1.782131816602461,combined,0.991966474660035,-0.47165625000000233,1.3278309296543063,10.244191062436114,10.532540938144422,21.9775239478837,21.77038698587418
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2017Q1,2024Q4,32,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",2.6675830789258455,additive,0.9740172798567283,-3.0530684872489644,1.4237023891078613,4.201042222393767,4.901358250279293,3.532890183327262,3.5860988825404503
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2017Q1,2024Q4,32,seasonal_drift,None,None,5.4820213298025475,none,1.00283954030011,0.23739794254920454,5.4820213298025475,1.295860540156852,1.3825396891974953,1.6337859884669823,1.5874997598900593
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2017Q1,2024Q4,32,seasonal_naive,None,None,2.022423786724615,none,1.0102462075275707,1.2371252499999947,2.022423786724615,11.649514499999992,11.917661682070872,8.655294026832197,8.717969886794757
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2017Q1,2023Q4,28,sarimax,"(0, 1, 1)","(0, 0, 0, 4)",16.275074615976802,combined,0.936771168429404,-4.768095364135901,10.48126402929015,8.830591,11.516083869177407,12.024291308918261,13.063225797709338
