group_code,group_name,products_count,observations_count,forecast_years,MAE,RMSE,MAPE_%,WAPE_%,under_10_percent
G01,"Хлеб, крупы, мука и макаронные изделия",2,8,2025,2.6842452861662895,3.68966377300279,2.2608370903911945,2.4217016836067895,True
G03,"Мясо, птица, рыба и колбасные изделия",2,8,2025,2.916373935797548,3.391387821063998,2.5553363802590483,2.642451470816863,True
G05,"Бакалея, масло, сахар, чай, соль",2,8,2025,3.0525092700784278,3.742231184453055,3.2788350914899413,3.4301807938056776,True
G04,"Овощи, фрукты и картофель",3,12,2025,15.163395708826293,18.41579707916007,10.522962368015772,10.546893555577055,False
G02,Молочная продукция и яйца,4,16,2024; 2025,14.173412636872548,16.78304648488453,13.560439208001135,12.935139302346489,False
G07,"Товары для дома, гигиены и бытовая химия",1,4,2025,27.187086609761838,27.39413610416251,22.067886833509917,21.812461825038454,False
G10,Топливо и транспортные товары,5,20,2021; 2022; 2024; 2025,35.23758819858487,51.15422462404749,28.16384124512417,30.15584174257191,False
