product_name,observations_used,first_train_period,last_train_period,forecast_start,forecast_end,backtest_mae,backtest_rmse,backtest_mape,backtest_wape,test_period,test_mae_2025,test_rmse_2025,test_mape_2025,test_wape_2025
Автомобили легковые,32,2017Q1,2024Q4,2025Q1,2025Q4,41.59749954532193,49.462635772583894,20.487723374864785,21.796507261208355,2025Q1-2025Q4,21.260013106233806,22.747118228318058,14.183213883147655,13.254390832591772
Бензины автомобильные,21,2017Q1,2024Q1,2024Q2,2025Q4,40500.00979565062,62064.95487439193,42514.4424614321,38731.05290382556,,,,,
Газовое моторное топливо,25,2017Q1,2024Q1,2024Q2,2025Q4,72.97741463594696,77.16189426551031,53.73904463755509,54.18601056271258,,,,,
Дизельное топливо,25,2017Q1,2024Q1,2024Q2,2025Q4,8.247465781095347,9.782661975237097,6.44350881037629,5.893329336139132,,,,,
"Консервы молочные, молочные составные сухие, сублимированные",32,2017Q1,2024Q4,2025Q1,2025Q4,8.472746981612268,8.833323197783566,6.872198492003459,6.89523372459041,2025Q1-2025Q4,27.25233338808674,28.148339448758993,28.343681949708245,27.359440536289814
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",32,2017Q1,2024Q4,2025Q1,2025Q4,7.319866520784419,8.035194480285568,17.646726454827377,15.555774572260425,,,,,
Макаронные изделия,32,2017Q1,2024Q4,2025Q1,2025Q4,4.655821191884545,4.764292291118802,4.105441494935265,4.067969612161142,2025Q1-2025Q4,4.185622741720255,5.567491963712627,3.788655690044254,3.5729364862860455
Маргариновая продукция,32,2017Q1,2024Q4,2025Q1,2025Q4,9.247978521435538,9.311156300592021,11.166911872403556,11.03027777303105,2025Q1-2025Q4,9.76119288528546,10.048001487490515,12.198288848605545,11.957993072121472
Молоко питьевое,32,2017Q1,2024Q4,2025Q1,2025Q4,4.84291099884198,5.5976048378876975,4.015442234347018,3.9703494777984316,2025Q1-2025Q4,9.437368696607418,10.133575269225833,6.957591925077844,7.062499995824119
Молочные напитки,32,2017Q1,2024Q4,2025Q1,2025Q4,19.77661889974597,22.675492510165412,28.278939078182486,29.255849150144947,,,,,
Мука,32,2017Q1,2024Q4,2025Q1,2025Q4,5.536746436876044,7.137202813963619,5.197850249591395,5.406358887277758,2025Q1-2025Q4,4.443382026189024,5.927461434633149,3.9968353894423463,4.250632962038019
Мясо домашней птицы,32,2017Q1,2024Q4,2025Q1,2025Q4,2.8048443728603836,3.330464590433489,2.216722004281581,2.310099685002394,2025Q1-2025Q4,4.2314248659215075,4.344534974559841,3.5591733144278157,3.576018755168817
Мясо животных,32,2017Q1,2024Q4,2025Q1,2025Q4,0.6051946863091118,0.6064409200311749,0.5859861770313337,0.5851934147178609,2025Q1-2025Q4,2.8388768550800982,3.2078039416626587,2.748243275782631,2.7722152049178597
Свежие овощи,32,2017Q1,2024Q4,2025Q1,2025Q4,13.320057290341385,13.600366635076881,9.226148179494817,9.235509538561631,2025Q1-2025Q4,9.964877521848063,11.230284221339366,7.390053862454016,7.143627408323379
Свежие фрукты,32,2017Q1,2024Q4,2025Q1,2025Q4,9.402520169810842,10.491467864439242,7.186185947727444,6.988967344853847,2025Q1-2025Q4,10.657260898542454,12.35611039382402,9.138318425430937,8.415441848418556
Свежий картофель,32,2017Q1,2024Q4,2025Q1,2025Q4,13.547245183302717,15.832810998403568,11.16013061816904,9.878916539175846,2025Q1-2025Q4,23.886358099810423,26.185393034142805,14.646184090190859,14.460716406157337
Стиральные машины,32,2017Q1,2024Q4,2025Q1,2025Q4,13.505210742108318,14.18009720232823,9.568886904431578,8.946716455327378,2025Q1-2025Q4,36.04004574873565,36.27300511494066,29.055694427800017,28.915276335077024
Чай,32,2017Q1,2024Q4,2025Q1,2025Q4,3.4757022575965415,4.041513348863984,3.711638130702536,3.4358589124045045,2025Q1-2025Q4,7.177724485317118,7.897192718180406,7.7620175792558825,7.449599500097031
сыры,32,2017Q1,2024Q4,2025Q1,2025Q4,4.680698011930922,6.440573388759955,4.116694189347597,3.7679836322035873,2025Q1-2025Q4,9.45431820321285,12.87401229706463,6.25434247290626,6.877971993390247
