group_code,group_name,base_WAPE_%,base_MAPE_%,base_MAE,base_RMSE,exog_WAPE_%,exog_MAPE_%,exog_MAE,exog_RMSE,WAPE_change,WAPE_change_%,result
G07,"Товары для дома, гигиены и бытовая химия",28.915276335077035,29.055694427800017,36.04004574873567,36.273005114940666,19.45056206178449,19.43757243842363,24.243211042564223,25.42530172539697,-9.464714273292547,-32.73257417156664,улучшение
G05,"Бакалея, масло, сахар, чай, соль",9.517341945862372,9.98015321393071,8.469458685301285,9.036813230356511,6.820437329141941,7.284678013366507,6.069490042854623,7.250041868946348,-2.6969046167204302,-28.336741834655832,улучшение
G04,"Овощи, фрукты и картофель",10.319288725108098,10.39151879269194,14.836165506733648,17.93011950238076,10.858012734132611,10.622248536567302,15.610695493562272,20.82725113241274,0.5387240090245129,5.220553696823417,ухудшение
G01,"Хлеб, крупы, мука и макаронные изделия",3.892504809823541,3.892745539743297,4.314502383954636,5.750294158783004,4.920069500355225,5.114802958946039,5.453468300137418,6.737952434115953,1.0275646905316838,26.398546456215332,ухудшение
G10,Топливо и транспортные товары,13.254390832591772,14.183213883147657,21.260013106233806,22.747118228318055,14.45593633161612,14.232833555510895,23.187289386195356,28.94722254911166,1.2015454990243484,9.065263837473529,ухудшение
G02,Молочная продукция и яйца,12.44804494344014,13.851872115897448,15.381340095969,18.80388748889085,13.94394614306303,15.166023836916196,17.229740001810676,19.612620372378117,1.4959011996228906,12.017157765896398,ухудшение
G03,"Мясо, птица, рыба и колбасные изделия",3.20310933938422,3.153708295105221,3.535150860500801,3.818703331847092,10.55557429976522,10.487390450288013,11.649788881721056,14.394612343765674,7.352464960381001,229.541491761704,ухудшение
