feature,products_count,mean_coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,mean_share_of_exog_contribution_pct
stock_value_mean_thousand_rub,19,26.712799195982125,25.208036073830357,-3.8987516582770215e-15,233.68338169661016,42.34090374802704
consumer_price_index,19,-21.93492410734973,19.696941692241765,-9.294113170144139e-15,139.5206849811062,28.654366070405295
income_index,19,5.806189443825535,8.567258094070434,-1.6299663272660045e-15,98.79640493415398,20.024799425356814
stock_days_mean,19,-4.86030894099971,4.4076929330039665,-8.171652631633099e-15,59.73402365509847,8.97993075621085
