group_code,group_name,products_count,observations_count,actual_mean,forecast_mean,MAE,RMSE,MAPE_%,WAPE_%
G01,"Хлеб, крупы, мука и макаронные изделия",2,8,110.841285875,111.84632702976737,5.453468300137418,6.737952434115953,5.114802958946039,4.920069500355225
G05,"Бакалея, масло, сахар, чай, соль",2,8,88.98974874999999,91.75689370512332,6.069490042854623,7.250041868946348,7.284678013366507,6.820437329141941
G03,"Мясо, птица, рыба и колбасные изделия",2,8,110.36622499999999,99.11099993238884,11.649788881721056,14.394612343765674,10.487390450288013,10.55557429976522
G04,"Овощи, фрукты и картофель",3,12,143.77120266666665,141.68851026546966,15.610695493562273,20.82725113241274,10.622248536567302,10.858012734132613
G02,Молочная продукция и яйца,3,12,123.56430399999999,127.75405349206694,17.229740001810676,19.612620372378114,15.166023836916196,13.94394614306303
G10,Топливо и транспортные товары,1,4,160.39977525,154.04486777100357,23.187289386195353,28.94722254911166,14.232833555510895,14.45593633161612
G07,"Товары для дома, гигиены и бытовая химия",1,4,124.64015674999999,148.88336779256423,24.243211042564223,25.42530172539697,19.43757243842363,19.450562061784492
