product_name,period,period_end,last_train_period,forecast_target_demand_index,forecast_lower,forecast_upper,model,order,seasonal_order
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q3,2025-09-30,2024Q4,43.099634269265636,30.602212557954825,55.59705598057644,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q4,2025-12-31,2024Q4,53.93044922161869,41.24491147608808,66.6159869671493,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Макаронные изделия,2025Q1,2025-03-31,2025Q4,115.29989149820754,100.87790438148058,129.72187861493452,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Макаронные изделия,2025Q2,2025-06-30,2025Q4,122.33075640450123,106.15438830450378,138.50712450449868,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Макаронные изделия,2025Q3,2025-09-30,2025Q4,134.8414600475225,117.27663582636555,152.40628426867946,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Макаронные изделия,2025Q4,2025-12-31,2025Q4,116.47880825010782,97.6395300972013,135.31808640301432,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Маргариновая продукция,2025Q1,2025-03-31,2025Q4,81.11418299184747,67.63841732407404,94.5899486596209,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Маргариновая продукция,2025Q2,2025-06-30,2025Q4,80.92814426905807,66.73356221364136,95.12272632447477,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Маргариновая продукция,2025Q3,2025-09-30,2025Q4,78.89582974250872,64.44396551241823,93.34769397259922,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Маргариновая продукция,2025Q4,2025-12-31,2025Q4,91.79732156700975,77.15128242661793,106.44336070740157,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молоко питьевое,2025Q1,2025-03-31,2025Q4,141.16281175611306,127.8280914957856,154.49753201644052,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молоко питьевое,2025Q2,2025-06-30,2025Q4,139.6583718705344,125.3976814712048,153.919062269864,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молоко питьевое,2025Q3,2025-09-30,2025Q4,149.92678313143554,133.02239293545662,166.83117332741446,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молоко питьевое,2025Q4,2025-12-31,2025Q4,144.3007586821929,125.95686060041015,162.64465676397566,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молочные напитки,2025Q1,2025-03-31,2024Q4,45.927954033445594,13.264431784294679,78.59147628259652,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Молочные напитки,2025Q2,2025-06-30,2024Q4,66.9232505490005,31.832339468208033,102.01416162979297,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
