model,product_code,product_name,group_code,group_name,cv_years,observations_count,MAE,RMSE,MAPE_%,WAPE_%
lightgbm_global,S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,10.694365958041844,12.399812594959172,8.860793764588193,8.890796434182572
prophet,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,2.730612253843082,3.593346377430966,2.6823468785572597,2.646211142176812
seasonal_naive,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,2.8029089999999974,3.299149600719553,2.7301829250845526,2.7162732518572708
lightgbm_global,S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,3.984378005027055,5.058726882692389,3.834582746740458,3.8612239642255366
lightgbm_global,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,9.61039849588591,11.514428912895765,7.031710615785845,6.828383522693351
prophet,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,12.481583853809832,15.5879422873017,8.928831316007535,8.868419094271264
seasonal_naive,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,12.955230416666668,15.974853369865261,9.48233070263272,9.20495460700536
lightgbm_global,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,9.66661233233713,14.2643893714471,6.977026246355897,7.376601312268476
prophet,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,10.527526031177171,12.663206642127031,7.950611245230236,8.033565396715
seasonal_naive,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,13.795767500000006,16.279785195696988,10.84570431553261,10.527563653692788
prophet,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,19.616901131217094,24.202558823078075,14.543982796019309,13.630060770920657
seasonal_naive,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,23.968701,27.922645136981554,16.757501970035904,16.65374408754833
lightgbm_global,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,25.45120221471438,28.921087436859715,20.43573773945243,17.683803907616706
prophet,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2023; 2024; 2025,12,18.912739278827953,23.83328522631535,14.891449397794009,13.543820552233582
seasonal_naive,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2023; 2024; 2025,12,23.380161250000004,29.14916366926694,17.65953122059454,16.743037789706626
lightgbm_global,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2023; 2024; 2025,12,24.364942407257605,28.779473702466042,17.857701756596626,17.448260818506526
prophet,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,3.918503382665173,4.697639805150254,3.7531666870897857,3.9286748002966365
seasonal_naive,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,4.493735250000001,5.305317700639843,4.667271341063217,4.505399820242606
lightgbm_global,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,6.079206379071365,6.602790817895551,6.319887450994689,6.094986420814581
lightgbm_global,S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,12,8.174054952922624,10.682946072405327,6.199591047954548,6.384856634850951
prophet,S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,12,8.402677493918405,10.400768760316565,6.575483923141341,6.563436563192574
seasonal_naive,S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,12,9.234656166666664,12.376024361419185,7.040369558748417,7.213305517994728
