group_code,group_name,products_count,observations_count,forecast_years,MAE,RMSE,MAPE_%,WAPE_%
G03,"Мясо, птица, рыба и колбасные изделия",2,8,2025,3.535150860500803,3.818703331847092,3.153708295105223,3.203109339384221
G01,"Хлеб, крупы, мука и макаронные изделия",2,8,2025,3.6898809610952394,4.921173997019713,3.212360835740206,3.328977043135769
G05,"Бакалея, масло, сахар, чай, соль",2,8,2025,4.872334215915897,6.14215581873567,5.945946471858018,5.475163470349608
G04,"Овощи, фрукты и картофель",3,12,2025,14.836165506733648,17.93011950238076,10.391518792691938,10.319288725108098
G02,Молочная продукция и яйца,4,16,2024; 2025,12.472245008995944,16.111910837990834,12.141893361045259,11.382595761351993
G07,"Товары для дома, гигиены и бытовая химия",1,4,2025,14.322944318103449,16.143351139104954,11.732671406461629,11.491436380998815
G10,Топливо и транспортные товары,5,20,2021; 2022; 2024; 2025,18.589113539501994,21.16739764277087,20.973435462541993,15.908306858936372
