group_code,group_name,products_count,observations_count,forecast_years,MAE,RMSE,MAPE_%,WAPE_%
G01,"Хлеб, крупы, мука и макаронные изделия",2,8,2025,3.6898809610952394,4.921173997019713,3.212360835740206,3.328977043135769
G03,"Мясо, птица, рыба и колбасные изделия",2,8,2025,3.8505016086736994,4.391046710222333,3.5546875210000217,3.4888405476165376
G05,"Бакалея, масло, сахар, чай, соль",2,8,2025,6.5299500564033774,6.913316897790518,7.67047124113663,7.3378677298528485
G02,Молочная продукция и яйца,4,16,2024; 2025,12.472245008995944,16.111910837990834,12.141893361045259,11.382595761351993
G04,"Овощи, фрукты и картофель",3,12,2025,18.845417974317332,22.808885458038507,13.388615038462898,13.107922605342887
G10,Топливо и транспортные товары,5,20,2021; 2022; 2024; 2025,23.234959094990355,35.05615983411043,20.30054846241208,19.88415737805233
G07,"Товары для дома, гигиены и бытовая химия",1,4,2025,25.428298682968812,25.785777175153196,20.560594911919395,20.401369306661124
