product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order
"Консервы молочные, молочные составные сухие, сублимированные",2025Q4,2025-12-31,2017Q1,2024Q4,112.623027,139.9495633019448,122.42602393494745,157.47310266894215,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q1,2025-03-31,2017Q1,2024Q4,,44.26181606531941,32.50626124446184,56.01737088617698,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q2,2025-06-30,2017Q1,2024Q4,,34.68759211045905,22.41983990823666,46.95534431268144,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q3,2025-09-30,2017Q1,2024Q4,,43.099634269265636,30.602212557954825,55.59705598057644,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q4,2025-12-31,2017Q1,2024Q4,,53.93044922161869,41.24491147608808,66.6159869671493,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Макаронные изделия,2025Q1,2025-03-31,2017Q1,2024Q4,104.309186,112.22627254300573,97.67573910383368,126.77680598217779,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Макаронные изделия,2025Q2,2025-06-30,2017Q1,2024Q4,117.114583,116.37142306692868,99.83321441399953,132.90963171985783,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Макаронные изделия,2025Q3,2025-09-30,2017Q1,2024Q4,131.022371,130.72918038710466,112.56437248142447,148.89398829278485,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Макаронные изделия,2025Q4,2025-12-31,2017Q1,2024Q4,116.14576,108.35670612209135,88.70739905441226,128.00601318977044,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Маргариновая продукция,2025Q1,2025-03-31,2017Q1,2024Q4,76.485111,89.96529214429593,78.14603152466485,101.78455276392701,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Маргариновая продукция,2025Q2,2025-06-30,2017Q1,2024Q4,75.479866,82.35342496462681,69.1908734707356,95.51597645851803,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
Маргариновая продукция,2025Q3,2025-09-30,2017Q1,2024Q4,73.741026,83.41128087844758,69.69664358536043,97.12591817153474,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)"
