model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,model_params,error,abs_error,ape_%
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,101.717264,104.189785,same quarter previous year,2.4725210000000004,2.4725210000000004,2.430778122384417
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,86.052351,114.024631,same quarter previous year,27.972279999999998,27.972279999999998,32.506119443500154
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,123.377583,126.159697,same quarter previous year,2.782113999999993,2.782113999999993,2.254959071454652
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,110.413409,113.741055,same quarter previous year,3.3276460000000014,3.3276460000000014,3.0138060495895034
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,101.717264,94.94169190317245,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",-6.7755720968275455,6.7755720968275455,6.661182016090744
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,86.052351,107.12956269441624,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",21.077211694416235,21.077211694416235,24.493475715051915
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,123.377583,115.3165850046086,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",-8.060997995391403,8.060997995391403,6.533600188448661
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,110.413409,110.77789099880411,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",0.36448199880410925,0.36448199880410925,0.3301066438444168
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,93.861817,101.717264,same quarter previous year,7.855446999999998,7.855446999999998,8.369161445063437
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,101.556,86.052351,same quarter previous year,-15.503648999999996,15.503648999999996,15.266108354011577
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,118.786738,123.377583,same quarter previous year,4.590845000000002,4.590845000000002,3.864779079967666
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,106.571789,110.413409,same quarter previous year,3.841620000000006,3.841620000000006,3.604725074100057
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,93.861817,94.20014552781207,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",0.3383285278120667,0.3383285278120667,0.36045384441265044
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,101.556,96.44592207586857,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",-5.110077924131431,5.110077924131431,5.031783374819244
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,118.786738,117.51017039686592,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",-1.2765676031340831,1.2765676031340831,1.0746718233260038
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,106.571789,108.02828797709877,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",1.456498977098775,1.456498977098775,1.3666834260413656
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,134.043161,123.835645,same quarter previous year,-10.207515999999998,10.207515999999998,7.615096453895173
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,118.702943,143.58147,same quarter previous year,24.87852699999999,24.87852699999999,20.95864379706238
