ppi_product_code,period,ppi_quarterly_index,ppi_product_index_quarter_mean
M_бензин_автомобильный,2017Q1,101.75544729749998,99.81655833333333
M_бензин_автомобильный,2017Q2,108.9187539792,105.97180987400277
M_бензин_автомобильный,2017Q3,101.8468171696,109.1431001791484
M_бензин_автомобильный,2017Q4,101.3596780068,111.19508551841346
M_бензин_автомобильный,2018Q1,91.02392680290001,100.3295147952245
M_бензин_автомобильный,2018Q2,138.2646672066,129.98824308855058
M_бензин_автомобильный,2018Q3,100.6715895348,133.49857050598015
M_бензин_автомобильный,2018Q4,88.22245497,140.24871684593097
M_бензин_автомобильный,2019Q1,75.06762394949999,97.43864990701725
M_бензин_автомобильный,2019Q2,127.04424557760001,108.09949471758783
M_бензин_автомобильный,2019Q3,95.330075802,113.23831834082044
M_бензин_автомобильный,2019Q4,91.48178726399999,109.75395068601398
M_бензин_автомобильный,2020Q1,105.0704850288,107.94557192459997
M_бензин_автомобильный,2020Q2,105.29834360580001,96.149997159974
M_бензин_автомобильный,2020Q3,99.2244526844,118.53861830164571
M_бензин_автомобильный,2020Q4,91.7119352832,108.5489075794787
M_бензин_автомобильный,2021Q1,115.00866,117.28254375127685
M_бензин_автомобильный,2021Q3,105.6731867192,126.83820193088305
M_бензин_автомобильный,2021Q4,86.31464368500001,117.73896689307823
M_бензин_автомобильный,2022Q1,91.854217896,110.11684036272477
M_бензин_автомобильный,2022Q2,79.07138266940001,84.83599726515303
M_бензин_автомобильный,2022Q3,120.02772480399999,93.41251542674091
M_бензин_автомобильный,2022Q4,72.14576384,70.18841076905623
M_бензин_автомобильный,2023Q1,127.30488835949998,72.69682611740123
M_бензин_автомобильный,2023Q2,143.93999684479996,111.6100370458167
M_бензин_автомобильный,2023Q3,125.48190374640002,147.02295083679533
M_бензин_автомобильный,2023Q4,56.56307871060001,109.59323230100615
M_бензин_автомобильный,2024Q1,126.26437906720001,100.51634770795472
M_бензин_автомобильный,2024Q2,95.50744130070001,110.77673833785293
M_бензин_автомобильный,2024Q3,128.699199018,135.9641997014828
M_бензин_автомобильный,2024Q4,86.44503161250002,130.6876561347104
M_бензин_автомобильный,2025Q1,85.94016971879999,105.30288408262494
M_бензин_автомобильный,2025Q2,117.6361018371,113.54788109078352
M_бензин_автомобильный,2025Q3,131.4744066,150.0737557690309
M_бензин_автомобильный,2025Q4,84.8274471486,151.52870089401299
M_бензин_автомобильный,2026Q1,93.27504222719999,117.79743869263568
M_вода_питьевая,2017Q1,100.240108,100.04
M_вода_питьевая,2017Q2,100.0,100.06
M_вода_питьевая,2017Q3,106.24912384999999,106.05947214143667
M_вода_питьевая,2017Q4,100.07,106.38729233563701
M_вода_питьевая,2018Q1,99.630322036,106.11788497102748
M_вода_питьевая,2018Q2,100.07980898020001,106.15293183211156
M_вода_питьевая,2018Q3,104.46310666349996,110.70629518875046
M_вода_питьевая,2018Q4,100.4802990492,111.17146191137563
M_водка,2017Q1,94.987137,100.19666666666667
M_водка,2017Q2,100.34851395659999,101.906641272248
M_водка,2017Q3,99.09226229759999,100.33935412135179
M_водка,2017Q4,97.06591104,98.15887317016949
M_водка,2018Q1,100.7278037556,98.75519629782484
M_водка,2018Q2,101.23030953599998,98.99802557169672
M_водка,2018Q3,102.5161317954,100.75389118027726
M_водка,2018Q4,97.8751155646,99.98858531529739
M_водка,2019Q1,104.60317099999999,103.86986983002275
M_водка,2019Q2,99.91993204799998,103.91309848518357
M_водка,2019Q3,100.0891494792,104.00274590845784
