product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,exog_columns,train_exog_missing_before_fill,future_exog_missing_before_fill
Газовое моторное топливо,2025Q2,2025-06-30,2017Q1,2024Q1,,138.7391133066724,87.04165414394348,190.43657246940134,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,28,49
Газовое моторное топливо,2025Q3,2025-09-30,2017Q1,2024Q1,,138.74335655851164,83.4479826391904,194.03873047783287,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,28,49
Газовое моторное топливо,2025Q4,2025-12-31,2017Q1,2024Q1,,138.75502957216017,80.09424533026603,197.4158138140543,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,28,49
Дизельное топливо,2024Q2,2024-06-30,2017Q1,2024Q1,,97.57252855567955,87.87431211455325,107.27074499680586,False,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,28,49
Дизельное топливо,2024Q3,2024-09-30,2017Q1,2024Q1,,154.75157237837823,142.90869644603325,166.5944483107232,False,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,28,49
Дизельное топливо,2024Q4,2024-12-31,2017Q1,2024Q1,,92.17851323500138,76.70337828095828,107.65364818904447,False,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,28,49
Дизельное топливо,2025Q1,2025-03-31,2017Q1,2024Q1,,160.18923032226434,143.43258699262137,176.9458736519073,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,28,49
Дизельное топливо,2025Q2,2025-06-30,2017Q1,2024Q1,,85.82063122729917,66.07057450839875,105.5706879461996,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,28,49
Дизельное топливо,2025Q3,2025-09-30,2017Q1,2024Q1,,166.95112866652127,146.22399922258882,187.67825811045373,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,28,49
Дизельное топливо,2025Q4,2025-12-31,2017Q1,2024Q1,,78.37116499212802,54.999862934744925,101.7424670495111,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,28,49
