product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,model_key,model_name_readable,product_code,group_code,group_name,best_group_WAPE_%,selected_features,future_exog_mode,exog_columns,train_exog_missing_before_fill,future_exog_missing_before_fill,agg_exog_columns
Молоко питьевое,2025Q4,2025-12-31,2017Q1,2024Q4,134.704368,124.6625488770671,108.00355431950528,141.3215434346289,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_молоко_питьевое,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
Молочные напитки,2025Q1,2025-03-31,2017Q1,2024Q4,,63.77530233947694,18.2151263817978,109.33547829715609,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_молочные_напитки,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
Молочные напитки,2025Q2,2025-06-30,2017Q1,2024Q4,,62.37902917201272,16.818853213597578,107.93920513042788,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_молочные_напитки,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
Молочные напитки,2025Q3,2025-09-30,2017Q1,2024Q4,,68.42872645127272,22.868550492121564,113.98890241042388,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_молочные_напитки,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
Молочные напитки,2025Q4,2025-12-31,2017Q1,2024Q4,,80.18996408817787,34.6297881282907,125.75014004806503,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_молочные_напитки,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
сыры,2025Q1,2025-03-31,2017Q1,2024Q4,126.734882,125.11160468700908,112.04258363882592,138.18062573519225,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_сыры,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
сыры,2025Q2,2025-06-30,2017Q1,2024Q4,116.898798,115.21627457986528,101.7276197892636,128.70492937046694,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_сыры,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
сыры,2025Q3,2025-09-30,2017Q1,2024Q4,143.770347,133.08061198291796,119.18499019178574,146.97623377405017,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_сыры,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
сыры,2025Q4,2025-12-31,2017Q1,2024Q4,162.427709,138.06995377083555,123.77894954214835,152.36095799952275,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",final_selected,Итоговая модель с отбором признаков,S_сыры,G02,Молочная продукция и яйца,12.03,stock_value_vs_group,neutral_zero_after_standardization,,,,
Мясо домашней птицы,2025Q1,2025-03-31,2017Q1,2024Q4,106.372638,110.00168710967505,100.72064323494774,119.28273098440232,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_мясо_домашней_птицы,G03,"Мясо, птица, рыба и колбасные изделия",3.2,,,,,,
Мясо домашней птицы,2025Q2,2025-06-30,2017Q1,2024Q4,117.025071,122.38166444796252,112.8293073187381,131.93402157718694,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_мясо_домашней_птицы,G03,"Мясо, птица, рыба и колбасные изделия",3.2,,,,,,
Мясо домашней птицы,2025Q3,2025-09-30,2017Q1,2024Q4,110.672012,113.61379098478646,104.01983914457615,123.20774282499676,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_мясо_домашней_птицы,G03,"Мясо, птица, рыба и колбасные изделия",3.2,,,,,,
Мясо домашней птицы,2025Q4,2025-12-31,2017Q1,2024Q4,139.24154,144.239817921262,134.63954198285876,153.84009385966522,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_мясо_домашней_птицы,G03,"Мясо, птица, рыба и колбасные изделия",3.2,,,,,,
Мясо животных,2025Q1,2025-03-31,2017Q1,2024Q4,94.208871,98.16645966470536,92.69758513291578,103.63533419649497,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_мясо_животных,G03,"Мясо, птица, рыба и колбасные изделия",3.2,,,,,,
Мясо животных,2025Q2,2025-06-30,2017Q1,2024Q4,99.145193,100.64609380220142,94.86561920288185,106.426568401521,True,SARIMAX,"(1, 1, 1)","(1, 0, 1, 4)",base,Базовая SARIMAX,S_мясо_животных,G03,"Мясо, птица, рыба и колбасные изделия",3.2,,,,,,
