product_code,product_name,group_code,group_name,forecast_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,model,order,seasonal_order,selected_features,forecast_exog_mode
S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2025,2025Q4,2025-12-31,2017Q1,2024Q4,112.623027,138.02919734013665,120.47055250309597,155.58784217717732,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2024,2024Q1,2024-03-31,2017Q1,2023Q4,47.272685,55.56786259573991,39.851926773350435,71.2837984181294,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2024,2024Q2,2024-06-30,2017Q1,2023Q4,34.477081,47.06225595121549,31.34632012858557,62.77819177384541,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2024,2024Q3,2024-09-30,2017Q1,2023Q4,45.140671,53.94119332326725,38.225257500396886,69.65712914613762,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2024,2024Q4,2024-12-31,2017Q1,2023Q4,61.332052,69.58772176415926,53.871785941048444,85.30365758727007,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q1,2025-03-31,2017Q1,2024Q4,104.309186,109.6182773079158,91.89539758129067,127.34115703454094,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q2,2025-06-30,2017Q1,2024Q4,117.114583,118.60267751762771,100.10033391188148,137.10502112337394,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q3,2025-09-30,2017Q1,2024Q4,131.022371,128.5673053153788,109.31703331715039,147.81757731360722,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q4,2025-12-31,2017Q1,2024Q4,116.14576,111.62860628651185,91.65839784727778,131.5988147257459,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q1,2025-03-31,2017Q1,2024Q4,76.485111,83.91748138000537,69.73631707568875,98.098645684322,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q2,2025-06-30,2017Q1,2024Q4,75.479866,83.3823498359791,68.79240944109537,97.97229023086282,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q3,2025-09-30,2017Q1,2024Q4,73.741026,83.24159581361187,68.25402428162258,98.22916734560116,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q4,2025-12-31,2017Q1,2024Q4,100.810088,91.42242404393534,76.04750160098521,106.79734648688546,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2025Q1,2025-03-31,2017Q1,2024Q4,128.948864,122.49209800183549,108.98991095441473,135.99428504925623,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2025Q2,2025-06-30,2017Q1,2024Q4,128.003438,123.01002371322208,108.37968753804657,137.6403598883976,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2025Q3,2025-09-30,2017Q1,2024Q4,142.849168,128.4584694968724,112.78095636073496,144.13598263300983,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2025Q4,2025-12-31,2017Q1,2024Q4,134.704368,124.6625488770671,108.00355431950528,141.3215434346289,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2024Q1,2024-03-31,2017Q1,2023Q4,59.865995,67.70606429574033,18.426370820532497,116.98575777094817,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2024Q2,2024-06-30,2017Q1,2023Q4,57.670532,65.97938547112764,16.699691993934515,115.25907894832076,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2024Q3,2024-09-30,2017Q1,2023Q4,67.182916,69.31887258254596,20.03917910336755,118.59856606172437,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2024Q4,2024-12-31,2017Q1,2023Q4,85.675975,82.76231228684841,33.482618805684716,132.0420057680121,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q1,2025-03-31,2017Q1,2024Q4,98.544241,97.93700957330587,85.17601987320685,110.69799927340489,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q2,2025-06-30,2017Q1,2024Q4,91.355099,93.55070485281313,80.77505618725796,106.3263535183683,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q3,2025-09-30,2017Q1,2024Q4,102.051877,100.47293197427656,87.68264114390959,113.26322280464353,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
