product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,selected_features,future_exog_mode
Дизельное топливо,2025Q4,2025-12-31,2017Q1,2024Q1,,156.08926763313346,107.74229561682557,204.43623964944135,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
"Консервы молочные, молочные составные сухие, сублимированные",2025Q1,2025-03-31,2017Q1,2024Q4,107.860824,122.93048485132955,106.24092049997302,139.6200492026861,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
"Консервы молочные, молочные составные сухие, сублимированные",2025Q2,2025-06-30,2017Q1,2024Q4,93.206196,121.53572242291747,104.5515226577487,138.51992218808624,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
"Консервы молочные, молочные составные сухие, сублимированные",2025Q3,2025-09-30,2017Q1,2024Q4,84.744027,120.06005857661093,102.78624819533584,137.333868957886,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
"Консервы молочные, молочные составные сухие, сублимированные",2025Q4,2025-12-31,2017Q1,2024Q4,112.623027,138.02919734013665,120.47055250309597,155.58784217717732,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q1,2025-03-31,2017Q1,2024Q4,,45.905174746233286,30.117325802246995,61.693023690219576,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q2,2025-06-30,2017Q1,2024Q4,,36.13881674007554,20.350967795832155,51.92666568431893,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q3,2025-09-30,2017Q1,2024Q4,,44.277896190399545,28.490047245899063,60.06574513490003,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",2025Q4,2025-12-31,2017Q1,2024Q4,,56.63611104763492,40.84826210287734,72.4239599923925,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Макаронные изделия,2025Q1,2025-03-31,2017Q1,2024Q4,104.309186,109.6182773079158,91.89539758129067,127.34115703454094,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
