product_code,product_name,group_code,group_name,forecast_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,model_key,order,seasonal_order,forecast_exog_mode
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2024,2024Q1,2024-03-31,2017Q1,2023Q4,47.272685,61.48737345138903,49.925239440748726,73.04950746202934,agg_train_only,"(1, 1, 1)","(1, 0, 1, 4)",neutral
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2024,2024Q2,2024-06-30,2017Q1,2023Q4,34.477081,66.75321796126681,52.50986751484575,80.99656840768787,agg_train_only,"(1, 1, 1)","(1, 0, 1, 4)",neutral
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2024,2024Q3,2024-09-30,2017Q1,2023Q4,45.140671,70.19489459975527,52.964386142848,87.42540305666255,agg_train_only,"(1, 1, 1)","(1, 0, 1, 4)",neutral
S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2024,2024Q4,2024-12-31,2017Q1,2023Q4,61.332052,68.88579179227314,49.41609993132165,88.35548365322464,agg_train_only,"(1, 1, 1)","(1, 0, 1, 4)",neutral
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q1,2025-03-31,2017Q1,2024Q4,104.309186,109.6182773079158,91.89539758129067,127.34115703454094,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q2,2025-06-30,2017Q1,2024Q4,117.114583,118.60267751762771,100.10033391188148,137.10502112337394,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q3,2025-09-30,2017Q1,2024Q4,131.022371,128.5673053153788,109.31703331715039,147.81757731360722,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_макаронные_изделия,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q4,2025-12-31,2017Q1,2024Q4,116.14576,111.62860628651185,91.65839784727778,131.5988147257459,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q1,2025-03-31,2017Q1,2024Q4,76.485111,80.278825109622,71.06251177166381,89.4951384475802,exog,"(1, 1, 1)","(1, 0, 1, 4)",actual
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q2,2025-06-30,2017Q1,2024Q4,75.479866,83.28185562586728,74.15786172940997,92.40584952232459,exog,"(1, 1, 1)","(1, 0, 1, 4)",actual
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q3,2025-09-30,2017Q1,2024Q4,73.741026,85.8607095421772,76.73751079135637,94.98390829299804,exog,"(1, 1, 1)","(1, 0, 1, 4)",actual
S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q4,2025-12-31,2017Q1,2024Q4,100.810088,99.75926573005769,90.63592793048466,108.88260352963073,exog,"(1, 1, 1)","(1, 0, 1, 4)",actual
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2025Q1,2025-03-31,2017Q1,2024Q4,128.948864,122.49209800183549,108.98991095441473,135.99428504925623,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2025Q2,2025-06-30,2017Q1,2024Q4,128.003438,123.01002371322208,108.37968753804657,137.6403598883976,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2025Q3,2025-09-30,2017Q1,2024Q4,142.849168,128.4584694968724,112.78095636073496,144.13598263300983,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2025,2025Q4,2025-12-31,2017Q1,2024Q4,134.704368,124.6625488770671,108.00355431950528,141.3215434346289,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2024Q1,2024-03-31,2017Q1,2023Q4,59.865995,67.70606429574033,18.426370820532497,116.98575777094817,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2024Q2,2024-06-30,2017Q1,2023Q4,57.670532,65.97938547112764,16.699691993934515,115.25907894832076,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2024Q3,2024-09-30,2017Q1,2023Q4,67.182916,69.31887258254596,20.03917910336755,118.59856606172437,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_молочные_напитки,Молочные напитки,G02,Молочная продукция и яйца,2024,2024Q4,2024-12-31,2017Q1,2023Q4,85.675975,82.76231228684841,33.482618805684716,132.0420057680121,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q1,2025-03-31,2017Q1,2024Q4,98.544241,97.93700957330587,85.17601987320685,110.69799927340489,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q2,2025-06-30,2017Q1,2024Q4,91.355099,93.55070485281313,80.77505618725796,106.3263535183683,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q3,2025-09-30,2017Q1,2024Q4,102.051877,100.47293197427656,87.68264114390959,113.26322280464353,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q4,2025-12-31,2017Q1,2024Q4,126.18717,114.81930984012163,102.01439358795358,127.62422609228969,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q1,2025-03-31,2017Q1,2024Q4,106.372638,110.00168710967503,100.72064323494774,119.28273098440232,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q2,2025-06-30,2017Q1,2024Q4,117.025071,122.38166444796252,112.8293073187381,131.93402157718694,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q3,2025-09-30,2017Q1,2024Q4,110.672012,113.61379098478646,104.01983914457615,123.20774282499677,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q4,2025-12-31,2017Q1,2024Q4,139.24154,144.239817921262,134.63954198285876,153.84009385966522,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q1,2025-03-31,2017Q1,2024Q4,94.208871,98.16645966470537,92.69758513291578,103.63533419649497,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q2,2025-06-30,2017Q1,2024Q4,99.145193,100.64609380220142,94.86561920288185,106.426568401521,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q3,2025-09-30,2017Q1,2024Q4,101.458127,102.69529105470957,96.60249348336852,108.78808862605062,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q4,2025-12-31,2017Q1,2024Q4,114.806348,110.14649410129596,103.75678736228973,116.53620084030219,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2025,2025Q1,2025-03-31,2017Q1,2024Q4,134.500103,141.23983101303364,113.76685276237694,168.71280926369033,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2025,2025Q2,2025-06-30,2017Q1,2024Q4,121.298853,138.51822991668647,108.69746124827972,168.3389985850932,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2025,2025Q3,2025-09-30,2017Q1,2024Q4,146.218314,142.51868888726233,111.71844816734848,173.31892960717616,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2025,2025Q4,2025-12-31,2017Q1,2024Q4,155.955701,143.75492095506553,112.22382497862463,175.28601693150642,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q1,2025-03-31,2017Q1,2024Q4,117.72481,130.89637155912146,102.23879794076566,159.55394517747726,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q2,2025-06-30,2017Q1,2024Q4,107.457736,127.19787664832413,89.36921112957262,165.02654216707563,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q3,2025-09-30,2017Q1,2024Q4,129.634947,134.89193146606365,88.83745017059468,180.94641276153263,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q4,2025-12-31,2017Q1,2024Q4,151.739909,147.27955207933942,94.6080538184082,199.95105034027065,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2025,2025Q1,2025-03-31,2017Q1,2024Q4,133.490202,113.34723740299737,76.46324985204225,150.23122495395248,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2025,2025Q2,2025-06-30,2017Q1,2024Q4,155.856136,120.21006337683087,80.89385123901019,159.52627551465156,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2025,2025Q3,2025-09-30,2017Q1,2024Q4,198.713897,167.0876732277269,127.34958117019563,206.82576528525817,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2025,2025Q4,2025-12-31,2017Q1,2024Q4,172.663824,164.5336525932032,124.69495164131239,204.37235354509397,base,"(1, 1, 1)","(1, 0, 1, 4)",none
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2025,2025Q1,2025-03-31,2017Q1,2024Q4,120.65094,122.8622329231521,106.39027168725434,139.33419415904987,agg_train_only,"(1, 1, 1)","(1, 0, 1, 4)",neutral
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2025,2025Q2,2025-06-30,2017Q1,2024Q4,107.642837,130.1029934591433,112.67879105866972,147.52719585961688,agg_train_only,"(1, 1, 1)","(1, 0, 1, 4)",neutral
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2025,2025Q3,2025-09-30,2017Q1,2024Q4,123.269423,138.85854477875836,114.86090106353144,162.85618849398526,agg_train_only,"(1, 1, 1)","(1, 0, 1, 4)",neutral
S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2025,2025Q4,2025-12-31,2017Q1,2024Q4,146.997427,129.96622088863995,105.34033175257812,154.59211002470178,agg_train_only,"(1, 1, 1)","(1, 0, 1, 4)",neutral
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q1,2025-03-31,2017Q1,2024Q4,90.845517,93.5874067437366,83.41819166990334,103.75662181756985,exog,"(1, 1, 1)","(1, 0, 1, 4)",actual
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q2,2025-06-30,2017Q1,2024Q4,81.935456,83.88680962828188,72.39960736911803,95.37401188744573,exog,"(1, 1, 1)","(1, 0, 1, 4)",actual
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q3,2025-09-30,2017Q1,2024Q4,113.144637,111.69567884287756,98.98082023679403,124.41053744896108,exog,"(1, 1, 1)","(1, 0, 1, 4)",actual
S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2025,2025Q4,2025-12-31,2017Q1,2024Q4,99.476289,91.40602634942252,77.57294085925547,105.23911183958957,exog,"(1, 1, 1)","(1, 0, 1, 4)",actual
S_сыры,сыры,G02,Молочная продукция и яйца,2025,2025Q1,2025-03-31,2017Q1,2024Q4,126.734882,125.11160468700909,112.04258363882593,138.18062573519225,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_сыры,сыры,G02,Молочная продукция и яйца,2025,2025Q2,2025-06-30,2017Q1,2024Q4,116.898798,115.21627457986527,101.7276197892636,128.70492937046694,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_сыры,сыры,G02,Молочная продукция и яйца,2025,2025Q3,2025-09-30,2017Q1,2024Q4,143.770347,133.08061198291796,119.18499019178574,146.97623377405017,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
S_сыры,сыры,G02,Молочная продукция и яйца,2025,2025Q4,2025-12-31,2017Q1,2024Q4,162.427709,138.06995377083555,123.77894954214835,152.36095799952275,final_selected,"(0, 1, 1)","(1, 0, 0, 4)",neutral
