group_code,group_name,products_count,observations_count,actual_mean,forecast_mean,MAE,RMSE,MAPE_%,WAPE_%
G01,"Хлеб, крупы, мука и макаронные изделия",2,8,110.841285875,109.39960283349393,3.6898809610952394,4.921173997019713,3.212360835740206,3.328977043135769
G03,"Мясо, птица, рыба и колбасные изделия",2,8,110.36622499999999,112.5763442920809,3.8505016086736994,4.391046710222333,3.5546875210000217,3.4888405476165376
G05,"Бакалея, масло, сахар, чай, соль",2,8,88.98974874999999,93.1727828173872,6.5299500564033774,6.913316897790518,7.67047124113663,7.3378677298528485
G02,Молочная продукция и яйца,3,12,123.56430399999999,126.05475402505162,14.86311484011413,18.280096781578806,13.348891979349181,12.028647723467234
G04,"Овощи, фрукты и картофель",3,12,143.77120266666665,139.69833175329407,18.845417974317332,22.808885458038507,13.388615038462898,13.107922605342887
G10,Топливо и транспортные товары,1,4,160.39977525,183.390465511552,25.234187400020822,29.96040841153754,17.384647312267433,15.732059075949872
G07,"Товары для дома, гигиены и бытовая химия",1,4,124.64015674999999,150.06845543296882,25.428298682968812,25.785777175153196,20.560594911919395,20.401369306661124
