feature_mode,product_name,group_code,group_name,train_start,train_end,observations,feature,coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,share_of_exog_contribution_%,aic,bic
full_exog,Автомобили легковые,G10,Топливо и транспортные товары,2017Q1,2024Q4,32,consumer_price_index,-35.06963601969881,31.167177791392298,3.375077994860476e-14,70.14344801297473,15.128899272739579,239.40958303386276,255.25496875714936
full_exog,Автомобили легковые,G10,Топливо и транспортные товары,2017Q1,2024Q4,32,income_index,-14.937589655942137,11.935324852496695,5.773159728050814e-15,46.38377698998632,5.79354116338108,239.40958303386276,255.25496875714936
full_exog,Автомобили легковые,G10,Топливо и транспортные товары,2017Q1,2024Q4,32,stock_days_mean,-11.79595494191342,9.62928786850595,-2.4091839634365897e-14,29.655600432257447,4.67416482833019,239.40958303386276,255.25496875714936
full_exog,Автомобили легковые,G10,Топливо и транспортные товары,2017Q1,2024Q4,32,stock_value_mean_thousand_rub,57.2950977080477,50.27364697234147,-1.2434497875801753e-14,116.60834063501265,24.403394693242973,239.40958303386276,255.25496875714936
full_exog,Автомобили легковые,G10,Топливо и транспортные товары,2017Q1,2024Q4,32,group_consumer_price_index_mean,-35.06963603725838,31.16717780699788,3.197442310920451e-14,70.14344804809595,15.128899280314704,239.40958303386276,255.25496875714936
full_exog,Автомобили легковые,G10,Топливо и транспортные товары,2017Q1,2024Q4,32,group_income_index_mean,-14.937589693470747,11.935324882482533,5.995204332975845e-15,46.383777106519084,5.793541177936542,239.40958303386276,255.25496875714936
full_exog,Автомобили легковые,G10,Топливо и транспортные товары,2017Q1,2024Q4,32,group_stock_days_mean_mean,-11.795955099509506,9.629287997154972,-2.398081733190338e-14,29.655600828461615,4.674164890777875,239.40958303386276,255.25496875714936
full_exog,Автомобили легковые,G10,Топливо и транспортные товары,2017Q1,2024Q4,32,group_stock_value_mean_thousand_rub_mean,57.29509770812769,50.27364697241167,-1.1546319456101628e-14,116.60834063517547,24.403394693277054,239.40958303386276,255.25496875714936
full_exog,Бензины автомобильные,G10,Топливо и транспортные товары,2017Q1,2024Q1,21,consumer_price_index,-4.787749760876218,4.123992699971785,1.2189483139332753e-14,13.10139815744195,10.962216080591105,86.79261459359387,100.97616648725196
full_exog,Бензины автомобильные,G10,Топливо и транспортные товары,2017Q1,2024Q1,21,income_index,0.33198969210331175,0.3004001246641899,-4.440892098500626e-16,0.6196066257134683,0.7985104040625206,86.79261459359387,100.97616648725196
full_exog,Бензины автомобильные,G10,Топливо и транспортные товары,2017Q1,2024Q1,21,stock_days_mean,-3.9901252325272307,3.217108510409806,-2.335296706970157e-15,10.913926228315711,8.551576399750212,86.79261459359387,100.97616648725196
full_exog,Бензины автомобильные,G10,Топливо и транспортные товары,2017Q1,2024Q1,21,stock_value_mean_thousand_rub,12.412180449238779,11.168530693710368,-9.555574722291003e-15,21.32558489075621,29.687697257079225,86.79261459359387,100.97616648725196
full_exog,Бензины автомобильные,G10,Топливо и транспортные товары,2017Q1,2024Q1,21,group_consumer_price_index_mean,-4.787749696457877,4.12399264448418,3.981489467621251e-15,13.101397981164924,10.962215933096394,86.79261459359387,100.97616648725196
full_exog,Бензины автомобильные,G10,Топливо и транспортные товары,2017Q1,2024Q1,21,group_income_index_mean,0.3319897030476357,0.3004001345671368,-4.402608545927345e-16,0.6196066461393303,0.7985104303860987,86.79261459359387,100.97616648725196
full_exog,Бензины автомобильные,G10,Топливо и транспортные товары,2017Q1,2024Q1,21,group_stock_days_mean_mean,-3.9901252081887613,3.2171084907864866,-2.2816997333675632e-15,10.913926161744302,8.551576347588366,86.79261459359387,100.97616648725196
full_exog,Бензины автомобильные,G10,Топливо и транспортные товары,2017Q1,2024Q1,21,group_stock_value_mean_thousand_rub_mean,12.412180403402068,11.168530652466307,-9.310559985822002e-15,21.325584812003356,29.68769714744608,86.79261459359387,100.97616648725196
full_exog,Газовое моторное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,consumer_price_index,-37.417552519322626,33.30171319970022,-6.419386095487802e-14,73.35978878874862,21.543162502641916,174.8044073519273,188.9879592455854
full_exog,Газовое моторное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,income_index,10.339374590153216,8.77718862852048,-2.9401768376280007e-15,17.780615476286094,5.67803823805256,174.8044073519273,188.9879592455854
full_exog,Газовое моторное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,stock_days_mean,-10.011724900229956,8.164371054858071,-1.321548234829669e-14,24.492606460348,5.281601319185487,174.8044073519273,188.9879592455854
full_exog,Газовое моторное топливо,G10,Топливо и транспортные товары,2017Q1,2024Q1,25,stock_value_mean_thousand_rub,30.1159571737303,27.047406054420325,1.7396046289299003e-14,49.103972480722845,17.49719782916644,174.8044073519273,188.9879592455854
