Код группы,Название группы,Количество_товаров,Список_товаров
G01,"Хлеб, крупы, мука и макаронные изделия",13,"Вермишель, кг; Изделия макаронные, изготовленные из муки из твердой пшеницы для макаронных изделий, кроме макаронных изделий с использованием дополнительного сырья; Крупа гречневая; Крупа гречневая-ядрица, кг; Макаронные изделия; Макаронные изделия из пшеничной муки высшего сорта, кг; Мука; Мука пшеничная; Пшено, кг; Рис шлифованный, кг; Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов, кг; Хлеб и булочные изделия из пшеничной муки различных сортов, кг; Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг"
G02,Молочная продукция и яйца,18,"Кефир, кг; Консервы молочные, молочные составные сухие, сублимированные; Масло сливочное; Молоко питьевое; Молоко питьевое пастеризованное; Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л; Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, л; Молоко питьевое цельное ультрапастеризованное 2,5-3,2% жирности, л; Молочные напитки; Смеси сухие молочные для детского питания, кг; Сметана, кг; Сыры сычужные твердые и мягкие, кг; Сыры твердые; Сыры твердые, полутвердые и мягкие, кг; Творог жирный, кг; Творог, кг; Яйца куриные, 10 шт.; сыры"
G03,"Мясо, птица, рыба и колбасные изделия",17,"Баранина (кроме бескостного мяса), кг; Говядина (кроме бескостного мяса), кг; Говядина парная, остывшая или охлажденная; Колбаса вареная, кг; Колбаса полукопченая и варено-копченая, кг; Консервы мясные; Консервы мясные для детского питания, кг; Консервы рыбные; Куры охлажденные и мороженые, кг; Мясо домашней птицы; Мясо животных; Мясо птицы охлажденное, в том числе для детского питания; Рыба мороженая неразделанная, кг; Свинина (кроме бескостного мяса), кг; Сельдь соленая или в рассоле; Сосиски мясные; Сосиски, сардельки, кг"
G04,"Овощи, фрукты и картофель",14,"Бананы, кг; Капуста белокочанная свежая, кг; Картофель, кг; Консервы овощные для детского питания, кг; Консервы фруктово-ягодные для детского питания, кг; Лук репчатый, кг; Морковь, кг; Огурцы свежие, кг; Помидоры свежие, кг; Свежие овощи; Свежие фрукты; Свежий картофель; Свёкла столовая, кг; Яблоки, кг"
G05,"Бакалея, масло, сахар, чай, соль",13,"Карамель, кг; Конфеты мягкие, глазированные шоколадом, кг; Маргарин, кг; Маргариновая продукция; Масло подсолнечное и его фракции нерафинированные; Масло подсолнечное и его фракции рафинированные, но не подвергнутые химической модификации; Масло подсолнечное, л; Печенье, кг; Сахар белый свекловичный в твердом состоянии без вкусоароматических или красящих добавок; Сахар-песок, кг; Соль поваренная пищевая, кг; Чай; Чай черный байховый, кг"
G07,"Товары для дома, гигиены и бытовая химия",12,"Бумага туалетная, рулон; Мыло туалетное, 100 г; Мыло хозяйственное, 200 г; Паста зубная, 100 г (100 мл); Пеленки для новорожденных, шт.; Подгузники детские бумажные, 10 шт.; Порошок стиральный, кг; Прокладки женские гигиенические ежедневные, 10 шт.; Прокладки женские гигиенические, 10 шт.; Стиральные машины; Шампунь, 250 мл; Щетка зубная, шт."
G10,Топливо и транспортные товары,15,"Автомобили легковые; Бензин автомобильный; Бензин автомобильный марки А-76 (АИ-80), л; Бензин автомобильный марки АИ-92, л; Бензин автомобильный марки АИ-95, л; Бензин автомобильный марки АИ-98 и выше, л; Бензины автомобильные; Газ сжиженный, м3; Газовое моторное топливо; Дизельное топливо; Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств); Легковой автомобиль иностранной марки новый, шт.; Легковой автомобиль иностранной марки, собранный на автомобильном заводе на территории России, шт.; Легковой автомобиль отечественный новый, шт.; Топливо дизельное"
G99,Прочее,73,"Активированный уголь, 10 таблеток; Аллохол, 50 таблеток; Алмагель, суспензия, 200 мл; Аудиоаппаратура; Бромгексин, 8 мг, 10 драже; Брюки для детей школьного возраста из джинсовой ткани, шт.; Валидол, 10 таблеток; Валидол, 60 мг, 10 таблеток; Валокордин, 20 мл; Вода питьевая; Водка; Водка крепостью 40% об. спирта и выше, л; Водка крепостью 40% об.спирта и выше, л; Всего по розничной торговле; Газ горючий природный (газ естественный); Доска обрезная, м3; Колготки женские эластичные, шт.; Комбинированные анальгетики, 10 таблеток; Компримированный природный газ; Коньяки; Корвалол, 25 мл; Костюм спортивный для детей школьного возраста, шт.; Кроссовые туфли для взрослых с верхом из искусственной кожи, пара; Кроссовые туфли для взрослых, пара; Кроссовые туфли для детей, пара; Лампы газоразрядные люминесцентные; Лампы осветительные (бытовые); Лампы светодиодные; Левомеколь, мазь, 40 г; Лизобакт, 10 таблеток; Линекс, 10 капсул; Майка, футболка мужская бельевая, шт.; Метамизол натрия (Анальгин отечественный), 10 таблеток; Метамизол натрия (Анальгин отечественный), 500 мг, 10 таблеток; Метамизол натрия, 10 таблеток; Мобильные телефоны; Мотоциклы; Нафазолин, 0,1%, 15 мл; Нефть обезвоженная, обессоленная и стабилизированная; Нимесулид, 10 таблеток; Нимесулид, 100 мг, 10 таблеток; Носки мужские, пара; Носки, гольфы детские, пара; Офтан катахром, 10 мл; Пенталгин, 24 таблетки; Пиломатериалы лиственных пород; Пиломатериалы хвойных пород; Плиты древесностружечные, ориентированно-стружечные, м2; Поливитамины с макро- и микроэлементами, 10 шт.; Поливитамины, 10 шт.; Ренгалин, 10 таблеток; Ренни, 12 таблеток; Римантадин, 10 таблеток; Рубашка верхняя для мальчиков школьного возраста, шт.; Сжиженный природный газ; Сигареты с фильтром отечественные, пачка; Сигареты с фильтром, пачка; Смартфон, шт.; Спички, коробок; Строительные материалы; Сухие корма для домашних животных, кг; Телевизор, шт.; Телевизоры; Ткани; Трекрезан, 10 таблеток; Троксерутин, 2% гель, 40 г; Уголь каменный; Флуоцинолона ацетонид, 0,025% мазь, 15 г; Фотоаппаратура и фототовары; Футболка детская, шт.; Холодильники и морозильники; Электропылесос напольный, шт.; Эргоферон, 20 таблеток"
