model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,selected_features,order,seasonal_order,error,abs_error,ape_%
sarimax_aggressive_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,106.571789,105.53391984656879,consumer_price_index_lag4_minus_group; income_index_lag4_minus_group,"(2, 1, 1)","(0, 0, 0, 4)",-1.0378691534312026,1.0378691534312026,0.9738685661279483
sarimax_aggressive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,134.043161,136.96965474917207,income_index_lag4_vs_lag8; income_index_lag4; consumer_price_index_lag4_minus_market,"(2, 1, 1)","(1, 0, 1, 4)",2.9264937491720673,2.9264937491720673,2.183247341632049
sarimax_aggressive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,118.702943,156.69089400703547,income_index_lag4_vs_lag8; income_index_lag4; consumer_price_index_lag4_minus_market,"(2, 1, 1)","(1, 0, 1, 4)",37.98795100703546,37.98795100703546,32.00253510735236
sarimax_aggressive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,186.121553,185.76505686328292,income_index_lag4_vs_lag8; income_index_lag4; consumer_price_index_lag4_minus_market,"(2, 1, 1)","(1, 0, 1, 4)",-0.3564961367170838,0.3564961367170838,0.1915394165645522
sarimax_aggressive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,203.360042,221.3919684068112,income_index_lag4_vs_lag8; income_index_lag4; consumer_price_index_lag4_minus_market,"(2, 1, 1)","(1, 0, 1, 4)",18.03192640681121,18.03192640681121,8.866995811699924
sarimax_aggressive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,145.634693,125.47175862556546,income_index_lag4_vs_lag8; income_index_lag4; consumer_price_index_lag4_minus_market,"(2, 1, 1)","(1, 0, 1, 4)",-20.162934374434542,20.162934374434542,13.844870311522916
sarimax_aggressive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,176.60603,167.57513473703625,income_index_lag4_vs_lag8; income_index_lag4; consumer_price_index_lag4_minus_market,"(2, 1, 1)","(1, 0, 1, 4)",-9.030895262963753,9.030895262963753,5.113582623970287
sarimax_aggressive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,207.932789,208.72702195458348,income_index_lag4_vs_lag8; income_index_lag4; consumer_price_index_lag4_minus_market,"(2, 1, 1)","(1, 0, 1, 4)",0.7942329545834639,0.7942329545834639,0.3819661912886014
sarimax_aggressive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,223.092395,224.07685849894835,income_index_lag4_vs_lag8; income_index_lag4; consumer_price_index_lag4_minus_market,"(2, 1, 1)","(1, 0, 1, 4)",0.9844634989483438,0.9844634989483438,0.441280617812339
sarimax_aggressive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,138.851468,159.28711824376228,income_index_lag4_vs_lag8; income_index_lag4; consumer_price_index_lag4_minus_market,"(2, 1, 1)","(1, 0, 1, 4)",20.435650243762268,20.435650243762268,14.71763355340418
sarimax_aggressive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q2,2022-06-30,2017Q1,2021Q4,121.889554,138.93861206482276,income_index_lag4_vs_lag8; income_index_lag4; consumer_price_index_lag4_minus_market,"(2, 1, 1)","(1, 0, 1, 4)",17.04905806482276,17.04905806482276,13.987300392306595
sarimax_aggressive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q3,2022-09-30,2017Q1,2021Q4,135.448081,169.65255351752432,income_index_lag4_vs_lag8; income_index_lag4; consumer_price_index_lag4_minus_market,"(2, 1, 1)","(1, 0, 1, 4)",34.20447251752432,34.20447251752432,25.252829176313192
sarimax_aggressive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q4,2022-12-31,2017Q1,2021Q4,143.149598,189.39095480754207,income_index_lag4_vs_lag8; income_index_lag4; consumer_price_index_lag4_minus_market,"(2, 1, 1)","(1, 0, 1, 4)",46.241356807542076,46.241356807542076,32.30281988465107
sarimax_aggressive_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,127.927388,127.07634579900471,income_index_lag8,"(2, 1, 2)","(0, 0, 0, 4)",-0.8510422009952805,0.8510422009952805,0.6652541057082166
sarimax_aggressive_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,110.095155,133.95542560082293,income_index_lag8,"(2, 1, 2)","(0, 0, 0, 4)",23.86027060082293,23.86027060082293,21.672407474082693
sarimax_aggressive_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,142.61635,144.6794817850008,income_index_lag8,"(2, 1, 2)","(0, 0, 0, 4)",2.0631317850007918,2.0631317850007918,1.4466306177382828
sarimax_aggressive_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,137.790206,142.8097353732357,income_index_lag8,"(2, 1, 2)","(0, 0, 0, 4)",5.0195293732356845,5.0195293732356845,3.64287819791465
sarimax_aggressive_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,117.294002,111.63831167177918,income_index_lag8,"(2, 1, 2)","(0, 0, 0, 4)",-5.655690328220828,5.655690328220828,4.821806939642854
sarimax_aggressive_exog,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,116.837874,112.43989952775856,income_index_lag8,"(2, 1, 2)","(0, 0, 0, 4)",-4.397974472241444,4.397974472241444,3.764168519739964
