step,candidate_feature,selected_features,order,seasonal_order,WAPE_%,accepted,improvement_pp,product_name
2,income_index_lag4_minus_market,income_index_lag4_vs_lag8_pct; income_index_lag4_minus_market,"(1, 1, 2)","(1, 0, 0, 4)",4.472429468973197,False,0.047030696909334146,Мука
0,,,"(1, 1, 1)","(1, 0, 1, 4)",3.298071257551044,True,,Мясо домашней птицы
1,physical_volume_index_lag4_minus_market,physical_volume_index_lag4_minus_market,"(0, 1, 1)","(1, 0, 1, 4)",2.626212124412799,True,0.6718591331382449,Мясо домашней птицы
2,consumer_price_index_lag4_vs_lag8,physical_volume_index_lag4_minus_market; consumer_price_index_lag4_vs_lag8,"(1, 1, 2)","(1, 0, 1, 4)",2.265862781725345,True,0.3603493426874538,Мясо домашней птицы
3,stock_value_mean_thousand_rub_lag4_minus_market,physical_volume_index_lag4_minus_market; consumer_price_index_lag4_vs_lag8; stock_value_mean_thousand_rub_lag4_minus_market,"(1, 1, 2)","(1, 0, 1, 4)",2.1616233003688774,False,0.10423948135646777,Мясо домашней птицы
0,,,"(2, 1, 1)","(1, 0, 1, 4)",2.4932222445283934,True,,Мясо животных
1,stock_value_mean_thousand_rub_lag8,stock_value_mean_thousand_rub_lag8,"(1, 1, 0)","(1, 0, 1, 4)",1.5789437589222923,True,0.914278485606101,Мясо животных
2,income_index_lag4_minus_market,stock_value_mean_thousand_rub_lag8; income_index_lag4_minus_market,"(1, 1, 1)","(1, 0, 1, 4)",1.5667783964458688,False,0.012165362476423525,Мясо животных
0,,,"(1, 1, 0)","(0, 0, 0, 4)",4.280886400017916,True,,Свежие овощи
1,income_index_lag4_vs_lag8,income_index_lag4_vs_lag8,"(1, 1, 0)","(0, 0, 0, 4)",4.01403996089186,True,0.26684643912605654,Свежие овощи
2,consumer_price_index_lag4_minus_group,income_index_lag4_vs_lag8; consumer_price_index_lag4_minus_group,"(1, 1, 0)","(0, 0, 0, 4)",4.514439243621217,False,-0.5003992827293571,Свежие овощи
0,,,"(1, 1, 2)","(1, 0, 0, 4)",8.084395523545554,True,,Свежие фрукты
1,consumer_price_index_lag8,consumer_price_index_lag8,"(1, 1, 2)","(1, 0, 0, 4)",6.824713033680949,True,1.2596824898646055,Свежие фрукты
2,income_index_lag4_minus_group,consumer_price_index_lag8; income_index_lag4_minus_group,"(1, 1, 1)","(1, 0, 0, 4)",6.720839435986013,False,0.10387359769493543,Свежие фрукты
0,,,"(2, 1, 2)","(0, 0, 0, 4)",15.707944111020936,True,,Свежий картофель
1,income_index_lag8,income_index_lag8,"(2, 1, 2)","(0, 0, 1, 4)",11.397806757199671,True,4.310137353821265,Свежий картофель
