model,products_count,observations_count,cv_years,MAE,RMSE,MAPE_%,WAPE_%
sarimax,18,212,2020; 2021; 2022; 2023; 2024; 2025,11.042981901109865,18.34340946081428,8.78682660219699,9.134752445641126
prophet,18,212,2020; 2021; 2022; 2023; 2024; 2025,11.19020520084729,17.48627124582106,9.100003145994918,9.256535530081084
seasonal_naive,18,212,2020; 2021; 2022; 2023; 2024; 2025,12.750520396226417,19.99042040469561,10.083681602026289,10.547227951258375
lightgbm_global,18,212,2020; 2021; 2022; 2023; 2024; 2025,13.260566629907165,19.82763507635368,11.285863865733754,10.969138094934062
