model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,model_params,error,abs_error,ape_%
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2024,2024Q4,2024-12-31,2017Q1,2023Q4,172.532576,175.01061572837023,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",2.47803972837022,2.47803972837022,1.4362735350164946
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q1,2025-03-31,2017Q1,2024Q4,133.521054,167.540049,same quarter previous year,34.01899500000002,34.01899500000002,25.47837511827911
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q2,2025-06-30,2017Q1,2024Q4,144.210737,194.910813,same quarter previous year,50.700075999999996,50.700075999999996,35.156935644812634
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q3,2025-09-30,2017Q1,2024Q4,182.71084,228.395741,same quarter previous year,45.684900999999996,45.684900999999996,25.003935727075632
seasonal_naive,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q4,2025-12-31,2017Q1,2024Q4,181.15647,172.532576,same quarter previous year,-8.623894000000007,8.623894000000007,4.760467015061624
sarimax,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q1,2025-03-31,2017Q1,2024Q4,133.521054,169.25524928598335,"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 1, 4)}",35.73419528598336,35.73419528598336,26.762966749785665
sarimax,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q2,2025-06-30,2017Q1,2024Q4,144.210737,187.17846994442067,"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 1, 4)}",42.967732944420675,42.967732944420675,29.795099753509113
sarimax,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q3,2025-09-30,2017Q1,2024Q4,182.71084,179.61067629842552,"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 1, 4)}",-3.1001637015744734,3.1001637015744734,1.696759591042586
sarimax,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q4,2025-12-31,2017Q1,2024Q4,181.15647,181.3053201937237,"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 1, 4)}",0.14885019372368902,0.14885019372368902,0.08216664506859125
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q1,2025-03-31,2017Q1,2024Q4,133.521054,160.57228178472465,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",27.05122778472466,27.05122778472466,20.25989682849917
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q2,2025-06-30,2017Q1,2024Q4,144.210737,168.1207669011452,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",23.910029901145208,23.910029901145208,16.579923519248922
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q3,2025-09-30,2017Q1,2024Q4,182.71084,188.2074089805924,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",5.4965689805924,5.4965689805924,3.0083431177878666
prophet,S_автомобили_легковые,Автомобили легковые,G10,Топливо и транспортные товары,2025,2025Q4,2025-12-31,2017Q1,2024Q4,181.15647,191.13672737940624,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",9.980257379406225,9.980257379406225,5.5091917939261155
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,101.717264,104.189785,same quarter previous year,2.4725210000000004,2.4725210000000004,2.430778122384417
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,86.052351,114.024631,same quarter previous year,27.972279999999998,27.972279999999998,32.506119443500154
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,123.377583,126.159697,same quarter previous year,2.782113999999993,2.782113999999993,2.254959071454652
seasonal_naive,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,110.413409,113.741055,same quarter previous year,3.3276460000000014,3.3276460000000014,3.0138060495895034
sarimax,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,101.717264,109.50677300961566,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",7.7895090096156565,7.7895090096156565,7.658000916752594
sarimax,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,86.052351,119.28297897640488,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",33.230627976404875,33.230627976404875,38.61675781107349
sarimax,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,123.377583,121.69067653554997,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",-1.6869064644500327,1.6869064644500327,1.3672714470748164
sarimax,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,110.413409,114.07101038345557,"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 4)}",3.657601383455571,3.657601383455571,3.312642383368102
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,101.717264,94.94169190317245,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",-6.7755720968275455,6.7755720968275455,6.661182016090744
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,86.052351,107.12956269441624,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",21.077211694416235,21.077211694416235,24.493475715051915
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,123.377583,115.3165850046086,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",-8.060997995391403,8.060997995391403,6.533600188448661
prophet,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,110.413409,110.77789099880411,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",0.36448199880410925,0.36448199880410925,0.3301066438444168
