model,product_code,product_name,group_code,group_name,cv_years,observations_count,MAE,RMSE,MAPE_%,WAPE_%
lightgbm_global,S_маргариновая_продукция,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,7.382902340514533,9.265095819629877,8.733411308867863,8.830601733996088
sarimax,S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2023; 2024; 2025,12,6.139466073658023,6.894647633450092,4.829833779192234,4.894042733911149
seasonal_naive,S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2023; 2024; 2025,12,7.979608249999998,9.86529855150328,6.320023278297442,6.3609022847978105
lightgbm_global,S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2023; 2024; 2025,12,8.202709585425778,9.263012782208103,6.562115812077583,6.538746327987685
prophet,S_молоко_питьевое,Молоко питьевое,G02,Молочная продукция и яйца,2023; 2024; 2025,12,8.398776938620317,10.300678454753559,6.751561506541794,6.695040375995544
seasonal_naive,S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,3.9148875833333356,5.231372381262439,3.773490378202334,3.8087107261538238
prophet,S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,4.516183390183997,5.536500724432235,4.275834387761806,4.393698606493793
sarimax,S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,5.040347459472237,6.193558305092939,4.76429606253284,4.903646662591671
lightgbm_global,S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2023; 2024; 2025,12,5.146635865773525,6.4705569839176444,4.9500021858181205,5.0070523886893845
prophet,S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,3.741845501286695,4.741986380584546,3.0297498213047254,3.1107956068293428
sarimax,S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,3.9220705830790563,5.801642531848759,3.033389196956914,3.2606263233801336
seasonal_naive,S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2023; 2024; 2025,12,5.812958583333336,7.494046134620556,4.681122062362922,4.832622302950817
